order,word,phonetic,example,note,definition_en
1,to access,/ˈæksɛs/,Users need valid credentials to access the company's secure database.,,
2,error,/ˈɛrɚ/,The program crashed due to a syntax error in the code.,,
3,key,/ki/,"Each key on a keyboard or keypad corresponds to a specific character or function, enabling users to input data and control the device efficiently.",,
4,to log off,/lɑɡ ˈɑːf/,I need to log off my work computer before leaving for the day.,,
5,program,/ˈproʊɡræm/,,,
6,software,/ˈsɑːftˌwer/,She installed new software to help design her website.,,
7,operating system,/ˈɑpɚˌreɪtɪŋ ˈsɪstəm/,The operating system controls how the computer runs and manages applications.,,
8,to install,/ɪnˈstɑːl/,I need to install the latest version of Microsoft Office on my computer for work.,,
9,hardware,/ˈhɑrdˌwɛr/,The technician replaced the faulty hardware to fix the computer.,,
10,Wi-Fi,/ˈwaɪˌfaɪ/,She connected her laptop to the Wi-Fi network to complete her work from the café.,,
11,to quit,/kwɪt/,Don’t forget to quit the app before turning off your computer.,,
12,system,/ˈsɪstəm/,,,
13,click,/klɪk/,,,
14,button,/ˈbʌtən/,Press the button to turn on the television.,,
15,to type,/taɪp/,She typed her essay on her laptop.,,
16,window,/ˈwɪndoʊ/,She opened a new window to check her email while browsing the web.,,
17,wireless,/ˈwaɪrlɪs/,The wireless headphones allow you to move freely without being tethered to your device.,,
18,to connect,/kəˈnɛkt/,"After entering the correct password, I was able to connect my laptop to the Wi-Fi network.",,
19,connection,/kəˈnɛkʃən/,"Despite numerous attempts, John still couldn't establish a stable connection to the Wi-Fi network in his apartment.",,
20,data,"/ˈdeɪtə/ , /ˈdætə/",She entered the customer data into the database for future reference.,,
21,folder,/ˈfoʊldər/,Save the document in the project folder.,,
22,to delete,/dɪˈliːt/,She decided to delete the old files from her computer to free up space.,,
23,to drag,/dræɡ/,"To rearrange the icons on the desktop, simply click and drag them to your desired positions.",,
24,to scroll,/skroʊl/,He scrolled down the webpage to read the full article.,,
25,to back up,/bæk ˈʌp/,I'll back up my important documents before the software update.,,
26,desktop,/ˈdɛskˌtɑp/,The file shortcut is saved on the desktop.,,
27,version,/ˈvɝʒən/,The software company released a new version of its popular app with enhanced features.,,
28,application,/ˌæplɪˈkeɪʃən/,I installed a photo editing application on my laptop.,,
29,virus,/ˈvaɪrəs/,The virus damaged important system files.,,
