order,word,phonetic,example,note,definition_en
1,administrator,/ədˈmɪnɪˌstreɪtər/,The school administrator oversees the daily operations of the educational institution.,,
2,aide,/eɪd/,The senator's aide accompanies him to all official meetings and events.,,
3,chief technology officer,/tʃif tɛkˈnɑlədʒi ˈɔfɪsər/,The chief technology officer is responsible for overseeing the company's technological strategy and innovation.,,
4,curator,/ˈkjʊreɪtər/,The museum curator is responsible for preserving and interpreting the art collection.,,
5,promoter,/prəˈmoʊtər/,The concert promoter secured top musicians for the upcoming music festival.,,
6,fire chief,/ˈfaɪər tʃif/,The fire chief coordinated the emergency response to the wildfire.,,
7,full professor,/fʊl prəˈfɛsər/,Dr. Smith was promoted to full professor after years of dedicated research and teaching.,,
8,optometrist,/ɑpˈtɑmətrɪst/,The optometrist conducted a thorough eye examination to determine the patient's prescription.,,
9,physiotherapist,/ˌfɪzioʊˈθɛrəpɪst/,The physiotherapist helped the athlete recover from a knee injury through targeted exercises.,,
10,practitioner,/prækˈtɪʃənər/,The healthcare practitioner provided compassionate care to her patients.,,
11,psychiatrist,/saɪˈkaɪətrɪst/,The psychiatrist specializes in diagnosing and treating mental health disorders.,,
12,au pair,/oʊ ˈpɛr/,She traveled abroad to work as an au pair for a family in France.,,
13,beautician,/bjuˈtɪʃən/,The beautician specializes in skincare treatments and facials.,,
14,chauffeur,/ʃoʊˈfɜr/,The chauffeur picked up the CEO from the airport in a luxury sedan.,,
15,civil servant,/ˈsɪvəl ˈsɜrvənt/,Civil servants play a crucial role in implementing government policies and delivering public services.,,
16,decorator,/ˈdɛkəreɪtər/,The decorator chose a modern theme for the living room.,,
17,handyman,/ˈhændiˌmæn/,The handyman fixed the leaky faucet and repaired the broken fence in the backyard.,,
18,housekeeper,/ˈhaʊsˌkipər/,The housekeeper ensures the cleanliness and tidiness of the entire house.,,
19,jeweler,/ˈdʒuələr/,The jeweler specializes in buying and selling vintage watches and rare gemstones.,,
20,laborer,/ˈleɪbərər/,The laborer worked tirelessly to unload heavy crates from the truck.,,
21,lifeguard,/ˈlaɪfˌɡɑrd/,"The lifeguard quickly responded to the swimmer in distress, pulling him safely to shore.",,
22,maid,/meɪd/,"The maid diligently cleaned each room, ensuring the house was spotless by the end of the day.",,
23,merchant,/ˈmɜrtʃənt/,The merchant traveled across the seas to trade spices and silk with distant lands.,,
24,nanny,/ˈnæni/,The family hired a nanny to care for their toddler while they were at work.,,
25,porter,/ˈpɔrtər/,The porter at the hotel greeted us warmly and offered to help with our luggage.,,
26,ranger,/ˈreɪndʒər/,"The park ranger led a guided tour, educating visitors about the local wildlife and vegetation.",,
27,tradesman,/ˈtreɪdzmən/,The tradesman offered a wide selection of handcrafted furniture in his store.,,
28,trustee,/ˌtrʌsˈti/,The trustee managed the estate to ensure the beneficiaries received their inheritance according to the will.,,
29,chief financial officer,/tʃˈiːf faɪnˈænʃəl ˈɑːfɪsɚ/,The chief financial officer presented the quarterly financial report to the board of directors.,,
30,monitor,/ˈmɑnɪtər/,The election monitor ensured that the voting process was free and fair.,,
31,salesclerk,/ˈseɪlzˌklɜrk/,I thanked the salesclerk for helping me with my groceries.,,
