order,word,phonetic,example,note,definition_en
1,community theater,/kəmjˈuːnɪɾi θˈiəɾɚ/,"The community theater group put on a production of Shakespeare's ""A Midsummer Night's Dream"" at the local high school auditorium.",,
2,angler,/ˈæŋɡɫɝ/,"The angler woke up before dawn, eager to spend the day fishing on the tranquil lake.",,
3,birder,/ˈbɝdɝ/,She traveled to exotic destinations around the world to add rare species to her life list as a dedicated birder.,,
4,hobbyist,/ˈhɑbiɪst/,The photography club welcomed hobbyists of all skill levels.,,
5,bricolage,/bɹˈɪkɑːlɪdʒ/,"The artist's sculptures were a testament to his talent for bricolage, as he seamlessly combined found objects like driftwood and metal scraps into stunning works of art.",,
6,avocation,/ˌævəˈkeɪʃən/,Gardening is her avocation; she finds solace in tending to her plants.,,
7,embroidery,/ɛmˈbɹɔɪdɝi/,"She spent hours perfecting her embroidery skills, creating intricate floral designs on a linen tablecloth.",,
8,engraving,/ɪnˈɡɹeɪvɪŋ/,The engraving on the antique pocket watch was so finely detailed that every line and curve seemed to come to life.,,
9,topiary,/ˈtoʊpiˌɛɹi/,Topiary requires patience and careful pruning.,,
10,crocheting,/kɹoʊˈʃeɪɪŋ/,"She learned the art of crocheting from her grandmother, who taught her how to create beautiful afghans and scarves.",,
11,rambling,"/ˈɹæmbəɫɪŋ/, /ˈɹæmbɫɪŋ/","They enjoyed the freedom of rambling through the meadows and forests, breathing in the fresh air and soaking in the beauty of nature.",,
12,regimen,/ˈɹɛdʒəmən/,"After consulting her nutritionist, she began a new dietary regimen to boost her metabolism.",,
13,dilettante,/daɪltˈɑːnteɪ/,"He dabbled in painting but considered himself more of a dilettante than a serious artist, rarely devoting enough time to master the craft.",,
14,philatelist,/fɪˈɫætəɫɪst/,The philatelist proudly displayed their collection of rare stamps.,,
15,numismatist,/nuˈmɪsməˌtɪst/,The numismatist spent years assembling a comprehensive collection of rare coins from around the world.,,
16,silversmithing,/sˈɪlvɚsmˌɪθɪŋ/,"His passion for silversmithing led him to establish his own studio, where he crafted intricate silver jewelry and tableware.",,
17,lapidary,/ˈɫæpəˌdɛɹi/,"The lapidary carefully examined the rough gemstone, envisioning how it could be transformed into a dazzling piece of jewelry.",,
18,bibliophile,/bˈɪblɪˌɑːfaɪl/,"As a lifelong bibliophile, she spent weekends browsing antique bookshops.",,
19,philomath,/fˈɪləmˌæθ/,"John was known among his friends as a true philomath, always eager to explore new subjects.",,
20,enology,/ɪnˈɑːlədʒi/,She pursued a career in enology after completing her degree in agricultural science.,,
