order,word,phonetic,example,note,definition_en
1,accounting,/əˈkaʊntɪŋ/,She studied accounting to become a certified public accountant.,,
2,art history,/ɑrt ˈhɪstəri/,Art history allows us to travel through time by examining the artistic expressions of different cultures.,,
3,communication,/kəˌmjuːnɪˈkeɪʃən/,,,
4,computer science,/kəmˈpjuːtɚ ˈsaɪəns/,He studied computer science to learn how to build his own website.,,
5,cultural studies,/ˈkʌlʧərəl ˈstʌdiz/,"Cultural studies delves into the meaning behind everyday practices, like why we wear certain clothes or celebrate specific holidays.",,
6,dentistry,/ˈdɛntɪstri/,,,
7,economics,"/ˌɛkəˈnɑmɪks/ , /ˌiːkəˈnɑmɪks/",He decided to study economics to understand how markets work.,,
8,engineering,/ˌɛnʤɪˈnɪrɪŋ/,She chose engineering as her major because she loves solving problems.,,
9,finance,"/ˈfaɪnæns/ , /fɪˈnæns/",She studied finance to understand investment strategies.,,
10,geology,/ʤiˈɑlədʒi/,Geology explains why mountain ranges exist and how they formed over millions of years.,,
11,information technology,/ˌɪnfɚˈmeɪʃən tɛkˈnɑləʤi/,"Information technology plays a crucial role in modern businesses, enabling efficient communication and data management.",,
12,law,/lɑ/,I'm considering majoring in law to gain a deeper understanding of the legal systems that shape our society.,,
13,linguistics,/lɪŋˈɡwɪstɪks/,,,
14,logic,/ˈlɑʤɪk/,"Many universities offer courses in logic, teaching students how to construct and deconstruct arguments effectively.",,
15,management,"/ˈmænədʒmənt/, /ˈmænɪdʒmənt/",Effective management is crucial for ensuring that a team meets its goals and operates smoothly.,,
16,medicine,"/ˈmɛdɪsən/ , /ˈmɛdɪsɪn/","After years of rigorous study, she graduated from medical school and was excited to begin her career in medicine, helping patients recover from illnesses.",,
17,nutrition,/nuˈtrɪʃən/,"Her passion for nutrition led her to pursue a career as a dietitian, helping others improve their health and well-being through proper nutrition.",,
18,philosophy,/fəˈlɑsəfi/,"He studied philosophy in college, exploring deep questions about existence, knowledge, and the nature of reality.",,
19,physiology,/ˌfɪziˈɑlədʒi/,She is studying physiology to understand how the body's systems work together.,,
20,political science,/pəˈlɪtɪkəl ˈsaɪəns/,She is majoring in political science at university.,,
21,psychiatry,"/saɪˈkaɪətri/ , /sɪˈkaɪətri/",,,
22,psychology,/saɪˈkɑlədʒi/,She studied psychology to understand how the human mind works.,,
23,robotics,/roʊˈbɑtɪks/,,,
24,sociology,"/ˌsoʊsiˈɑlədʒi/ , /ˌsoʊʃiˈɑlədʒi/",She decided to study sociology because she was interested in how culture influences people's behaviors.,,
25,statistics,/stəˈtɪstɪks/,The teacher taught us how to use statistics to analyze survey results.,,
