order,word,phonetic,example,note,definition_en
1,to appeal,/əˈpiɫ/,His speech appealed to voters' desire for change and better opportunities.,,
2,to consult,/kənˈsəɫt/,The lawyer consulted with her colleagues to prepare for the upcoming trial.,,
3,to contest,/ˈkɑnˌtɛst/,She plans to contest the election results in court.,,
4,to disgust,/dɪsˈɡʌst/,His rude behavior towards the waiter disgusted everyone at the table.,,
5,to favor,/ˈfeɪvɝ/,I favor spending my weekends in nature rather than in the city.,,
6,favorite,/ˈfeɪvɚɪt/,"Ice cream is my favorite dessert, especially the chocolate flavor.",,
7,to go for,/ɡˈoʊ fɔːɹ/,"She couldn't decide between the two dresses, so she went for the one with the floral pattern.",,
8,to shy away from,/ʃˈaɪ ɐwˈeɪ fɹʌm/,He tends to shy away from public speaking due to his nervousness.,,
9,to [make] up {one's} mind,/mˌeɪk ˌʌp wˈʌnz mˈaɪnd/,"After much consideration, she finally made up her mind to pursue her dream of starting her own business.",,
10,to pick out,/pˈɪk ˈaʊt/,"Out of all the puppies, he picked out the one with the white patch on its forehead.",,
11,to put up with,/pˌʊt ˈʌp wɪð/,Parents often put up with the messiness of young children for the joy they bring.,,
12,to think over,/θˈɪŋk ˈoʊvɚ/,I will think the job offer over during the weekend.,,
13,to [take] account of {sth},/tˈeɪk ɐkˈaʊnt ʌv ˌɛstˌiːˈeɪtʃ/,The design takes account of environmental concerns.,,
14,to turn to,/tˈɜːn tuː/,She turned to her friend for advice on the difficult decision.,,
15,would rather,/wʊd ɹˈæðɚ/,She would rather stay home and read a book than go out to a party.,,
16,decision maker,/dᵻsˈɪʒən mˈeɪkɚ/,"As the CEO, she is the ultimate decision maker for the company's strategic direction.",,
17,dislike,/dɪsˈlaɪk/,She has a strong dislike for spicy foods.,,
18,preference,"/ˈpɹɛfɝəns/, /ˈpɹɛfɹəns/",He showed a preference for classical music.,,
19,resolution,/ˌɹɛzəˈɫuʃən/,She made a resolution to finish writing her novel by the end of the year.,,
20,taste,/teɪst/,Her taste in clothing reflects her keen eye for elegant and timeless fashion.,,
21,criteria,/kɹaɪˈtɪɹiə/,The criteria for choosing the winner of the art contest are creativity and technique.,,
22,liking,/ˈɫaɪkɪŋ/,I have a liking for spicy food because it excites my taste buds.,,
23,tendency,/ˈtɛndənsi/,There is a tendency to overestimate risks in new projects.,,
24,alternatively,/ɔɫˈtɝnətɪvɫi/,"If you prefer not to drive, you can alternatively take the train to the city.",,
25,to please,/pliːz/,The musician pleases the crowd by playing her favorite song.,,
26,instead,/ˌɪnˈstɛd/,"I was going to go out for dinner, but I decided to cook at home instead.",,
27,to disrespect,/ˌdɪsɹɪˈspɛkt/,She disrespected her teacher by talking back in class.,,
28,to die,/daɪ/,I'm dying for a cup of coffee right now.,,
