order,word,phonetic,example,note,definition_en
1,action movie,/ˈækʃən ˈmuːvi/,The latest action movie features intense fight scenes and jaw-dropping stunts.,,
2,animation,/ˌænɪˈmeɪʃən/,Children often enjoy animation because of the colorful characters and imaginative worlds.,,
3,audition,/ɑˈdɪʃən/,She nervously prepared for her audition by practicing her lines over and over.,,
4,box office,/bɑks ˈɑːfɪs/,The theater's box office opens an hour before the show.,,
5,cast,/kæst/,She was excited to join the cast of the upcoming film.,,
6,classic,/ˈklæsɪk/,The book is regarded as a classic in English literature.,,
7,clown,/klaʊn/,,,
8,critic,/ˈkrɪtɪk/,The film critic praised the director's innovative storytelling and powerful performances in her review.,,
9,criticism,/ˈkrɪtɪˌsɪzəm/,Criticism of a play can influence audience perceptions and discussions about its themes and messages.,,
10,to direct,"/daɪˈrɛkt/ , /dəˈrɛkt/","During rehearsals, the director focused on directing the actors' movements and expressions to convey the intended emotions.",,
11,dramatic,/drəˈmætɪk/,She took a course in dramatic arts at university.,,
12,to edit,/ˈɛdɪt/,"After shooting wrapped, the director and editor collaborated to edit the documentary.",,
13,editor,/ˈɛdɪtɚ/,She's an experienced film editor who has worked on several award-winning movies.,,
14,entertaining,/ˌɛntɚˈteɪnɪŋ/,Her entertaining storytelling had everyone at the party enthralled.,,
15,film festival,/fɪlm ˈfɛstɪvəl/,"The Cannes Film Festival is one of the most prestigious film festivals in the world, attracting filmmakers and celebrities from around the globe.",,
16,genre,/ˈʒɑnrə/,Impressionism is a genre of painting known for its focus on light and color.,,
17,part,/pɑːrt/,,,
18,to produce,/prəˈdus/,She produced a TV series about adopted children.,,
19,melodrama,/ˈmɛloʊˌdrɑmə/,"The movie descended into melodrama in the final act, with characters delivering over-the-top speeches and indulging in exaggerated emotional outbursts.",,
20,movie maker,/ˈmuːvi ˈmeɪkɚ/,"As a movie maker, she enjoys bringing stories to life through the magic of cinema.",,
21,musical,/ˈmjuːzɪkəl/,"The school is putting on a musical this spring, and I can't wait to see the students showcase their talents in singing, dancing, and acting.",,
22,script,/skrɪpt/,The actor memorized his lines from the script before the performance.,,
23,scriptwriter,/ˈskrɪptˌraɪtɚ/,The scriptwriter spent months developing the movie’s dialogue.,,
24,silent movie,/ˈsaɪlənt ˈmuːvi/,,,
25,special effects,/ˈspɛʃəl ɪˈfɛkts/,The blockbuster movie featured breathtaking special effects that amazed audiences.,,
26,stage,/steɪʤ/,The actor stepped onto the stage to deliver his monologue.,,
27,star,/stɑr/,The actor became a star after his breakout role in the movie.,,
28,superhero,/ˈsuːpɚˌhɪroʊ/,,,
29,superstar,/ˈsuːpɚˌstɑr/,The actor became a superstar after his breakout role in the blockbuster movie.,,
30,demigod,/ˈdɛmiˌɡɑd/,The rock star became a demigod to his fans.,,
31,thriller,/ˈθrɪlɚ/,He enjoys watching thrillers with intense action and unpredictable twists.,,
32,tragedy,/ˈtræʤədi/,"Shakespeare's 'Hamlet' is a classic tragedy, depicting the tragic downfall of its title character.",,
33,trailer,/ˈtreɪlɚ/,The studio released a second trailer with more footage from the film.,,
34,villain,/ˈvɪlən/,The villain plotted to take over the kingdom.,,
35,Western,/ˈwɛstɚn/,The classic Western features thrilling gunfights and dramatic standoffs between lawmen and outlaws.,,
