order,word,phonetic,example,note,definition_en
1,haute couture,/hˈɔːt kuːtˈʊɹ/,The designer's latest haute couture collection dazzled the fashion world with its exquisite craftsmanship and innovative designs.,,
2,loafer,/ˈɫoʊfɝ/,He slipped on a pair of comfortable loafers before heading out for a leisurely stroll around the neighborhood.,,
3,kaftan,/kˈæftən/,She wore a flowing kaftan to the summer party.,,
4,brocade,/bɹoʊˈkeɪd/,The curtains in the room were made of luxurious brocade fabric.,,
5,haberdashery,/ˈhæbɝˌdæʃɝi/,"The haberdashery displayed an array of men's accessories, including ties, pocket squares, and cufflinks, adding a touch of sophistication to any ensemble.",,
6,jacquard,/dʒˈækɑːɹd/,"She wore a stunning jacquard dress to the gala, adorned with intricate floral patterns.",,
7,mantua,/ˈmæntʃuə/,The mantua featured elaborate embroidery along the bodice.,,
8,peplum,/pˈɛpləm/,The dress featured a flattering peplum that accentuated her waist and added a touch of flair to the silhouette.,,
9,yoke,/ˈjoʊk/,"The shirt had a decorative yoke embellished with intricate embroidery, adding visual interest to the neckline.",,
10,peignoir,/pˈeɪnwɑːɹ/,"She lounged in her luxurious silk peignoir, feeling elegant and glamorous.",,
11,wimple,/wˈɪmpəl/,The medieval nun wore a white wimple as part of her habit.,,
12,taffeta,/ˈtæfətə/,Her bridesmaid dress was made of shimmering pink taffeta.,,
13,raiment,/ɹˈeɪmənt/,She selected a beautiful gown from her raiment for the gala event.,,
14,modiste,/mədˈiːst/,The modiste crafted a custom gown for the client's special occasion.,,
15,accouterment,/əˈkutɝmənt/,"The soldier's uniform was complete with all necessary accouterments, including a helmet, rifle, and canteen.",,
16,reticule,/ɹˈɛɾɪkjˌuːl/,"She carried a delicate reticule to the ball, matching her gown.",,
17,furbelow,/ˈfɝːbəˌloʊ/,The dress was adorned with a furbelow of lace along the hem.,,
18,millinery,/mˈɪlɪnˌɛɹi/,"After attending a millinery workshop, Jenna discovered her passion for designing intricate and elegant women's hats.",,
19,filigree,/ˈfɪɫəˌɡɹi/,Her earrings featured intricate filigree patterns.,,
20,panache,/pəˈnɑʃ/,The knight adorned his helmet with a vibrant panache.,,
21,crinoline,/kɹˈɪnəlˌiːn/,"In the 19th century, women often wore crinolines under their dresses to achieve a voluminous silhouette.",,
22,pelisse,/pˈɛlɪs/,His pelisse was tailored to fit snugly over his military uniform.,,
23,bespoke,/bʊˈspoʊk/,"She wore a bespoke gown on her wedding day, tailored to perfection.",,
24,sartorial,/sɑɹˈtɔɹiəɫ/,"His sartorial choices reflected his impeccable taste and attention to detail, always opting for tailored suits and polished shoes.",,
25,quilted,/ˈkwɪɫtɪd/,She wore a quilted jacket to stay warm in the chilly weather.,,
26,ruched,/ɹˈʌtʃt/,"The dress was adorned with ruched detailing along the bodice, adding texture and dimension to the garment.",,
27,dapper,/ˈdæpɝ/,He looked incredibly dapper in his tailored suit and polished shoes.,,
28,de rigueur,/dɚ ɹˈiːɡˈʊɹ/,Wearing a black tie to the event is de rigueur.,,
29,gorget,/ɡˈoːɹɡɪt/,She wore a gown with an intricate lace gorget.,,
