order,word,phonetic,example,note,definition_en
1,education,/ˌɛdʒʊˈkeɪʃən/,She pursued higher education by attending a prestigious university.,,
2,to educate,/ˈɛdʒʊˌkeɪt/,Schools exist to educate children.,,
3,educational,/ˌɛdʒʊˈkeɪʃənəl/,The educational program aims to enhance students' understanding of environmental conservation.,,
4,educated,/ˈɛdʒʊˌkeɪtɪd/,"As an educated individual, she possessed a strong foundation of knowledge and critical thinking skills acquired through years of study and exploration.",,
5,academic,/ˌækəˈdɛmɪk/,Pursuing an academic degree requires dedication to studying and researching a specific subject area.,,
6,assignment,/əˈsaɪnmənt/,The teacher handed out a challenging assignment on algebraic equations.,,
7,classwork,/ˈklæsˌwɝk/,The teacher assigned a group discussion as part of the classwork for today.,,
8,campus,/ˈkæmpəs/,The campus of the university is spread out over 100 acres of land.,,
9,diploma,/dɪˈploʊmə/,She proudly displayed her diploma on the wall of her office.,,
10,adult education,/əˈdʌlt ˌɛdʒʊˈkeɪʃən/,The university's evening classes cater exclusively to adult education.,,
11,higher education,/ˈhaɪɚ ˌɛdʒʊˈkeɪʃən/,"Higher education can be expensive, but it often leads to better job opportunities.",,
12,private,/ˈpraɪvɪt/,She keeps her private thoughts and feelings to herself.,,
13,private school,/ˈpraɪvɪt ˌskuːl/,She attended a prestigious private school known for its excellent academic record.,,
14,kindergarten,/ˈkɪndɚˌɡɑrtən/,"Kindergarten is often a child's first formal introduction to a structured learning environment, where they begin to develop essential social and academic skills.",,
15,grad,/ɡræd/,,,
16,to graduate,/ˈɡrædʒuˌeɪt/,She graduated with honors from the university.,,
17,undergraduate,/ˌʌndɚˈɡrædʒuət/,Undergraduates typically pursue bachelor's degrees before considering graduate studies.,,
18,graduation,/ˌɡrædʒuˈeɪʃən/,Graduation marks an important milestone in every student’s life.,,
19,degree,/dɪˈɡriː/,"After years of hard work and dedication, she finally received her bachelor's degree in biology.",,
20,lecturer,/ˈlɛktʃɚɚ/,The lecturer explained the complex theory in simple terms.,,
21,pupil,/ˈpjuːpɪl/,Teacher assigned homework to each pupil in the class.,,
22,period,/ˈpɪriəd/,"During the first period, the class focused on mathematics, tackling complex equations and problem-solving.",,
23,to review,/rɪˈvjuː/,"With the final exam approaching, she set aside time each evening to review the course material.",,
24,to attend,/əˈtɛnd/,Students are expected to attend all classes to ensure academic success.,,
25,to drop out,/ˈdrɑp ˌaʊt/,"Due to personal reasons, she had to make the difficult decision to drop out of college.",,
26,to examine,/ɪɡˈzæmɪn/,The teacher will examine the students on their understanding of the lesson.,,
27,exercise,/ˈɛksɚˌsaɪz/,The math textbook included a variety of exercises at the end of each chapter to help students practice solving equations.,,
28,examination,/ɪɡˌzæməˈneɪʃən/,The students were nervous before their final examination in mathematics.,,
29,quiz,/kwɪz/,The teacher gave a surprise quiz at the end of the lesson.,,
30,tuition,/tuˈɪʃən/,,,
31,to [hit] the books,/hɪt ðə ˈbʊks/,I can't go out tonight. I need to hit the books.,,
32,genius,/ˈdʒiːniəs/,Albert Einstein is widely regarded as a genius in physics.,,
