order,word,phonetic,example,note,definition_en
1,synecdoche,/sˈaɪnɪkdˌɑːtʃ/,"In literature, synecdoche is a figure of speech where a part of something is used to represent the whole, or vice versa, such as referring to a car as ""wheels.""",,
2,antagonist,/ænˈtæɡənəst/,"The antagonist in the novel was a cunning and ruthless villain, determined to thwart the protagonist's plans at every turn.",,
3,protagonist,/pɹoʊˈtæɡənəst/,The protagonist of the novel is a young orphan who embarks on a journey of self-discovery and adventure.,,
4,frame story,/fɹˈeɪm stˈoːɹi/,"The frame story of the novel serves as a narrative device, framing the main plot with an overarching tale that provides context and perspective.",,
5,conceit,/kənˈsit/,"John Donne's metaphysical poetry is famous for its conceits, such as comparing lovers to a compass.",,
6,hyperbole,/haɪˈpɝbəˌɫi/,His statement that he'd slept for a century was a hyperbole to express his exhaustion.,,
7,epigraph,/ˈɛpɪɡɹˌæf/,The novel opens with an epigraph from T.S. Eliot.,,
8,miscellanea,/mɪsɪlˈeɪniə/,"The bookshelves were filled with miscellanea, ranging from ancient artifacts to quirky knick-knacks collected over the years.",,
9,whodunit,/huˈdənɪt/,"The latest novel by the bestselling author is a gripping whodunit, filled with twists and turns that keep readers guessing until the very end.",,
10,codex,/kˈoʊdɛks/,"The museum's prized exhibit is an illuminated codex from the medieval period, featuring intricately detailed illustrations and calligraphy.",,
11,parable,/ˈpɛɹəbəɫ/,The teacher used a parable to explain the importance of honesty.,,
12,zeugma,/zjˈuːɡmə/,"The writer's clever use of zeugma added a layer of wit to his novel, connecting disparate ideas with a single verb.",,
13,allegory,/ˈæɫəˌɡɔɹi/,The Pilgrim's Progress is a classic allegory depicting the soul's journey toward salvation.,,
14,allusion,/əˈɫuʒən/,"Her comment about ""meeting her Waterloo"" was an allusion to Napoleon's final defeat, implying she faced an insurmountable challenge.",,
15,abridgment,/ɐbɹˈɪdʒmənt/,"The publisher released an abridgment of the classic novel, making it more accessible to modern readers with limited time.",,
16,foil,/ˈfɔɪɫ/,Dr. Watson serves as a foil to Sherlock Holmes.,,
17,oxymoron,/ˌɑkˈsiˈmɔɹɑn/,"The phrase ""bittersweet victory"" is an oxymoron, highlighting the mixed emotions of winning a hard-fought battle at a great cost.",,
18,foreshadowing,/fɔɹˈʃædoʊɪŋ/,The eerie music playing in the background served as foreshadowing for the ominous events about to unfold.,,
19,metafiction,/mˌɛɾəfˈɪkʃən/,"The novel employed metafiction, blurring the lines between fiction and reality by having the characters acknowledge their existence as creations of the author.",,
20,bildungsroman,/bˈɪldəŋsɹˌoʊmən/,"The novel follows the protagonist's coming-of-age journey from adolescence to adulthood, making it a classic example of bildungsroman literature.",,
21,elegy,/ˈɛɫəˌdʒi/,"The poet composed an elegy to mourn the passing of a beloved friend, capturing the grief and longing felt by those left behind.",,
22,cacophony,/kæˈkɑfəni/,"In the poem, the poet used cacophony to evoke the tumultuous emotions of the protagonist as they grappled with inner turmoil.",,
23,motif,/moʊˈtif/,"The motif of the ""hero's journey"" is a common theme in many epic tales, symbolizing the protagonist's growth and transformation.",,
24,simile,/sˈɪmɪli/,"The poet used a simile to compare the clouds to cotton candy, painting a vivid picture of their fluffy, ethereal appearance.",,
25,eclogue,/ɪklˈɑːɡ/,"The poet's eclogue depicted a pastoral scene, with shepherds and nymphs gathering by a tranquil stream to share tales of love and loss.",,
26,royalty,/ˈɹɔɪəɫti/,"The author receives a royalty for each copy of their book sold, providing them with income from their creative work.",,
27,non sequitur,/nˈɑːn sˈɛkwɪtʃɚ/,Her comment about the weather was a non sequitur in the middle of the debate.,,
28,canonical,/kəˈnɑnəkəɫ/,"Jane Austen's novels are considered part of the canonical literature of English literature, studied and revered by scholars and readers alike.",,
29,epistolary,/ɪˈpɪstəˌɫɛɹi/,Epistolary novels like Dracula brought the epistle format to broader audiences through fictitious correspondence between characters.,,
