order,word,phonetic,example,note,definition_en
1,course,/kɔrs/,He completed a photography course to enhance his camera skills.,,
2,lesson,/ˈlɛsən/,"In the art lesson, we practiced drawing landscapes.",,
3,subject,/ˈsʌbˌdʒɛkt/,"At university, Jane specialized in the subject of linguistics, studying various languages and their structures.",,
4,level,/ˈlevəl/,"At her current level of English, Sarah can have basic conversations and understand everyday expressions.",,
5,semester,/səˈmɛstɚ/,"At the end of each semester, students receive a report card with their grades.",,
6,major,/ˈmeɪdʒɚ/,She decided to declare psychology as her major after taking an introductory course and discovering her passion for the subject.,,
7,classmate,/ˈklæsˌmeɪt/,"At the class reunion, old classmates reminisced about their shared experiences and achievements.",,
8,partner,/ˈpɑːrtnɚ/,"Alex's tennis partner is really skilled, and they make a great team.",,
9,dictionary,/ˈdɪkʃəˌnɛri/,A pocket-sized dictionary can be handy during travels to help communicate in different languages.,,
10,exam,/ɪɡˈzæm/,"In the language exam, we had to write a short essay on our favorite book.",,
11,test,/tɛst/,"After the language test, the teacher provided feedback to help the students improve their language skills.",,
12,practice,/ˈpræktɪs/,Daily practice of yoga can improve flexibility and reduce stress.,,
13,activity,/ækˈtɪvɪti/,Drawing and painting are creative activities that can express your emotions.,,
14,problem,/ˈprɑːbləm/,"In the competition, each team had to solve the same set of problems",,
15,to solve,/sɑːlv/,A positive attitude can often help you solve various challenges in life.,,
16,grade,/ɡreɪd/,I received an A grade on my English test because I studied hard.,,
17,project,/ˈprɑːˌdʒɛkt/,"In the geography project, the students made a map of different countries and their capitals.",,
18,research,"/ˈriːˌsɜrʧ/ , /rɪˈsɜrʧ/",Mark spent hours in the library doing research for his history paper.,,
19,summary,/ˈsʌməri/,"After the meeting, I sent a summary of the key points to all participants.",,
20,article,/ˈɑːrtɪkəl/,I found an article online that explained how to improve time management skills.,,
21,page,/peɪdʒ/,I turned the page to continue reading the story in the book.,,
22,whiteboard,/ˈwaɪtˌbɔːrd/,"During the language class, the teacher wrote new vocabulary on the whiteboard.",,
23,cafeteria,/ˌkæfəˈtɪriə/,The cafeteria is a popular place for students to socialize during break time.,,
24,list,/lɪst/,John checked the list of ingredients before starting to cook.,,
25,line,/laɪn/,The buses were parked in a line at the bus station.,,
26,note,/noʊt/,I wrote a quick note to remind myself to buy groceries after work.,,
27,to pass,/pæs/,Did you pass all your exams?,,
28,to fail,/feɪl/,"Despite studying hard, he failed the math test.",,
29,present,/ˈprɛzənt/,"During the roll call, the teacher marks those who are present.",,
30,absent,/ˈæbsənt/,Jane was absent from school yesterday due to a fever.,,
31,junior,/ˈʤuːnjɚ/,"As juniors, they are preparing for standardized tests and college entrance exams.",,
32,to focus,/ˈfoʊkəs/,Jane can focus better when she listens to instrumental music.,,
33,freshman,/ˈfrɛʃmən/,"As a freshman, it's essential to seek guidance from seniors and professors for academic success.",,
34,sophomore,/ˈsɑːfəˌmɔːr/,"As a sophomore, I am taking more advanced classes in my major.",,
35,senior,/ˈsiːniɚ/,"In college, seniors have the opportunity to complete a senior thesis.",,
36,board,/bɔːrd/,The teacher wrote the day's lesson on the board at the front of the classroom.,,
37,drawing,/ˈdrɔːɪŋ/,The artist displayed a collection of stunning charcoal drawings at the gallery.,,
