order,word,phonetic,example,note,definition_en
1,to beat,/biːt/,The bully threatened to beat the younger student if he didn't hand over his lunch money.,,
2,to clap,/ˈkɫæp/,The audience clapped enthusiastically after the concert.,,
3,to drag,/dræɡ/,She drags the suitcase across the airport floor.,,
4,to grab,/ˈɡɹæb/,The police officer grabbed the suspect by the arm and pulled him away from the scene of the crime.,,
5,to punch,/pʌntʃ/,"In a fit of anger, he decided to punch the wall, leaving a hole.",,
6,to shake,/ʃeɪk/,"In a traditional ceremony, the newlyweds shook hands with each member of the wedding party.",,
7,to bend,/bɛnd/,He bent over to tie his shoelaces.,,
8,to bow,/baʊ/,"As the queen entered the room, the courtiers bowed deeply.",,
9,to lean,/ˈɫin/,"Feeling tired after the hike, she decided to lean against the tree to catch her breath.",,
10,to slouch,/ˈsɫaʊtʃ/,She slouched in her chair during the meeting.,,
11,to kneel,/ˈniɫ/,"In prayer, the congregation was instructed to kneel and seek solace in their faith.",,
12,to leap,/ˈɫip/,"The athlete leaped over the high bar with impressive precision, setting a new record.",,
13,to tiptoe,/ˈtɪpˌtoʊ/,"Trying not to wake the baby, she tiptoed into the nursery.",,
14,to crawl,/ˈkɹɔɫ/,The baby began to crawl across the living room floor.,,
15,to lie down,/lˈaɪ dˈaʊn/,"I'm feeling tired, so I'm going to lie down for a while.",,
16,to blink,/ˈbɫɪŋk/,The bright light made her blink.,,
17,to gaze,/ˈɡeɪz/,"She gazed out of the window, lost in thought as the rain fell softly outside.",,
18,to squint,/ˈskwɪnt/,"In the bright sunlight, she squinted to shield her eyes from the glare.",,
19,to stare,/ˈstɛɹ/,"I often stare at the night sky, contemplating the stars.",,
20,to wink,/ˈwɪŋk/,"During the meeting, the colleague across the room winked to share a confidential message.",,
21,to chuckle,/ˈtʃəkəɫ/,The old man chuckled at the witty remark made by his friend.,,
22,to giggle,/ˈɡɪɡəɫ/,The schoolgirls couldn't help but giggle when their teacher told a funny story.,,
23,to smirk,/ˈsmɝk/,He couldn't hide his satisfaction and smirked at the success of his plan.,,
24,to march,/mɑrtʃ/,"The soldiers marched in perfect formation, their boots hitting the ground with a rhythmic cadence.",,
25,to nod,/ˈnɑd/,He nodded to greet his neighbor as he walked by.,,
26,to pace,/ˈpeɪs/,"The nervous father paced outside the delivery room, awaiting news of his newborn.",,
27,to trip,/trɪp/,She didn't notice the small step and tripped as she entered the dark room.,,
28,to [give] {sb} bunny ears,/ɡˈɪv ˌɛsbˈiː bˈʌni ˈɪɹz/,I can't believe you gave me bunny ears in that group photo!,,
29,to crouch,/ˈkɹaʊtʃ/,Crouch beside me so we can plan our next move.,,
30,to wake,/ˈweɪk/,"After a refreshing nap, it takes a moment to fully wake and regain awareness.",,
