order,word,phonetic,example,note,definition_en
1,atrocity,/əˈtɹɑsəti/,"After the war ended, several leaders were put on trial for the atrocities they had sanctioned.",,
2,admiral,/ˈædmɝəɫ/,"The admiral stood on the deck, surveying the fleet with a sense of pride and responsibility.",,
3,colonel,/ˈkɝnəɫ/,"The colonel inspected the troops, ensuring that everyone was prepared for the upcoming mission.",,
4,general,"/ˈdʒɛnɝəɫ/, /ˈdʒɛnɹəɫ/","The general addressed the troops, outlining the strategy for the upcoming campaign with confidence and clarity.",,
5,major,/ˈmeɪdʒɚ/,"The major coordinated the training exercises, ensuring that all soldiers were well-prepared for deployment.",,
6,veteran,"/ˈvɛtɝən/, /ˈvɛtɹən/",The veterans gathered at the memorial to honor fallen comrades on Veterans Day.,,
7,to assassinate,/əˈsæsəˌneɪt/,The secret agent was hired to assassinate the political leader during the summit.,,
8,to blast,/ˈbɫæst/,The demolition crew blasted the old building to make way for the new construction.,,
9,to blow up,/blˈoʊ ˈʌp/,The sudden impact blew the car up.,,
10,to bombard,/bɑmˈbɑɹd/,"During the war, the enemy aircraft would bombard the city with relentless airstrikes.",,
11,to charge,/ʧɑrdʒ/,"The cavalry charged the enemy lines with full force, breaking their formation.",,
12,to conquer,/ˈkɑŋkɝ/,The army worked strategically to conquer the enemy's territory.,,
13,to deploy,/dɪˈpɫɔɪ/,The general decided to deploy the troops along the perimeter for a defensive stance.,,
14,to evacuate,/ɪˈvækjueɪt/,"Outnumbered and ambushed by enemy forces, the military unit had no choice but to evacuate the area.",,
15,to execute,/ˈɛksəkˌjut/,The condemned criminal was executed by lethal injection after exhausting all appeals.,,
16,to mobilize,/ˈmoʊbəˌɫaɪz/,"In response to the threat, the country decided to mobilize its military forces.",,
17,to surrender,/sɝˈɛndɝ/,"Faced with overwhelming forces, the army decided to surrender to avoid further bloodshed.",,
18,to retreat,/ɹiˈtɹit/,"Faced with overwhelming enemy forces, the battalion decided to retreat from the battlefield.",,
19,guerrilla,/ɡɝˈɪɫə/,The guerrilla fighters used their knowledge of the terrain to launch surprise attacks on enemy outposts.,,
20,militia,"/məˈɫɪʃə/, /mɪˈɫɪʃə/",The militia was mobilized to assist in disaster relief efforts after the earthquake devastated the region.,,
21,militant,/ˈmɪɫətənt/,"She was known for her militant stance on animal rights, often participating in protests and direct actions.",,
22,naval,/ˈneɪvəɫ/,The naval academy trains officers for service in the navy.,,
23,civilian,/səˈvɪɫjən/,"After retiring from the army, he transitioned to civilian life and pursued a career in business.",,
24,defensive,/dɪˈfɛnsɪv/,The soldiers erected defensive barriers to fortify their position against enemy advances.,,
25,explosive,/ɪksˈpɫoʊsɪv/,The explosive device was diffused by the bomb squad.,,
26,A-bomb,/ˈeɪbˈɑːm/,"The A-bomb dropped on Hiroshima and Nagasaki in 1945 had devastating consequences, leading to widespread destruction and loss of life.",,
27,rifle,/ˈɹaɪfəɫ/,He adjusted the scope on his rifle before taking aim at the distant target.,,
28,fleet,/ˈfɫit/,The Pacific Fleet was deployed near the coast.,,
29,raid,/ˈɹeɪd/,The special forces unit planned a nighttime raid on the enemy compound to capture high-value targets.,,
30,curfew,/ˈkɝfju/,"The government imposed a strict curfew, requiring everyone to be indoors by 9 PM to maintain public safety.",,
