order,word,phonetic,example,note,definition_en
1,coconut,/ˈkoʊkəˌnʌt/,She cracked open a coconut to enjoy its refreshing water on a hot day at the beach.,,
2,pumpkin,/ˈpʌmpkɪn/,He carved a spooky face on the pumpkin and placed it on the front porch.,,
3,olive,/ˈɑlɪv/,She enjoyed a Mediterranean salad topped with sliced green olives and feta cheese.,,
4,date,/deɪt/,I love the sweet and caramel-like taste of fresh dates.,,
5,fig,/fɪɡ/,She picked a ripe fig from the tree in her garden.,,
6,apricot,"/ˈæprɪˌkɑt/ , /ˈeɪprɪˌkɑt/",Try some dried apricots as a healthy snack.,,
7,plum,/plʌm/,"The tree in the backyard was heavy with ripe plums, ready for picking.",,
8,nectarine,/ˈnɛktəˌrin/,I love biting into a juicy nectarine on a hot summer day.,,
9,lime,/laɪm/,Limes have a tangier taste compared to lemons.,,
10,tangerine,/ˌtændʒəˈrin/,I enjoy peeling open a tangerine and being greeted by its bright and citrusy scent.,,
11,tangelo,/ˈtændʒəˌloʊ/,"For a refreshing and nutritious beverage, I blend tangelo segments with ice and a splash of sparkling water.",,
12,mandarin,/ˈmændərɪn/,The scent of freshly peeled mandarin fills the room with a delightful citrus aroma.,,
13,cherry,/ˈʧɛri/,She picked a handful of ripe cherries from the tree and popped them into her mouth.,,
14,berry,/ˈbɛri/,Dried berries are convenient and provide a satisfying chewy texture.,,
15,cranberry,/ˈkrænˌbɛri/,He added dried cranberries to his oatmeal for a sweet and tangy breakfast.,,
16,blackberry,/ˈblækˌbɛri/,She picked ripe blackberries from the bush and added them to her morning cereal.,,
17,cantaloupe,/ˈkæntəˌloʊp/,I added diced cantaloupe to my chicken salad for a burst of flavor and refreshing crunch.,,
18,melon,/ˈmɛlən/,My son's favorite summer treat is a juicy slice of melon.,,
19,papaya,/pəˈpaɪə/,He blended papaya with coconut milk and ice to make a tropical smoothie.,,
20,pomegranate,/ˈpɑməˌɡrænɪt/,She enjoyed scooping out the ruby-red seeds from a ripe pomegranate for a flavorful snack.,,
21,citrus,/ˈsɪtrəs/,"He squeezed fresh lemon juice into his water, enjoying the tangy taste of the citrus.",,
22,chestnut,/ˈʧɛstˌnʌt/,He gathered a bag full of chestnuts during his nature walk.,,
23,macadamia nut,/ˌmækəˈdeɪmiə ˈnʌt/,My friend shared a bag of chocolate-covered macadamia nuts with us.,,
24,pistachio,/pɪˈstæʃioʊ/,She carefully crushed the pistachios and sprinkled them over her ice cream.,,
25,cashew,"/ˈkæˌʃu/ , /ˈkæˌʃju/","As a chef, I love using cashews to create creamy vegan sauces that are both delicious and nutritious.",,
