order,word,phonetic,example,note,definition_en
1,muffled,/ˈməfəɫd/,"The distant thunder had a muffled quality, indicating the storm was still far away.",,
2,shrill,/ˈʃɹɪɫ/,The shrill sound of the alarm clock jolted her awake.,,
3,dissonant,/ˈdɪsənənt/,The dissonant chords in the composition created a sense of tension and unease.,,
4,grating,/ˈɡɹeɪtɪŋ/,"His grating laughter, a discordant symphony of annoyance, echoed through the room.",,
5,clanging,/ˈkɫæŋɪŋ/,The clanging of construction equipment reverberated through the construction site.,,
6,jarring,/ˈdʒɑɹɪŋ/,"The sudden crash of thunder was jarring, shaking the windows and startling everyone in the room.",,
7,squeaky,/ˈskwiki/,"The children's laughter filled the park, accompanied by the occasional squeaky swings.",,
8,raucous,/ˈɹɔkəs/,The raucous laughter from the party next door kept her awake all night.,,
9,whirring,"/ˈhwɝɪŋ/, /ˈwɝɪŋ/",The helicopter's blades produced a distinctive and continuous whirring noise during its descent.,,
10,raspy,/ˈɹæspi/,The singer's raspy voice added a unique and gritty texture to the blues song.,,
11,blaring,/ˈbɫɛɹɪŋ/,The blaring sirens of the fire trucks pierced the air as they rushed to the scene.,,
12,thudding,/θˈʌdɪŋ/,The thudding heartbeat in the suspenseful scene of the movie heightened the tension.,,
13,guttural,/ˈɡətɝəɫ/,The guttural growl of the wild animal echoed through the dense forest.,,
14,jangling,/dʒˈæŋɡəlɪŋ/,"With each step, the jangling keys hanging from his belt announced his presence.",,
15,susurrous,/sˈuːzɜːɹəs/,The susurrous sound of the wind through the trees was calming.,,
16,clangorous,/klˈæŋɡɚɹəs/,The clangorous sound of the bell signaled the end of recess.,,
17,mellisonant,/mˈɛlɪsənənt/,The mellisonant melody of the song enchanted everyone in the room.,,
18,strident,/ˈstɹaɪdənt/,The strident alarm jolted everyone awake in the middle of the night.,,
19,mellifluous,/mɛlˈɪfluːəs/,The mellifluous tones of the cello filled the concert hall with warmth and emotion.,,
20,euphonious,/juːfˈoʊnɪəs/,The songbird's euphonious tune was a delightful start to the day.,,
21,clamorous,/klˈæmɚɹəs/,The clamorous applause filled the theater after the stellar performance.,,
22,to screech,/ˈskɹitʃ/,The car tires screeched as the driver slammed on the brakes.,,
23,to chime,/ˈtʃaɪm/,The clock on the wall chimes every hour.,,
24,to purl,/pɜːrl/,The stream purls gently as it flows over the smooth rocks.,,
25,reverberation,/ɹiˌvɝbɝˈeɪʃən/,"In the cathedral, the long reverberation time enhanced the choir's performance, creating a rich and immersive auditory experience.",,
