order,word,phonetic,example,note,definition_en
1,good,/ɡʊd/,She has a good memory and can remember details easily.,,
2,bad,/bæd/,The movie was bad and not enjoyable to watch.,,
3,high,/haɪ/,She had a high fever and needed to see a doctor.,,
4,low,/loʊ/,She was raising three kids on a low income.,,
5,big,/bɪɡ/,They live in a big house.,,
6,small,/smɔl/,He had a small backpack that was easy to carry.,,
7,heavy,/ˈhɛvi/,He felt the weight of the heavy burden on his shoulders.,,
8,light,/laɪt/,He carried a light backpack filled with his school supplies.,,
9,expensive,/ɪkˈspɛnsɪv/,He bought an expensive watch as a gift for his father.,,
10,cheap,/tʃiːp/,He found a cheap flight deal for his vacation.,,
11,old,/oʊld/,He fixed an old clock that had stopped ticking.,,
12,new,"/njuː/, /nuː/",The new software update includes several innovative features not seen before.,,
13,beautiful,/ˈbjuːtɪfəl/,He painted a beautiful portrait of his sister.,,
14,ugly,/ˈʌɡli/,"Don't be so mean, calling someone ugly is not nice.",,
15,clean,/kliːn/,He washed his hands to keep them clean.,,
16,dirty,/ˈdɝːti/,He had a dirty face after playing in the mud.,,
17,easy,/ˈiːzi/,Cooking pasta is easy; you just boil water and add the noodles.,,
18,difficult,/ˈdɪfɪˌkʌlt/,Solving complex mathematical equations can be difficult without a strong understanding of mathematical principles.,,
19,fast,/fæst/,He had a fast response to emergency situations.,,
20,slow,/sloʊ/,He had a slow computer that took a long time to start up.,,
21,different,/ˈdɪfɝːənt/,He had a different perspective on the movie.,,
22,same,/seɪm/,I chose the same topic for my presentation as last year.,,
23,right,/raɪt/,He made the right decision after carefully considering all the options.,,
24,wrong,/rɑŋ/,He followed the wrong directions and got lost.,,
25,open,/ˈoʊpən/,He left the laptop open to continue working on his project.,,
26,closed,/kloʊzd/,He found a closed shop and had to look for another place to buy groceries.,,
27,true,/truː/,The statement she made about the project was true; everything was completed on time.,,
28,false,/fɔls/,He made a false claim about his achievements to impress others.,,
29,rich,/rɪtʃ/,He invested wisely and became incredibly rich.,,
30,poor,"/pʊr/ , /pɔːr/",He wanted to help the poor family who were struggling to afford basic necessities like food and clothing.,,
31,sure,"/ʃʊr/ , /ʃɔːr/","Being sure of his memory, he recited the poem flawlessly in front of the audience.",,
32,unsure,"/ʌnˈʃʊr/ , /ʌnˈʃɔːr/",He was unsure if he wanted pizza or pasta for dinner.,,
33,correct,/kəˈrɛkt/,His correct pronunciation impressed everyone in the language class.,,
34,incorrect,/ˌɪnkəˈrɛkt/,"His answer was incorrect, so he didn't get full marks.",,
