order,word,phonetic,example,note,definition_en
1,calamity,"/kəˈɫæməti/, /kəˈɫæmɪti/","The earthquake was a calamity that devastated the entire city, leaving buildings in ruins.",,
2,cataclysm,/ˈkætəˌkɫɪsəm/,"The 2004 Indonesian earthquake and tsunami caused a massive cataclysm that claimed over 200,000 lives.",,
3,ravage,/ˈɹævɪdʒ/,"The war's ravage left entire cities in ruins, with homes and infrastructure destroyed.",,
4,conflagration,/ˌkɑnfɫəˈɡɹeɪʃən/,"The forest was reduced to ashes in the massive conflagration, which raged uncontrollably for days.",,
5,scourge,/ˈskɝdʒ/,"The pandemic emerged as a global scourge, affecting millions of lives and overwhelming healthcare systems.",,
6,aftershock,/ˈæf.tɚ.ʃɑːk/,"Following the major earthquake, a series of aftershocks rattled the region, causing further concern among residents.",,
7,temblor,/ˈtɛmbɫɝ/,"The region experienced a small temblor, causing brief vibrations but no significant damage.",,
8,deluge,/ˈdɛɫjudʒ/,"The deluge caused flash flooding throughout the city, overwhelming the drainage systems and submerging streets.",,
9,salvage,"/ˈsæɫvədʒ/, /ˈsæɫvɪdʒ/",The crew performed a daring salvage of the stranded vessel.,,
10,epicenter,/ˈɛpəˌsɛntɝ/,"The epicenter of the earthquake was located just outside the city, causing widespread damage to buildings and infrastructure.",,
11,waterspout,/wˈɔːɾɚspˌaʊt/,"The waterspout formed over the lake, creating a mesmerizing yet potentially dangerous spectacle.",,
12,incinerator,/ˌɪnˈsɪnɝˌeɪtɝ/,The city's waste management system includes an incinerator to efficiently dispose of non-recyclable materials.,,
13,biohazard,/ˌbaɪoʊˈhæzɝd/,"The research facility was shut down after an accidental release of a biohazard, posing a serious risk to public health.",,
14,sludge,/ˈsɫədʒ/,The treatment plant removes sludge from the water before discharge.,,
15,soot,/ˈsʊt/,"The old fireplace emitted a cloud of soot, leaving dark stains on the surrounding walls.",,
16,effluent,/ˈɛfɫuənt/,"The factory was fined for discharging untreated effluent directly into the river, harming aquatic life and polluting the water.",,
17,detritus,"/ˈdɛtɹətəs/, /dɪˈtɹaɪtəs/","The forest floor was covered in detritus, including fallen leaves, twigs, and decaying plant matter.",,
18,hazmat suit,/hˈæzmæt sˈuːt/,The emergency responders donned hazmat suits before entering the contaminated area to protect themselves from hazardous materials.,,
19,fallout,/ˈfɔˌɫaʊt/,"After the nuclear test, the fallout spread over a wide area, causing environmental contamination.",,
20,aerosol,/ˈɛɹəˌsɑɫ/,Volcanic eruptions can release aerosols into the atmosphere.,,
21,particulate,/pɝˈtɪkjəɫət/,Air quality monitoring stations measure levels of particulate matter to assess pollution levels in urban areas.,,
22,catalytic converter,/kˌæɾɐlˈɪɾɪk kənvˈɜːɾɚ/,The catalytic converter plays a crucial role in reducing harmful emissions from automobiles by converting pollutants into less harmful compounds.,,
23,unleaded,/ənˈɫɛdɪd/,Most cars today run on unleaded gasoline.,,
