order,word,phonetic,example,note,definition_en
1,climate,/ˈklaɪmət/,She prefers the tropical climate with its warm temperatures and abundant rainfall.,,
2,condition,/kənˈdɪʃən/,He checked the condition of the tires before the long road trip.,,
3,air,/ɛr/,Fresh air is vital for good health.,,
4,cold,/koʊld/,She enjoyed the refreshing cold of the early morning air.,,
5,heat,/hit/,"In spite of the heat, they continued their trek through the desert.",,
6,wind,/wɪnd/,She could hear the wind howling outside her window.,,
7,windy,/ˈwɪndi/,He had to secure his hat due to the windy conditions.,,
8,fog,/fɑɡ/,He used his flashlight to navigate through the dense fog.,,
9,foggy,/ˈfɑɡi/,She loves to take pictures on foggy days.,,
10,breeze,/briz/,"He took a deep breath, enjoying the fresh mountain breeze.",,
11,storm,/stɔrm/,"After the storm, they found a fallen tree blocking the road.",,
12,stormy,/ˈstɔrmi/,The stormy skies darkened as the approaching thunderclouds rolled in.,,
13,blizzard,/ˈblɪzɚd/,The blizzard made driving conditions hazardous.,,
14,thunderstorm,/ˈθʌndɚˌstɔrm/,He captured a stunning photograph of a lightning bolt during the thunderstorm.,,
15,hail,/heɪl/,She watched the hail bounce off the window during the storm.,,
16,warm,/wɑrm/,She dipped her feet in the warm sand on the beach.,,
17,cool,/kul/,She appreciated the cool interior of the museum on the hot day.,,
18,freezing,/ˈfrizɪŋ/,He had to wait for the car to heat up before driving in the freezing weather.,,
19,chilly,/ˈʧɪli/,She put on a jacket to protect against the chilly wind.,,
20,clear,/klɪr/,He could see far into the distance because of the clear weather.,,
21,dark,/dɑrk/,"He walked down the dark alley, looking over his shoulder.",,
22,light,/laɪt/,She was reading a book in the light corner of the library.,,
23,wet,/wɛt/,He enjoyed the smell of wet soil after the rain.,,
24,dry,/draɪ/,She watered the dry plants in the garden.,,
25,to blow,/bloʊ/,"A gentle wind blew, making the lake's surface ripple.",,
26,to change,/tʃeɪndʒ/,Mary hasn't changed at all. She's just as kind-hearted as she was before.,,
27,awful,/ˈɔfəl/,He was in an awful mood because he lost his wallet.,,
28,mild,/maɪld/,"After weeks of cold, the mild day felt like a gift.",,
29,severe,/səˈvɪr/,The building suffered severe damage from the earthquake.,,
30,to snow,/snoʊ/,"If it snows tomorrow, school might be cancelled.",,
31,to rain,/reɪn/,It looks like it's going to rain; better bring an umbrella.,,
