order,word,phonetic,example,note,definition_en
1,cash,/kæʃ/,He always keeps a little cash in his wallet for emergencies.,,
2,dollar,/ˈdɑlər/,I need to break this twenty dollar bill into smaller ones.,,
3,euro,/ˈjʊroʊ/,I exchanged my dollars for euros before my trip to Europe.,,
4,pound,/paʊnd/,I exchanged my dollars for pounds before my trip to London.,,
5,cent,/sɛnt/,He dropped a few cents into the musician's guitar case.,,
6,credit card,/ˈkrɛdɪt kɑrd/,He applied for a new credit card with a lower interest rate.,,
7,debit card,/ˈdɛbɪt kɑrd/,He uses his debit card to pay his monthly bills.,,
8,check,/ʧɛk/,He left the restaurant without paying the check.,,
9,receipt,/rɪˈsit/,I couldn't read the faded print on the receipt.,,
10,bill,/bɪl/,He found a two-dollar bill in his grandfather's old wallet.,,
11,price,/praɪs/,He checked the price of the flight online.,,
12,cost,/kɑst/,He compared the cost of various insurance plans.,,
13,shopping,/ˈʃɑpɪŋ/,His favorite part of shopping is finding good deals.,,
14,store,/stɔr/,He always forgets something at the grocery store.,,
15,clothes store,/kloʊðz stɔr/,He found a great deal on jeans at the clothes store.,,
16,shopping bag,/ˈʃɑpɪŋ bæg/,He struggled to carry the heavy shopping bag.,,
17,shopping center,/ˈʃɑpɪŋ ˈsɛntɚ/,She took the bus to the shopping center.,,
18,department,/dɪˈpɑrtmənt/,He found a great gift in the music department.,,
19,customer,/ˈkʌstəmɚ/,The customer couldn't find the dress in her size.,,
20,item,/ˈaɪtəm/,Please check each item off the list as you find it.,,
21,gift,/ɡɪft/,He put the gift under the Christmas tree.,,
22,sale,/seɪl/,She's always first in line for the annual sale.,,
23,cart,/kɑrt/,He added several items to his online shopping cart.,,
24,advertisement,/ædˈvɝtɪzmənt/,I saw an interesting advertisement about a new Italian restaurant in town.,,
25,available,/əˈveɪləbəl/,Is there a table available for dinner reservations tonight?,,
26,free,/friː/,Free Wi-Fi is available in this café.,,
27,open,/ˈoʊpən/,My favorite coffee shop is open even on holidays.,,
28,closed,/kloʊzd/,"My favorite restaurant is closed, but they will deliver food.",,
29,to spend,/spɛnd/,She spent a lot on gifts for her family during the holiday season.,,
30,to offer,/ˈɑfɚ/,Our library offers a great selection of books and magazines.,,
31,to save,/seɪv/,She saves a portion of her salary every month for emergencies.,,
32,(up|) for sale,/ˈʌp fɔr seɪl/,The house on the corner is for sale.,,
33,to lend,/lɛnd/,She agreed to lend her friend some money until the next payday.,,
34,to borrow,/ˈbɑroʊ/,"Can I borrow your umbrella? It's raining outside, and I left mine at home.",,
35,to cost,/kɑst/,"The new smartphone costs $500, but it comes with advanced features.",,
