order,word,phonetic,example,note,definition_en
1,algorithm,/ˈæɫɡɝˌɪðəm/,The Euclidean algorithm is used to find the greatest common divisor of two integers.,,
2,variance,/ˈvɛɹiəns/,"In statistics, variance is a measure of how spread out the values in a data set are around the mean.",,
3,derivative,"/dɝˈɪvətɪv/, /dɝˈɪvɪtɪv/","Calculating the derivative of a position function yields the velocity function, describing the rate of change of position with respect to time.",,
4,integral,/ˈɪntəɡrəl/,The definite integral of a velocity function over a time interval gives the total displacement of an object during that time.,,
5,limit,/ˈlɪmɪt/,"In calculus, the concept of a limit is essential for defining derivatives, as it involves understanding how a function behaves near a given point.",,
6,catastrophe theory,/kɐtˈæstɹəfi θˈiəɹi/,"Catastrophe theory, introduced by French mathematician René Thom in the 1960s, is a branch of mathematics that studies sudden changes in the behavior of systems as a result of small changes in inputs or parameters.",,
7,differential,/ˌdɪfɝˈɛnʃəɫ/,The differential dx represents a small change in the variable x.,,
8,logarithm,/ˈɫɑɡɝˌɪðəm/,"In the logarithm log₂(8) = 3, the base 2 raised to the power of 3 equals 8.",,
9,prime,/ˈpɹaɪm/,Seven is a prime because it's only divisible by 1 and 7.,,
10,vector,/ˈvɛktɝ/,"In physics, force is often represented as a vector, considering both its magnitude and direction.",,
11,theorem,/ˈθɪɹəm/,Mathematicians often prove theorems to establish mathematical truths.,,
12,permutation,/ˌpɝmjuˈteɪʃən/,The number of permutations of three distinct objects is six.,,
13,eigenvalue,/ˈaɪɡənˌvæɫju/,Eigenvalues help us understand how matrices transform vectors.,,
14,set theory,/sˈɛt θˈiəɹi/,Set theory helps define relationships between different groups of numbers.,,
15,polynomial,/ˌpɑˌɫiˈnoʊmiəɫ/,Polynomials are used to represent curves in algebraic geometry.,,
16,integration,"/ˌɪnəˈɡɹeɪʃən/, /ˌɪntəˈɡɹeɪʃən/",Integration helps find the area under curves in math.,,
17,matrix multiplication,/mˈeɪtɹɪks mˌʌltɪplɪkˈeɪʃən/,Matrix multiplication is essential for solving systems of linear equations.,,
18,quadratic equation,/kwɑːdɹˈæɾɪk ɪkwˈeɪʒən/,Quadratic equations involve squared terms like x^2.,,
