order,word,phonetic,example,note,definition_en
1,rubenesque,/ɹˌuːbənˈɛsk/,The actress embraced her Rubenesque figure and refused to conform to Hollywood's unrealistic standards of beauty.,,
2,well-padded,/wˈɛlpˈædᵻd/,"Despite her well-padded frame, she exuded confidence and charisma wherever she went.",,
3,buxom,/ˈbəksəm/,The buxom farmhand carried baskets with ease and a smile.,,
4,pudgy,/ˈpədʒi/,The toddler had pudgy cheeks that everyone loved to pinch.,,
5,flabby,/ˈfɫæbi/,"After months of inactivity, his once-toned muscles had become flabby.",,
6,curvaceous,/kɝˈveɪʃəs/,"The curvaceous actress sashayed down the red carpet, turning heads with her hourglass figure.",,
7,husky,/ˈhəski/,The husky firefighter effortlessly lifted the heavy equipment during the rescue operation.,,
8,tubby,/ˈtəbi/,The tubby man struggled to fit into the narrow seat on the bus.,,
9,stocky,/ˈstɑki/,The stocky wrestler easily lifted his opponents off the ground.,,
10,svelte,/ˈsvɛɫt/,The svelte actress captivated audiences with her elegant appearance on the red carpet.,,
11,lanky,/ˈɫæŋki/,"As he grew taller, his lanky limbs seemed to be out of proportion with the rest of his body.",,
12,wiry,/ˈwɪɹi/,"The wiry gymnast executed intricate routines with grace and precision, showcasing his strength and flexibility.",,
13,sylphlike,/sˈɪlflaɪk/,"She moved across the dance floor with sylphlike grace, captivating everyone with her fluid movements.",,
14,willowy,/ˈwɪɫəwi/,"The willowy ballerina glided across the stage with effortless grace, captivating the audience.",,
15,spindly,/spˈɪndli/,"As the spider crawled across the wall, its spindly legs left delicate traces of silk.",,
16,scrawny,/ˈskɹɔni/,"Despite his appetite, he remained scrawny, unable to put on weight.",,
17,emaciated,/ɪˈmeɪʃiˌeɪtɪd/,The refugees were found in an emaciated state after weeks without food or water.,,
18,gangly,/ˈɡæŋɫi/,"As a teenager, he was tall and gangly, with arms and legs that seemed too long for his body.",,
19,cadaverous,/kɐdˈævɚɹəs/,"The patient's cadaverous appearance alarmed the doctors, indicating severe malnutrition.",,
20,brawny,/ˈbɹɔni/,The brawny construction worker effortlessly lifted heavy beams and carried them across the site.,,
21,sinewy,/ˈsɪnjui/,"The sinewy athlete sprinted effortlessly across the finish line, her muscles rippling with each stride.",,
22,statuesque,/ˌstætʃuˈɛsk/,"The statuesque actress commanded attention on the red carpet with her tall, elegant figure.",,
23,burly,/ˈbɝɫi/,"The burly bouncer stood at the door, his imposing presence deterring troublemakers from entering the club.",,
24,strapping,/ˈstɹæpɪŋ/,"The strapping young man effortlessly carried the heavy crates, showcasing his impressive strength.",,
25,stalwart,/ˈstɔɫwɝt/,"The stalwart knight stood guard at the castle gates, ready to defend against any threat.",,
26,waiflike,/wˈeɪflaɪk/,"The waiflike girl wandered through the streets, her large eyes filled with uncertainty and wonder.",,
27,swole,/swˈoʊl/,"After months of intense training and strict dieting, he became incredibly swole, impressing everyone at the gym.",,
28,thewy,/θjˈuːi/,The thewy wrestler dominated his opponents with his impressive strength and agility.,,
29,well-upholstered,/wˈɛlʌpˈoʊlstɚd/,"The well-upholstered gentleman enjoyed his meal, his hearty laugh filling the restaurant with joy.",,
