order,word,phonetic,example,note,definition_en
1,culture,/ˈkʌltʃɚ/,"In Japanese culture, it's customary to bow when greeting someone.",,
2,art,/ɑːrt/,Each piece of art at the museum tells a different story.,,
3,painting,/ˈpeɪntɪŋ/,I'm learning about the art of painting in my after-school class.,,
4,picture,/ˈpɪktʃɚ/,She drew a picture of a sunset over the mountains for her art class.,,
5,hit,/hɪt/,Her first novel was a hit and sold millions of copies worldwide.,,
6,instrument,/ˈɪnstrəmənt/,"A harmonica is a small, portable instrument, making it popular among travelers.",,
7,guitarist,/ɡɪˈtɑːrɪst/,"In the documentary, the lead guitarist shares his journey with music.",,
8,musician,/mjuːˈzɪʃən/,"As a musician, he finds inspiration in everyday sounds and rhythms.",,
9,jazz,/dʒæz/,"He's learning to play jazz on the piano, focusing on improvisation techniques.",,
10,rock music,/rɑːk ˈmjuːzɪk/,He hosts a radio show that explores the history of rock music.,,
11,record,/ˈrɛkɚd/,He started a small business selling records and vintage audio equipment.,,
12,tour,/tʊr/,She's excited to see her favorite musician on tour this fall.,,
13,voice,/vɔɪs/,"He tried to mimic the singer's voice, hitting the high notes with effort.",,
14,work,/wɝːk/,Each work in the artist's collection tells a unique story.,,
15,concert,"/ˈkɑːnsɚt/ , /ˈkɑːnsɜːrt/","After the concert, the band met with fans for autographs.",,
16,dancer,/ˈdænsɚ/,"Despite his age, he's a fantastic salsa dancer.",,
17,drum,/drʌm/,Drum lessons have helped him improve his sense of rhythm.,,
18,poet,/ˈpoʊɪt/,His favorite part about being a poet is connecting with readers through his words.,,
19,story,/ˈstɔːri/,He's a journalist known for his in-depth stories about political events.,,
20,novel,/ˈnɑvəl/,She's reading a novel about a detective solving mysteries in a small town.,,
21,song,/sɔːŋ/,Her lullaby is a sweet song that soothes her baby to sleep.,,
22,player,/ˈpleɪɚ/,He's a jazz trumpet player who performs in clubs around the city.,,
23,painter,/ˈpeɪntɚ/,The gallery is displaying works by a famous abstract painter.,,
24,classical,/ˈklæsɪkəl/,Her music teacher introduced her to several classical composers.,,
25,musical,/ˈmjuːzɪkəl/,He's taking a musical theory class to enhance his songwriting skills.,,
26,opera,"/ˈɑːprə/ , /ˈɑːpərə/",He's an opera singer with a powerful voice.,,
27,loud,/laʊd/,He slammed the door with a loud bang.,,
28,loudly,/ˈlaʊdli/,He laughed loudly at the joke.,,
29,to sing,/sɪŋ/,"At the karaoke night, everyone got a chance to sing.",,
30,to play,/pleɪ/,He played Beethoven's Symphony No. 5 on the violin.,,
31,pop music,/pɑːp mjˈuːzɪk/,Her pop music playlist always gets the party started.,,
32,to dance,/dæns/,"During the carnival, everyone were dancing in the streets.",,
