order,word,phonetic,example,note,definition_en
1,content,,,,
2,situation,,,,
3,attitude,,,,
4,impression,,,,
5,point,,,,
6,theory,,,,
7,thinking,,,,
8,choice,,,,
9,option,,,,
10,ignorance,,,,
11,doubt,,,,
12,possibility,,,,
13,concept,,,,
14,prediction,,,,
15,truth,,,,
16,need,,,,
17,permission,,,,
18,help,,,,
19,to [make] sure,,,,
20,no way,,,,
21,evidence,,,,
22,gap,,,,
23,in favor,,,,
24,sorry,,,,
25,unless,,,,
26,to point out,,,,
27,comparison,,,,
28,concern,,,,
29,growth,,,,
30,dream,,,,
31,nightmare,,,,
32,offer,,,,
33,sort of {~noun},,,,
34,difference,,,,
35,series,,,,
36,possession,,,,
37,defense,,,,
38,middle,,,,
39,boundary,,,,
40,feeling,,,,
41,plus,,,,
42,promise,,,,
