order,word,phonetic,example,note,definition_en
1,adulthood,/əˈdʌlthʊd/,"Adulthood brings new responsibilities, such as managing finances and making long-term decisions.",,
2,adolescence,/ˌædəˈlɛsəns/,Adolescence is a time of rapid physical growth.,,
3,adolescent,/ˌædəˈlɛsənt/,The adolescent struggled to fit in with their peers.,,
4,infant,/ˈɪnfənt/,The pediatrician provided guidance to the new parents on caring for their infant's health and development.,,
5,infancy,/ˈɪnfənsi/,"During infancy, babies develop rapidly, learning to crawl, babble, and explore their surroundings.",,
6,childhood,/ˈʧaɪldhʊd/,Sarah cherished the memories of her childhood spent playing in the backyard with her siblings.,,
7,boyhood,/ˈbɔɪhʊd/,"During his boyhood, summers were spent exploring the woods behind his house, building forts, and catching fireflies.",,
8,girlhood,/ˈɡɜrlhʊd/,Sarah cherished the memories of her girlhood spent playing with dolls and dressing up in princess costumes.,,
9,old age,/oʊld eɪʤ/,"Sarah's grandmother remained active and independent well into her old age, inspiring those around her with her vitality.",,
10,retirement,/rɪˈtaɪɚmənt/,She looks forward to traveling during her retirement.,,
11,to age,/eɪdʒ/,"As we age, our bodies undergo natural changes, including changes in skin elasticity and muscle tone.",,
12,elderly,/ˈɛldɚli/,The elderly couple enjoyed taking leisurely walks together in the park.,,
13,parental,/pəˈrɛntəl/,The parental responsibility of providing for children's needs is paramount.,,
14,born,/bɔrn/,"Sarah was born on a warm summer morning, bringing joy and happiness to her family.",,
15,middle age,/ˈmɪdəl eɪʤ/,He started a new career during middle age.,,
16,midlife,/ˈmɪdˌlaɪf/,,,
17,maturity,/məˈʧʊrɪti/,"Tom admired his grandfather for his wisdom and maturity, gained through a lifetime of experiences.",,
18,newborn,"/ˈnuˌbɔrn/ , /ˈnjuˌbɔrn/","Sarah cradled her newborn daughter in her arms, overwhelmed with love and joy.",,
19,toddler,/ˈtɑdlɚ/,"The toddler took his first steps, much to the delight of his parents.",,
20,teen,/tiːn/,The movie portrays the struggles and triumphs of a group of teens navigating high school.,,
21,preteen,/ˈpriˌtiːn/,"Sarah's daughter is a preteen, showing signs of independence and maturity as she approaches adolescence.",,
22,youth,/juθ/,"Sarah cherished the memories of her youth, filled with laughter, friendships, and new experiences.",,
23,senior,/ˈsiːniɚ/,Sarah's grandmother is a senior and enjoys discounts at many stores.,noun,
24,junior,/ˈʤuːnjɚ/,The junior division of the tennis tournament is open to players under the age of 18.,,
25,grownup,/ˈɡroʊnˌʌp/,"Sarah admired her parents as the ultimate grownups, capable of handling any challenge that came their way.",,
26,senior,/ˈsiːniɚ/,The senior citizens' center provides various activities and services for older adults in the community.,adjective,
