order,word,phonetic,example,note,definition_en
1,catharsis,/kəˈθɑɹsəs/,"Writing in a journal can provide a sense of catharsis, allowing individuals to express and process their emotions.",,
2,neurosis,/nʊˈɹoʊsəs/,"Neurosis often manifests as chronic anxiety, obsessive behaviors, or phobias that interfere with daily functioning.",,
3,dissociation,/dɪˌsoʊsiˈeɪʃən/,"Dissociation can lead to memory gaps or amnesia, where individuals may forget significant portions of their experiences.",,
4,cognitive behavioral therapy,/kˈɑːɡnɪtˌɪv bɪhˈeɪvjɚɹəl θˈɛɹəpi/,Cognitive behavioral therapy (CBT) is an evidence-based approach that helps individuals identify and change negative thought patterns and behaviors.,,
5,psyche,/ˈsaɪki/,Many cultures believe the psyche survives after death.,,
6,psychosis,/saɪˈkoʊsəs/,"Psychosis is a mental health condition characterized by a loss of contact with reality, often manifesting as hallucinations or delusions.",,
7,body dysmorphic disorder,/bˈɑːdi dɪsmˈoːɹfɪk dɪsˈoːɹdɚ/,"Body dysmorphic disorder (BDD) is a mental health condition where individuals obsess over perceived flaws in their appearance, which are often unnoticeable to others.",,
8,obsessive-compulsive disorder,/ˈɑːkd/,"Obsessive-compulsive disorder (OCD) is characterized by persistent, unwanted thoughts (obsessions) and repetitive behaviors (compulsions) performed to alleviate anxiety.",,
9,post-traumatic stress disorder,/pˈoʊsttɹɔːmˈæɾɪk stɹˈɛs dɪsˈoːɹdɚ/,"Post-traumatic stress disorder (PTSD) is a mental health condition that can develop after an individual experiences or witnesses a traumatic event, such as combat, a natural disaster, or a serious accident.",,
10,borderline personality disorder,/bˈoːɹdɚlˌaɪn pˌɜːsənˈælɪɾi dɪsˈoːɹdɚ/,"Borderline personality disorder (BPD) is a mental health condition characterized by intense and unstable relationships, emotions, and self-image.",,
11,dissociative identity disorder,/dɪsˈoʊsiətˌɪv aɪdˈɛntɪɾi dɪsˈoːɹdɚ/,"Dissociative identity disorder (DID), formerly known as multiple personality disorder, is a mental health condition characterized by the presence of two or more distinct personality states or identities within a single individual.",,
12,coping mechanism,/kˈoʊpɪŋ mˈɛkənˌɪzəm/,"Exercise can serve as a coping mechanism for managing stress, anxiety, and depression by releasing endorphins and promoting a sense of well-being.",,
13,defense mechanism,/dɪfˈɛns mˈɛkənˌɪzəm/,"Denial, a defense mechanism, involves refusing to accept or acknowledge the reality of a situation.",,
14,abreaction,/ɐbɹɪˈækʃən/,Abreaction can occur during therapy sessions.,,
15,bipolar disorder,/baɪpˈoʊlɚ dɪsˈoːɹdɚ/,Bipolar disorder is a mental health condition characterized by extreme mood swings that include periods of mania (elevated mood) and depression (low mood).,,
16,hypochondria,/ˌhaɪpəˈkɑndɹiə/,"Hypochondria, also known as illness anxiety disorder, is a mental health condition characterized by excessive worry and fear about having a serious medical illness, despite no or minimal evidence of actual illness.",,
17,kleptomania,/klˌɛptəmˈeɪniə/,Kleptomania is a mental health disorder characterized by a recurrent urge to steal items that are not needed for personal use or monetary gain.,,
18,latent content,/lˈeɪtənt kˈɑːntɛnt/,The therapist helped uncover the latent content of her recurring dreams.,,
19,masochism,/ˈmæsəkɪzəm/,Masochism involves finding pleasure in experiencing pain.,,
20,narcissism,/ˈnɑɹsɪˌsɪzəm/,Narcissism is a personality trait characterized by an exaggerated sense of self-importance and a constant need for admiration from others.,,
21,Oedipus complex,/ˈiːdɪpəs kˈɑːmplɛks/,The Oedipus complex describes a boy's feelings for his mother.,,
22,psychosomatic disorder,/sˌaɪkoʊsəmˈæɾɪk dɪsˈoːɹdɚ/,"A psychosomatic disorder is a condition in which physical symptoms are caused or aggravated by psychological factors, such as stress, anxiety, or emotional distress.",,
23,rationalization,"/ˌɹæʃənəɫɪˈzeɪʃən/, /ˌɹæʃnəɫɪˈzeɪʃən/",Rationalization helps people feel better about their decisions.,,
24,Freudian slip,/fɹˈɔɪdiən slˈɪp/,"During his speech, the politician made a Freudian slip, mistakenly referring to his opponent as ""my esteemed friend"" instead of ""my esteemed opponent.""",,
25,condensation,/ˌkɑndənˈseɪʃən/,Condensation simplifies intricate psychological processes into understandable forms.,,
