order,word,phonetic,example,note,definition_en
1,cuisine,/kwɪˈzin/,"They sampled a variety of Asian cuisine, including sushi, dim sum, and curry.",,
2,carbohydrate,"/ˌkɑɹboʊˈhaɪˌdɹeɪt/, /ˌkɑɹboʊˈhaɪdɹət/",She enjoys a balanced diet that includes whole grains rich in carbohydrates.,,
3,bagel,/ˈbeɪɡəɫ/,She enjoyed a toasted bagel with cream cheese and smoked salmon for breakfast.,,
4,baguette,/ˌbæˈɡɛt/,She bought a fresh baguette from the bakery to accompany her meal of cheese and wine.,,
5,cereal,/ˈsɪɹiəɫ/,"The farmer grew different types of cereal on his fields, including wheat and barley.",,
6,pastry,/ˈpeɪstɹi/,She enjoyed a flaky pastry filled with apple cinnamon for breakfast.,,
7,herb,"/ˈɝb/, /ˈhɝb/",I love the aroma of fresh herbs in my kitchen.,,
8,beet,/ˈbit/,She roasted beets with olive oil and herbs for a flavorful side dish.,,
9,green pepper,/ɡɹˈiːn pˈɛpɚ/,I prefer green pepper over the red variety.,,
10,red pepper,/ɹˈɛd pˈɛpɚ/,She added diced red pepper to the stir-fry for a sweet and crunchy texture.,,
11,goat cheese,/ɡˈoʊt tʃˈiːz/,She crumbled goat cheese over the salad for a rich and tangy addition.,,
12,margarine,/ˈmɑɹdʒɝən/,He reached for the tub of margarine to add a rich and smooth texture to his mashed potatoes.,,
13,sour cream,/sˈaɪʊɹ kɹˈiːm/,A classic potato salad is not complete without a creamy dressing made with sour cream.,,
14,raspberry,/ˈɹæzˌbɛɹi/,The cake was topped with fresh raspberries and a dusting of powdered sugar.,,
15,spice,/ˈspaɪs/,Cinnamon is a versatile spice that can be used in both sweet and savory dishes.,,
16,sweet potato,/swˈiːt pətˈeɪɾoʊ/,She baked sweet potatoes until they were tender and served them as a healthy side dish.,,
17,zucchini,/zuˈkini/,The recipe for the vegetable lasagna included layers of thinly sliced zucchini.,,
18,wheat,"/ˈhwit/, /ˈwit/",The recipe called for wheat to be ground into flour for making bread.,,
19,beefsteak,/ˈbifˌsteɪk/,Guests at the outdoor wedding reception enjoye grilled beefsteaks as the main course.,,
20,kebab,/kəˈbɑb/,They ordered chicken kebabs served with a side of rice and tzatziki sauce.,,
21,meatloaf,/ˈmitɫoʊf/,"She baked a classic meatloaf with ground beef, onions, and a tomato glaze on top.",,
22,mayonnaise,/ˈmeɪəˌneɪz/,"She spread mayonnaise on the sandwich to add a rich, creamy texture.",,
23,mustard,/ˈməstɝd/,She spread a dollop of mustard on her sandwich for an extra kick.,,
24,soy sauce,/sˈɔɪ sˈɔːs/,"She served a dipping sauce made from soy sauce, honey, and chili for the crispy spring rolls.",,
25,ketchup,/ˈkɛtʃəp/,He squirted ketchup on his hot dog to add a bit of sweetness and tang.,,
26,vinegar,/ˈvɪnəɡɝ/,"As soon as the vinegar touched her lips, she could feel the mouth-puckering sensation.",,
27,white sauce,/wˈaɪt sˈɔːs/,She used white sauce to make a classic lasagna with layers of pasta and cheese.,,
28,chewing gum,/tʃjˈuːɪŋ ɡˈʌm/,He popped a piece of chewing gum into his mouth to freshen his breath.,,
29,hard candy,/hˈɑːɹd kˈændi/,She enjoyed a piece of peppermint hard candy after her meal to freshen her breath.,,
30,lollipop,/ˈɫɑɫiˌpɑp/,She enjoyed a fruity lollipop while walking around the park on a sunny day.,,
31,popsicle,/ˈpɑpsɪkəɫ/,She enjoyed a refreshing orange popsicle on a hot summer day.,,
32,pudding,/ˈpʊdɪŋ/,She enjoyed a bowl of chocolate pudding after dinner as a sweet treat.,,
33,portion,/ˈpɔɹʃən/,She served a generous portion of pasta on each plate for dinner.,,
34,supper,/ˈsəpɝ/,They gathered around the table for a family supper of soup and sandwiches.,,
35,takeout,/ˈteɪˌkaʊt/,They decided to order takeout for dinner since they did not feel like cooking.,,
36,roll,/roʊl/,She savored the warm aroma of freshly baked rolls wafting from the bakery.,,
37,tomato paste,/təmˈeɪɾoʊ pˈeɪst/,She used tomato paste as a base for the homemade pizza sauce to enhance its flavor.,,
