order,word,phonetic,example,note,definition_en
1,cafe,,,,
2,gallery,,,,
3,nightclub,,,,
4,fire station,,,,
5,gym,,,,
6,playground,,,,
7,barbershop,,,,
8,urban,,,,
9,suburb,,,,
10,outskirts,,,,
11,uptown,,,,
12,inner city,,,,
13,community,,,,
14,commuter,,,,
15,population,,,,
16,housing,,,,
17,parking lot,,,,
18,road sign,,,,
19,pedestrian,,,,
20,street light,,,,
21,lane,,,,
22,overpass,,,,
23,crossroad,,,,
24,farmland,,,,
25,grassland,,,,
26,county,,,,
27,orchard,,,,
28,well,,,,
29,pizzeria,,,,
30,dam,,,,
31,sidewalk,,,,
32,homeland,,,,
33,square,,,,
