order,word,phonetic,example,note,definition_en
1,can,/kæn/,"With his carpentry skills, he can craft intricate wooden furniture.",,
2,may,/meɪ/,"It may rain later this afternoon, so don't forget your umbrella.",,
3,must,/mʌst/,Students must submit their applications before the deadline.,,
4,will,/wɪl/,I will finish my homework before dinner.,,
5,could,/kʊd/,Could you please pass me the salt?,,
6,might,/maɪt/,It might rain later this evening.,,
7,would,/wʊd/,He said he would finish the report by the end of the day.,,
8,should,/ʃʊd/,You should always show respect to your elders.,,
9,used to,/ˈjuːst ˌtu/,I used to play soccer every weekend when I was younger.,,
10,to mean,/miːn/,His silence meant that he was not interested in the conversation.,,
11,to check,/ʧɛk/,I'll check the weather forecast to see if it's going to rain tomorrow.,,
12,to carry,/ˈkæri/,She used a backpack to carry her books to school.,,
13,to keep,/kiːp/,"Do you need this document back, or can I keep it for my records?",,
14,to wait,/weɪt/,We're patiently waiting for the rain to stop.,,
15,to compare,/kəmˈpɛr/,She literally took an hour comparing prices before making a purchase.,,
16,to improve,/ɪmˈpruv/,Regular exercise can improve your overall health.,,
17,to try,/traɪ/,He tried to lift the heavy box but it was too heavy.,,
18,to prefer,/prəˈfɝ/,She prefers the blue dress for the party because it's her favorite color.,,
19,to repeat,/rɪˈpiːt/,The teacher regularly repeats important concepts to ensure understanding.,,
20,to follow,/ˈfɑloʊ/,The team followed their leader up the mountain.,,
21,to allow,/əˈlaʊ/,She allowed her children to play in the park.,,
22,to hurry,/ˈhɝi/,"Realizing he was late for the meeting, John hurried to the conference room.",,
23,to change,/tʃeɪndʒ/,Online shopping has changed the way people shop for goods and services.,,
24,to complete,/kəmˈplit/,She completes her assignments before the deadline.,,
25,to pick,/pɪk/,She carefully picked a ripe apple from the tree.,,
26,to drop,/drɑp/,Supplies are being dropped for the refugees.,,
27,to reduce,/rɪˈdus/,The company decided to reduce the prices of its products to attract more customers.,,
28,to continue,/kənˈtɪnju/,They will continue practicing the piano to improve their skills.,,
29,to stay,/steɪ/,"The weather is too unpredictable, so it's better to stay indoors.",,
30,to point,/pɔɪnt/,"Last week, the lifeguard pointed to the safest area for swimming.",,
31,to enter,/ˈɛnˌtɚ/,She enters the room with a smile on her face.,,
32,to refuse,/rɪˈfjuz/,She refused to accept the job offer because it didn't align with her career goals.,,
33,to return,/rɪˈtɝn/,"After a long vacation, it's time to return home.",,
34,have to,/hæv ˈtu/,I have to finish this report by the end of the day.,,
35,to break,/breɪk/,The chair legs couldn't support his weight and broke.,,
36,take care,/tˈeɪk kˈɛɹ/,I'll see you later. Take care!,,
37,to worsen,/ˈwɝsən/,His health condition began to worsen after he stopped taking his medication.,,
