order,word,phonetic,example,note,definition_en
1,inauguration,/ɪˌnɔɡjɝˈeɪʃən/,The inauguration of the new president was attended by thousands of spectators gathered on the National Mall.,,
2,crony capitalism,/kɹˈoʊni kˈæpɪɾəlˌɪzəm/,"Crony capitalism refers to a system where businesses thrive not based on their merit, but on their close relationships with government officials and politicians.",,
3,inaugural,"/ˌɪˈnɔɡɝəɫ/, /ˌɪˈnɔɡjɝəɫ/","The President delivered a compelling inaugural, outlining the administration's key priorities and vision for the nation.",,
4,demagogue,/ˈdɛməˌɡɑɡ/,The demagogue stirred up emotions and exploited fears to gain support for his political agenda.,,
5,municipality,/ˌmjunɪsəˈpæɫəti/,The municipality approved a budget for road repairs.,,
6,confederation,/kənˌfɛdɝˈeɪʃən/,The confederation of states agreed to share resources.,,
7,entente,/ɑːntˈɑːnt/,The neighboring countries entered into a diplomatic entente to peacefully resolve border disputes and promote regional stability.,,
8,kleptocracy,/klɛptˈɑːkɹəsi/,A kleptocracy is a government system where corrupt leaders use their power to exploit the resources and wealth of a country for personal gain.,,
9,veto,/ˈviˌtoʊ/,The president has the constitutional veto over bills passed by Congress.,,
10,plutocracy,/pluːtˈɑːkɹəsi/,"Critics argue that the country's political system has evolved into a plutocracy, where economic elites wield disproportionate influence over government policies.",,
11,sovereignty,/ˈsɑvɹənti/,The nation asserted its sovereignty by establishing its own laws and governance structure independent of foreign influence.,,
12,to inaugurate,"/ɪˈnɔɡjɝeɪt/, /ɪˈnɔɡjɝɪt/",The president will inaugurate a new economic policy aimed at boosting employment.,,
13,to prorogue,/pɹˈoːɹoʊɡ/,The monarch prorogued Parliament until the new session.,,
14,to levy,"/ˈɫɛvi/, /ˈɫivi/",The HOA levied $50 fines on homeowners who didn't shovel their sidewalks during the snowstorm.,,
15,to subsidize,/ˈsəbsɪˌdaɪz/,The government decided to subsidize the cost of public transportation to encourage its use.,,
16,to decentralize,/dɪˈsɛntɹəˌɫaɪz/,"The company decided to decentralize its operations, allowing regional offices to make independent decisions tailored to local market conditions.",,
17,to ratify,/ˈɹætəˌfaɪ/,The members of the parliament convened to ratify the newly proposed constitution for the country.,,
18,to federalize,"/ˈfɛdɝəˌɫaɪz/, /ˈfɛdɹəˌɫaɪz/",The national government federalized the railway system.,,
19,coronation,/ˌkɔɹəˈneɪʃən/,"The coronation of Queen Elizabeth II took place on June 2, 1953, at Westminster Abbey in London, England.",,
