order,word,phonetic,example,note,definition_en
1,obvious,,,,
2,odd,,,,
3,official,,,,
4,old-fashioned,,,,
5,outdoor,,,,
6,powerful,,,,
7,previous,,,,
8,primary,,,,
9,rare,,,,
10,relative,,,,
11,rough,,,,
12,scientific,,,,
13,secondary,,,,
14,sexual,,,,
15,sharp,,,,
16,silent,,,,
17,smooth,,,,
18,southern,,,,
19,spoken,,,,
20,standard,,,,
21,still,,,,
22,suitable,,,,
23,super,,,,
24,total,,,,
25,unlikely,,,,
26,upset,,,,
27,used,,,,
28,valuable,,,,
29,western,,,,
30,written,,,,
31,specific,,,,
32,firm,,,,
33,middle,,,,
34,thoughtful,,,,
