order,word,phonetic,example,note,definition_en
1,to hold,,,,
2,to identify,,,,
3,to involve,,,,
4,to joke,,,,
5,to knock,,,,
6,to lead,,,,
7,to lift,,,,
8,to light,,,,
9,to link,,,,
10,to lock,,,,
11,to mark,,,,
12,to matter,,,,
13,to mention,,,,
14,to mind,,,,
15,to number,,,,
16,to organize,,,,
17,to own,,,,
18,to pack,,,,
19,to photograph,,,,
20,to predict,,,,
21,to present,,,,
22,to prevent,,,,
23,to print,,,,
24,to promise,,,,
25,to race,,,,
26,to shut,,,,
27,to guide,,,,
28,to kill,,,,
29,to set,,,,
30,to park,,,,
