order,word,phonetic,example,note,definition_en
1,acutely,/əkˈjutɫi/,The mountain peak rose acutely against the sky.,,
2,eventful,"/iˈvɛntfəɫ/, /ɪˈvɛntfəɫ/",Their vacation turned out to be quite eventful with unexpected adventures every day.,,
3,daredevil,/ˈdɛɹˌdɛvəɫ/,Jake's daredevil nature led him to participate in skydiving and bungee jumping without hesitation.,,
4,guarded,"/ˈɡɑɹdəd/, /ˈɡɑɹdɪd/","She remained guarded during the interview, revealing very little about her personal life.",,
5,liable,/ˈlaɪəbəl/,The wet floor made him liable to slip and fall if he wasn't careful.,,
6,notorious,/noʊˈtɔɹiəs/,The city is notorious for its heavy traffic.,,
7,reckless,/ˈɹɛkɫəs/,"The reckless gambler bet all of his savings on a risky investment, with disastrous consequences.",,
8,rash,/ræʃ/,Being rash in negotiations often leads to unfavorable outcomes that could have been avoided with careful consideration.,,
9,wary,/ˈwɛɹi/,She was wary of strangers approaching her late at night.,,
10,safe and sound,/sˈeɪf ænd sˈaʊnd/,"After a long journey, Sarah arrived at her destination safe and sound, much to the relief of her family.",,
11,to avert,/əˈvɝt/,The timely intervention of the lifeguard averted a potential drowning at the pool.,,
12,to beware,/bɪˈwɛɹ/,Beware of the icy conditions on the roads; drive carefully.,,
13,to caution,/ˈkɑʃən/,The doctor cautioned the patient about the potential side effects of the medication.,,
14,to compromise,/ˈkɑmprəˌmaɪz/,His habit of sharing sensitive information online could compromise the security of the entire system.,,
15,to dare,/ˈdɛɹ/,I dare you to climb to the top of that tree and touch the highest branch.,,
16,to flee,/ˈfɫi/,"As the fire spread rapidly, residents had to flee from their apartments.",,
17,to lock away,/lˈɑːk ɐwˈeɪ/,The jeweler locked away the precious gems in a vault for safekeeping.,,
18,alert,/əˈlɝt/,The soldiers were placed on high alert as intelligence suggested an imminent attack from enemy forces.,,
19,distress,/dɪˈstɹɛs/,The distress call from the stranded hikers prompted an immediate search and rescue operation.,,
20,hazard,/ˈhæzɝd/,"The slippery floor was a major hazard in the workplace, leading to several accidents.",,
21,gamble,/ˈɡæmbəɫ/,"Investing all his savings in the startup was a huge gamble, but it paid off when the company became successful.",,
22,peril,/ˈpɛɹəɫ/,"The mission plunged deep into enemy territory, with the agents operating under constant peril of discovery.",,
23,menace,"/ˈmɛnəs/, /ˈmɛnɪs/",The increasing pollution in the river is a serious menace to the local wildlife.,,
24,precaution,/pɹiˈkɔʃən/,"As a precaution against theft, he installed security cameras around his home.",,
25,refuge,/ˈɹɛfjudʒ/,The hikers found refuge in a mountain cabin during the storm.,,
26,death toll,/dˈɛθ tˈoʊl/,"The earthquake's death toll rose to over 1,000 as rescue operations continued.",,
27,rescue,/ˈɹɛskju/,The rescue of the trapped miners took several days and involved complex operations.,,
28,safeguard,/ˈseɪfˌɡɑɹd/,The new cybersecurity law was implemented as a safeguard against data breaches.,,
29,cowardice,/ˈkaʊɝdəs/,His act of fleeing the battlefield was seen as an act of cowardice by his comrades.,,
30,boldness,/ˈboʊɫdnəs/,His boldness in proposing the new initiative impressed the board of directors.,,
31,madness,/ˈmædnəs/,Driving at high speeds in dense fog is sheer madness and incredibly dangerous.,,
32,AWOL,/ˈeɪˌwɑl/,The valuable painting was mysteriously AWOL from the museum's collection.,,
