order,word,phonetic,example,note,definition_en
1,price fixing,/pɹˈaɪs fˈɪksɪŋ/,"The company was fined millions of dollars for engaging in price fixing with its competitors, violating antitrust laws.",,
2,alimony,/ˈæɫəˌmoʊni/,"After the divorce, she was awarded monthly alimony payments to support her financially.",,
3,arrears,/ɝˈɪɹz/,He finally paid off his arrears from the last six months.,,
4,collateral,/kəˈɫætɝəɫ/,"When securing a loan, the bank often requires borrowers to provide collateral, such as real estate or vehicles, to mitigate the risk of default.",,
5,contingency,/kənˈtɪndʒənsi/,"The company allocated a portion of its budget as a contingency to cover unexpected costs, such as equipment repairs or legal fees.",,
6,lump sum,/lˈʌmp sˈʌm/,"After winning the lottery, Sarah chose to receive her prize as a lump sum rather than in annual installments.",,
7,overhead,/ˈoʊvɝˈhɛd/,"Rent, utilities, and insurance are all part of the company's overhead.",,
8,top-up,/ˈtɑˌpəp/,"Before embarking on the road trip, I stopped at the gas station to top up the tank.",,
9,bubble,/ˈbʌbəl/,The housing bubble of the mid-2000s led to a catastrophic collapse in real estate prices and triggered the global financial crisis.,,
10,face value,/fˈeɪs vˈæljuː/,"The ticket's face value was $50, but due to high demand, scalpers were selling them for three times that amount.",,
11,outlay,/ˈaʊtˌɫeɪ/,"The total outlay for the renovations was $50,000.",,
12,receivables,/ɹɪˈsivəbəɫz/,"The company's accounts receivables increased significantly this quarter, indicating strong sales but also potential cash flow challenges.",,
13,seed money,/sˈiːd mˈʌni/,The entrepreneur used seed money from family and friends to launch her start-up company.,,
14,gratuity,/ɡɹəˈtuɪti/,The waiter received a generous gratuity for providing excellent service throughout the meal.,,
15,savings and loan association,/sˈeɪvɪŋz ænd lˈoʊn ɐsˈoʊsɪˈeɪʃən/,The savings and loan association offered competitive interest rates on mortgages for first-time homebuyers.,,
16,clearing house,/klˈɪɹɪŋ hˈaʊs/,"The clearing house acts as an intermediary between buyers and sellers in financial markets, facilitating the settlement of transactions.",,
17,line of credit,/lˈaɪn ʌv kɹˈɛdɪt/,The small business secured a line of credit from the bank to cover operating expenses during lean months.,,
18,fintech,/fˈɪntɛk/,"The fintech company developed a mobile app that allows users to easily transfer money, pay bills, and track their expenses in real-time.",,
19,pension pot,/pˈɛnʃən pˈɑːt/,"As retirement approached, Sarah began contributing more to her pension pot to ensure a comfortable lifestyle in her later years.",,
20,child support,/tʃˈaɪld səpˈoːɹt/,The court ordered John to pay monthly child support to help cover the costs of raising his two children.,,
21,corporate welfare,/kˈɔːɹpɚɹət wˈɛlfɛɹ/,Critics argue that corporate welfare distorts the free market by giving unfair advantages to certain businesses through government subsidies.,,
22,giro,/dʒˈaɪɹoʊ/,He paid his rent using the giro system.,,
23,to liquidate,/ˈɫɪkwɪˌdeɪt/,They were required to liquidate the debt within 15 days of the date due.,,
24,net asset value,/nˈɛt ˈæsɛt vˈæljuː/,"The mutual fund's net asset value (NAV) is calculated at the end of each trading day, reflecting the total value of its assets minus liabilities.",,
25,endowment,/ɛnˈdaʊmənt/,The university's scholarship program is funded by its endowment.,,
