order,word,phonetic,example,note,definition_en
1,to calculate,/ˈkælkjəˌleɪt/,She calculated the total cost of the groceries before going to the store.,,
2,calculation,/ˌkælkjəˈleɪʃən/,He made a quick calculation to estimate the total cost of the project.,,
3,to add,/æd/,Add 5 and 3 to get a total of 8.,,
4,to add up,/æd ˈʌp/,Please add up the expenses for the month and provide me with the total.,,
5,to subtract,/səbˈtrækt/,"If you subtract 4 from 9, you get 5.",,
6,to multiply,/ˈmʌltəˌplaɪ/,"If you have 3 apples and multiply them by 2, you'll have 6 apples in total.",,
7,to divide,/dɪˈvaɪd/,"If you divide 10 by 2, you get 5.",,
8,to count,/kaʊnt/,The teacher regularly counts the students at the beginning of the class.,,
9,count,/kaʊnt/,The teacher asked the students to do a count from one to twenty.,,
10,average,/ˈævərɪdʒ/,His average score in math class is 85%.,,
11,to equal,/ˈiːkwəl/,Ten divided by two equals five.,,
12,figure,/ˈfɪgər/,"In mathematics, figures are used to express numerical values.",,
13,mathematics,/ˌmæθəˈmætɪks/,Can you explain this math concept to me?,,
14,thousand,/ˈθaʊzənd/,"The ancient manuscript was estimated to be over a thousand years old, preserving the wisdom of generations.",,
15,million,/ˈmɪljən/,The lottery winner couldn't believe their luck as they held a million-dollar check in their hands.,,
16,billion,/ˈbɪljən/,The company reported revenues of over a billion dollars last year.,,
17,minus sign,/ˈmaɪnəs ˈsaɪn/,"In the expression -10, the minus sign indicates a negative number.",,
18,plus sign,/plʌs ˈsaɪn/,"Adding two positive numbers results in a positive sum, as indicated by the plus sign.",,
19,negative,/ˈnɛɡətɪv/,"The temperature dropped below freezing, indicating a negative value.",,
20,positive,/ˈpɑzətɪv/,"The thermometer displayed a positive temperature reading, indicating warm weather.",,
21,number,/ˈnʌmbɚ/,Can you provide your contact number for the registration form?,,
22,operation,/ˌɑpəˈreɪʃən/,Addition and subtraction are basic mathematical operations.,,
23,sign,/saɪn/,"In mathematics, the plus sign (+) is commonly used to represent addition.",,
24,symbol,/ˈsɪmbəl/,"In algebra, ""x"" is often used as a symbol to represent an unknown value in an equation.",,
25,solution,/səˈluʃən/,"After careful analysis, she found the solution to the complex algebraic equation.",,
26,sum,/sʌm/,"The sum of 5, 6, and 7 is 18.",,
27,total,/ˈtoʊtəl/,She calculated the total of the prices of all the items in her shopping cart.,,
28,percent,/pɚˈsɛnt/,"She scored 95 percent on her math exam, earning top marks in the class.",,
