order,word,phonetic,example,note,definition_en
1,author,/ˈɑːθɚ/,"The author's latest novel topped the bestseller list, captivating readers with its gripping plot and memorable characters.",,
2,bestseller,/ˌbɛstˈsɛlɚ/,Her latest novel became a bestseller within weeks of its release.,,
3,biography,/baɪˈɑɡɹəfi/,The biography of Nelson Mandela highlights his journey and achievements.,,
4,fairy tale,/ˈfɛri teɪl/,"Children love to immerse themselves in the magical world of fairy tales, where anything seems possible.",,
5,fiction,/ˈfɪkʃən/,She loves reading fiction novels that transport her to different worlds.,,
6,non-fiction,/nɑnˈfɪkʃən/,She prefers reading non-fiction books about historical events.,,
7,introduction,/ˌɪntrəˈdʌkʃən/,"The professor began the lecture with an introduction, outlining the main topics to be covered during the class.",,
8,metaphor,/ˈmɛtəˌfɔr/,He used the metaphor of a journey to describe the process of personal growth.,,
9,mystery,/ˈmɪstəri/,"The series is a blend of mystery and thriller, keeping viewers on edge.",,
10,myth,/mɪθ/,The myth of the phoenix tells of a bird that rises from its ashes.,,
11,plot,/plɑt/,The plot of the novel kept readers on the edge of their seats with its unexpected twists.,,
12,poem,/ˈpoʊəm/,She wrote a poem about the changing seasons that left everyone mesmerized.,,
13,poetry,/ˈpoʊətri/,His poetry captures the beauty of nature with vivid and expressive language.,,
14,quotation,/kwoʊˈteɪʃən/,She included a famous quotation from Shakespeare in her essay.,,
15,to quote,/kwoʊt/,"During his presentation, he quoted a famous line from ""The Godfather"": ""I'm gonna make him an offer he can't refuse.""",,
16,to review,/rɪˈvjuː/,"She reviewed the latest novel, highlighting its compelling characters and thought-provoking themes.",,
17,setting,/ˈsɛtɪŋ/,The setting of the movie is a futuristic city in the year 2050.,,
18,short story,/ʃɔrt ˈstɔri/,She loves reading short stories because they don't require a lot of time.,,
19,storyline,/ˈstɔriˌlaɪn/,The storyline takes a surprising turn in the final chapters of the book.,,
20,storyteller,/ˈstɔriˌtɛlɚ/,,,
21,tale,/teɪl/,,,
22,title,/ˈtaɪtəl/,"The title of her favorite book is ""Pride and Prejudice.""",,
23,verse,/vɝːs/,"The poet carefully crafted each verse, weaving together words to create a tapestry of emotion and meaning.",,
24,writing,/ˈraɪtɪŋ/,"The library shelves were filled with a diverse array of writing, from classic novels to contemporary essays, catering to readers of all interests and tastes.",,
25,Gothic,/ˈɡɑːθɪk/,"Gothic stories transport readers to ancient castles and haunted mansions, where eerie atmospheres and mysterious events unfold.",,
26,literary,/ˈlɪtəˌrɛri/,The literary analysis focused on exploring themes and motifs within the novel.,,
27,poetic,/poʊˈɛtɪk/,The book includes several poetic passages.,,
28,young adult,/ˈjʌŋ əˈdʌlt/,,,
29,play,/pleɪ/,The playwright's new play will debut at the local theater next month.,,
