order,word,phonetic,example,note,definition_en
1,vacation,/veɪˈkeɪʃən/,We went on a vacation to Hawaii last summer.,,
2,adventure,/ədˈvɛnʧɚ/,"They embarked on a thrilling adventure, exploring remote jungles and scaling towering peaks.",,
3,journey,/ˈʤɝni/,Their journey across the country took them through diverse landscapes and cultures.,,
4,cruise,/kruːz/,"They booked a Caribbean cruise for their honeymoon, eager to explore tropical islands and relax on luxurious cruise liners.",,
5,trip,/trɪp/,The family planned a trip to the beach for their summer vacation.,,
6,foreign,"/ˈfɔrən/ , /ˈfɑrən/",Watching foreign films provides viewers with a glimpse into the storytelling and cinematic styles of different cultures.,,
7,foreigner,"/ˈfɔrənɚ/ , /ˈfɑrənɚ/","As a foreigner, she had to adjust to local customs.",,
8,motel,/moʊˈtɛl/,"They stopped at a roadside motel for the night during their cross-country road trip, grateful for a comfortable place to rest.",,
9,cancelation,/ˌkænsəˈleɪʃən/,The flight faced a cancelation due to severe weather conditions.,,
10,reservation,/ˌrɛzɚˈveɪʃən/,I made a reservation at the restaurant for dinner tonight to celebrate my sister's birthday.,,
11,to reserve,/rɪˈzɝv/,They reserved a table at the restaurant for their anniversary dinner.,,
12,visa,/ˈviːzə/,He applied for a tourist visa to visit his friend in France for the summer.,,
13,to stay,/steɪ/,They invited us to stay at their beach house for the weekend.,,
14,postcard,/ˈpoʊstˌkɑrd/,"She sent a postcard from her vacation, featuring a stunning beach sunset on the front.",,
15,souvenir,/ˌsuːvəˈnɪr/,He found a handcrafted wooden figurine as the perfect souvenir of his visit to the mountain village.,,
16,to visit,/ˈvɪzɪt/,"During their vacation, they planned to visit famous landmarks and historical sites in the city.",,
17,to sightsee,/ˈsaɪtˌsiː/,Tourists often come to the city to sightsee and experience its cultural landmarks.,,
18,to check in,/ʧɛk ˈɪn/,We'll check in as soon as we reach the hotel.,,
19,to check out,/ʧɛk ˈaʊt/,We'll check out tomorrow morning before our flight.,,
20,abroad,/əˈbrɔd/,They plan to travel abroad next summer to explore Europe.,,
21,to change,/tʃeɪndʒ/,Passengers will need to change at the next station.,,
22,to fly,/flaɪ/,The adventurous couple decided to fly to Europe for their honeymoon.,,
23,to land,/lænd/,The plane lands smoothly on the runway.,,
24,to take off,/teɪk ɑːf/,The airplane is ready to take off from the runway.,,
25,schedule,/ˈskɛdʒul/,She checked the train schedule to plan her commute to work.,,
26,to wander,/ˈwɑndɚ/,"I wandered through the narrow streets, enjoying the sights and sounds of the city.",,
27,arrival,/əˈraɪvəl/,The train's arrival was announced on the station's loudspeaker.,,
28,departure,/dɪˈpɑrtʃɚ/,The departure of the train was delayed by half an hour.,,
29,customs,/ˈkʌstəmz/,"They passed through customs quickly, as they had nothing to declare.",,
30,ride,/raɪd/,"She enjoyed a peaceful ride through the countryside on her horse, savoring the fresh air and scenic views.",,
31,to leave,/liːv/,She left her friends at the party without any goodbye.,,
32,to arrive,/əˈraɪv/,"After a long flight, we finally arrived in Paris.",,
33,to cancel,/ˈkænsəl/,They had to cancel their vacation plans due to unexpected work commitments.,,
34,to reach,/riːʧ/,The beach can only be reached by boat.,,
