order,word,phonetic,example,note,definition_en
1,inefficacious,/ɪnˌɛfɪkˈeɪʃəs/,"The medication proved to be inefficacious in alleviating the patient's symptoms, leading to the exploration of alternative treatments.",,
2,abortive,/əˈbɔɹtɪv/,The company's abortive attempt to launch a new product resulted in financial loss.,,
3,unprosperous,/ʌnpɹˈɑːspɚɹəs/,The region remained largely unprosperous despite efforts to stimulate economic growth.,,
4,ill-fated,/ˈɪlfˈeɪɾᵻd/,The ill-fated expedition to the Arctic ended tragically when the explorers became stranded in a snowstorm.,,
5,bungled,/ˈbəŋɡəɫd/,"The bungled attempt to repair the plumbing led to a flooded basement, causing extensive damage to the property.",,
6,unavailing,/ˌənəˈveɪɫɪŋ/,"Despite her unavailing attempts to convince him to stay, he decided to leave the company.",,
7,languishing,/lˈæŋɡwɪʃɪŋ/,"The neglected garden was languishing, with weeds overtaking the once beautiful flower beds.",,
8,foiled,/ˈfɔɪɫd/,The foiled bank robbery ended with the apprehension of the suspects before they could escape with the stolen money.,,
9,destitute,/ˈdɛstəˌtut/,Modern society is destitute of genuine community bonds.,,
10,penurious,/ˌpɛnˈjuɹiəs/,The penurious family struggled to afford even the basic necessities of life.,,
11,hand-to-mouth,/hˈændtəmˈaʊθ/,"Despite working full-time, the family lived a hand-to-mouth existence, struggling to cover basic expenses like rent and groceries.",,
12,indigent,/ˈɪndɪdʒənt/,The indigent population relied on government assistance for survival.,,
13,impecunious,/ˌɪmpɪkjˈuːnɪəs/,"As a student, he led an impecunious existence, relying on part-time jobs to make ends meet.",,
14,downtrodden,/ˌdaʊnˈtɹɑdən/,The downtrodden workers protested against unjust working conditions.,,
15,to backfire,/ˈbækˌfaɪɹ/,His attempt to prank his friend backfired when she turned the tables on him.,,
16,beggarly,/bˈɛɡɚli/,"The beggarly man sat in a corner, holding onto his old coat to stay warm.",,
17,to bungle,/bˈʌŋɡəl/,"The contractor bungled the construction project, leading to numerous structural issues and delays.",,
18,to fizzle,/ˈfɪzəɫ/,The highly anticipated product launch fizzled when technical issues caused a delay and reduced consumer interest.,,
19,to languish,/ˈɫæŋɡwɪʃ/,The once-promising startup began to languish after losing its major investor and failing to secure additional funding.,,
20,to fold,/foʊld/,"After years of struggling to compete in the market, the small bookstore had to fold.",,
21,to underperform,/ˈəndɝpɝˌfɔɹm/,The company's stock price dropped after it continued to underperform in the market.,,
22,to relinquish,"/ɹiˈɫɪŋkwɪʃ/, /ɹɪˈɫɪŋkwɪʃ/","For the sake of the team, she chose to relinquish her leadership role.",,
23,to misfire,/mɪsˈfaɪɝ/,"The marketing campaign turned out to be a misfire, generating little interest in the new product.",,
