order,word,phonetic,example,note,definition_en
1,to backpack,/ˈbækˌpæk/,"During their gap year, they decided to backpack through Southeast Asia.",,
2,bed and breakfast,/bɛd ænd ˈbrɛkfəst/,We found a bed and breakfast that was only a short walk from the town center.,,
3,holiday,/ˈhɑləˌdeɪ/,Taking a holiday in the mountains is a great way to escape the city and unwind.,,
4,booking,/ˈbʊkɪŋ/,,,
5,brochure,/broʊˈʃʊr/,The hotel provided a colorful brochure outlining all the amenities and local attractions for guests to explore.,,
6,affordable,/əˈfɔrdəbəl/,The new housing development offers affordable apartments for low-income families.,,
7,to camp,/kæmp/,"Every year, scouts from the local troop camp near the lake, practicing outdoor survival skills.",,
8,campfire,/ˈkæmpˌfaɪr/,"As darkness fell, we gathered around the crackling campfire, swapping stories beneath the starlit sky.",,
9,outdoors,/ˈaʊtˌdɔrz/,"After dinner, we decided to eat dessert outdoors under the stars.",,
10,keycard,/ˈkiˌkɑrd/,,,
11,check-in,/ʧɛk ˈɪn/,"After a long flight, we proceeded to the hotel lobby for check-in and were warmly greeted by the reception staff.",,
12,reception desk,/rɪˈsɛpʃən dɛsk/,"Upon entering the hotel, we approached the reception desk to check in and receive our room keys.",,
13,desk clerk,/dɛsk klɝːk/,"The desk clerk warmly greeted each guest as they entered the hotel, making them feel welcome and attended to from the moment they arrived.",,
14,day trip,/deɪ trɪp/,We're planning a day trip to the beach this weekend to soak up some sun and enjoy the ocean breeze.,,
15,doorman,/ˈdɔrˌmæn/,"The doorman greeted each guest with a warm smile as they arrived at the hotel, offering assistance with their luggage.",,
16,double,/ˈdʌbəl/,They booked a double for their weekend getaway.,,
17,family room,/ˈfæmɪli ˈrum/,"The family room at the hotel featured a queen-sized bed for the parents and bunk beds for the children, providing comfortable sleeping arrangements for the whole family.",,
18,exchange,/ɪksˈʧeɪnʤ/,"The school organized an exchange program where students from France stayed with host families in the United States, fostering cultural understanding and language immersion.",,
19,to explore,/ɪkˈsplɔr/,She explores new neighborhoods every weekend to discover hidden gems.,,
20,front desk,/frʌnt dɛsk/,"As I approached the hotel, I saw the front desk where guests were checking in and out.",,
21,tour guide,/tʊr ɡaɪd/,"Our tour guide led us through the ancient ruins, expertly narrating the history and significance of each site.",,
22,hostel,/ˈhɑstəl/,The hostel in the city center offers dormitory-style rooms and is a popular choice among backpackers.,,
23,minibar,/ˈmɪniˌbɑr/,"Upon entering the hotel room, I noticed the well-stocked minibar, filled with a selection of snacks and beverages.",,
24,luggage,/ˈlʌɡɪʤ/,She packed her luggage the night before her early morning flight.,,
25,visitor,/ˈvɪzɪtɚ/,The museum welcomed thousands of visitors during the holiday season.,,
26,to sunbathe,/ˈsʌnˌbeɪð/,"During their beach vacation, they plan to sunbathe by the ocean.",,
27,stay,/steɪ/,"During his stay at the hotel, he enjoyed room service and spa treatments.",,
28,seaside,/ˈsiˌsaɪd/,"They decided to spend their summer break at the seaside, enjoying the sun and waves.",,
29,safari,/səˈfɑri/,"Going on safari offers an unforgettable adventure, immersing travelers in the breathtaking landscapes and diverse wildlife of exotic destinations like Africa.",,
30,single,/ˈsɪŋɡəl/,A single room is ideal for solo travelers seeking privacy and comfort during their stay.,,
31,sight,/saɪt/,Exploring the sights of a new city is an essential part of experiencing its culture and history firsthand.,,
32,to tour,/tʊr/,"The couple toured the historic city, exploring its cobblestone streets.",,
33,cottage,/ˈkɑtɪʤ/,They spent the weekend at a charming cottage by the lake.,,
