order,word,phonetic,example,note,definition_en
1,alarm clock,/əˈlɑːrm klɑːk/,I always set multiple alarms on my alarm clock to ensure I wake up.,,
2,equipment,/ɪˈkwɪpmənt/,"She packed her camping equipment, including a tent and a sleeping bag.",,
3,device,/dɪˈvaɪs/,The flashlight is a simple yet helpful device during power outages.,,
4,loudspeaker,/ˈlaʊdˌspiːkɚ/,Please lower the volume on the loudspeaker; it's too loud.,,
5,camera,/ˈkæmrə/,He borrowed his friend's camera to document the event.,,
6,dishwasher,/ˈdɪʃˌwɑːʃɚ/,"He pressed the ""start"" button on the dishwasher and walked away.",,
7,washing machine,/ˈwɑːʃɪŋ məˈʃiːn/,He forgot to empty the pockets before putting the clothes in the washing machine.,,
8,oven,/ˈʌvən/,He used the oven's timer to remind him to check on the cookies.,,
9,coffee maker,/ˈkɑːfi ˈmeɪkɚ/,She cleaned the coffee maker's filter to remove any coffee residue.,,
10,toaster oven,/ˈtoʊstɚ ˈʌvən/,She uses a toaster oven to quickly toast her bread in the morning.,,
11,air conditioner,/ˈɛr kənˌdɪʃɪnɚ/,He called a technician to repair the air conditioner when it stopped working.,,
12,heater,/ˈhiːtɚ/,She turned on the heater to warm up the room.,,
13,radio,/ˈreɪdiˌoʊ/,The radio program has interesting interviews.,,
14,telephone,/ˈtɛləˌfoʊn/,He needs to recharge his telephone battery.,,
15,line,/laɪn/,"He dialed the number, and a voice answered on the other end of the line.",,
16,hair dryer,/ˈhɛr ˌdraɪɚ/,I bought a travel-sized hair dryer for my vacations.,,
17,fan,/fæn/,"During the summer, the electric fan is our best friend.",,
18,vacuum cleaner,/ˈvækjuˌm ˈkliːnɚ/,"Before using the vacuum cleaner, make sure to remove any large objects from the floor.",,
19,iron,/ˈaɪɚn/,My sister taught me a handy trick to iron collars and cuffs.,,
20,remote control,/rɪˈmoʊt kənˈtroʊl/,He pressed the button on the remote control to pause the movie.,,
21,smoke detector,/ˈsmoʊk ˈdɪˌtɛktɚ/,"I forgot to replace the battery in the smoke detector, so it wasn't working properly.",,
22,to turn on,/tɝːn ɑːn/,"Before using the printer, make sure to turn it on and check for paper.",,
23,to turn off,/tɝːn ɒf/,Don't forget to turn off the TV when you're finished watching it.,,
24,to work,/wɝːk/,"The elevator is not working, we have to take the stairs.",,
25,broken,/ˈbroʊkən/,The broken printer refused to print the documents.,,
26,to use,"/jus/ , /juz/",He is using his phone to take a picture.,,
27,system,/ˈsɪstəm/,Our school uses an online learning system for assignments and grades.,,
28,to repair,/rɪˈpɛr/,Can you help me repair this torn book page with tape?,,
29,flashlight,/ˈflæʃˌlaɪt/,"During the blackout, everyone relied on their flashlights.",,
30,carpet,/ˈkɑːrpɪt/,I laid the baby down on the soft carpet for a nap.,,
31,furniture,/ˈfɝːnɪtʃɚ/,My father cleaned and polished the wooden furniture to keep it looking nice.,,
