order,word,phonetic,example,note,definition_en
1,to browse,/braʊz/,He browsed online forums to read reviews and opinions about the latest video games.,,
2,to disconnect,/ˌdɪskəˈnɛkt/,I accidentally disconnected the call when I pressed the wrong button on my phone.,,
3,to navigate,/ˈnævɪˌɡeɪt/,Students were taught how to navigate the educational platform to access course materials.,,
4,to photobomb,/ˈfoʊtoʊˌbɑm/,The group of friends decided to photobomb the tourist's picture at the landmark.,,
5,to spam,/spæm/,The bot spammed the comment section of the website with links to malicious websites.,,
6,to unblock,/ʌnˈblɑk/,"After resolving the security issue, the IT department decided to unblock access to the restricted website for employees.",,
7,cellular,/ˈsɛljələr/,The cellular network coverage in rural areas is not as extensive as in urban areas.,,
8,dead,/dɛd/,The flashlight went dead during the hike.,,
9,broadband,/ˈbrɑdˌbænd/,The company upgraded its office to a broadband connection to accommodate the increased demand for high-speed Internet access.,,
10,call-in,/ˈkɑlˌɪn/,The call-in show on the local radio station invites listeners to share their thoughts on current events and community issues.,,
11,cookie,/ˈkʊki/,Websites use cookies to remember users' preferences and provide personalized experiences during their visits.,,
12,domain,/doʊˈmeɪn/,The website's domain is crucial for establishing its online identity and presence.,,
13,emoji,/ɪˈmoʊʤi/,She added a smiling face emoji to her text message to convey happiness.,,
14,emoticon,/ɪˈmoʊtɪˌkɑn/,She added a smiley emoticon at the end of her message to indicate friendliness.,,
15,laugh out loud,/læf aʊt laʊd/,"When he told the joke, she responded with ""LOL"" to indicate that she found it funny.",,
16,oh my God,/oʊ maɪ ɡɑd/,"OMG, I can't believe you got the job!",,
17,payphone,/ˈpeɪˌfoʊn/,He searched for a payphone to call for help after his car broke down on the highway.,,
18,telegraph,/ˈtɛləˌɡræf/,"The old train station still has a room dedicated to the telegraph, showcasing relics from the past.",,
19,directory,"/dəˈrɛktəri/ , /daɪˈrɛktəri/",The IT technician organized the files into separate directories to improve file management.,,
20,keypad,/ˈkiˌpæd/,The security system required a passcode to be entered on the keypad before granting access.,,
21,extension,/ɪkˈstɛnʃən/,She picked up the extension in the bedroom to answer the call while her husband spoke on the main line.,,
22,fax,/fæks/,He sent the contract via fax to ensure it reached the client promptly.,,
23,intercom,/ˈɪntɚˌkɑm/,The pilot used the intercom to update passengers on the flight status and weather conditions.,,
24,teleconference,/ˈtɛləˌkɑnfərəns/,The teleconference allowed team members from different locations to collaborate on the project.,,
25,Internet of Things,/ˈɪntɚˌnɛt əv ˈθɪŋz/,The Internet of Things refers to the network of interconnected devices and objects that collect and exchange data.,,
26,meme,/miːm/,She created a hilarious meme featuring her pet that quickly became a internet sensation.,,
27,phablet,/ˈfæblɪt/,"The phablet combines the features of a smartphone and a tablet, offering users a larger screen for multimedia consumption.",,
28,selfie,/ˈsɛlfi/,She snapped a quick selfie with her friends at the beach to capture the moment.,,
29,vlog,/viːlɑːɡ/,She started a vlog to document her travels and share her experiences with viewers.,,
30,clickbait,/ˈklɪkˌbeɪt/,Many websites use clickbait headlines to increase their traffic and ad revenue.,,
31,weblog,/ˈwɛbˌlɑːɡ/,"She started her own weblog to share her thoughts on fashion, beauty, and lifestyle trends.",,
32,cyberbullying,/ˈsaɪbɚˌbʊliɪŋ/,"Cyberbullying involves using digital platforms such as social media, texts, or emails to harass, intimidate, or harm others.",,
