order,word,phonetic,example,note,definition_en
1,to account,/əˈkaʊnt/,"In the evaluation, creativity will be accounted as a valuable skill.",,
2,to accuse,/əkˈjuz/,He was falsely accused of cheating on the exam and faced serious consequences.,,
3,to challenge,/ˈtʃæɫəndʒ/,The attorney sought to challenge the witness's credibility during the trial.,,
4,to suspect,"/ˈsəsˌpɛkt/, /səˈspɛkt/",The police began to suspect him after they found his fingerprints at the crime scene.,,
5,case,/keɪs/,"The lawyer prepared diligently for the upcoming murder case, knowing it would be challenging.",,
6,family court,/fˈæmɪli kˈoːɹt/,They had to go to family court to finalize their divorce and settle custody arrangements.,,
7,jury,/ˈdʒʊɹi/,The jury deliberated for several hours before reaching a unanimous verdict.,,
8,trial,"/ˈtɹaɪəɫ/, /ˈtɹaɪɫ/",The trial lasted for several weeks as witnesses testified and evidence was presented.,,
9,justice,"/ˈdʒəstəs/, /ˈdʒəstɪs/",The victim's family sought justice through the court system for the crimes committed against their loved one.,,
10,injustice,/ˌɪnˈdʒəstɪs/,The community rallied together to protest against the injustice of racial discrimination.,,
11,strict,/ˈstɹɪkt/,The company has strict guidelines in place to ensure workplace safety for all employees.,,
12,legal,/ˈliːɡəl/,"She works as a legal assistant in a law firm, helping with research and paperwork.",,
13,legally,/ˈɫiɡəɫi/,She entered the country legally after obtaining the correct visa.,,
14,valid,/ˈvæɫɪd/,The contract is only valid if both parties sign it.,,
15,regulation,/ˌɹɛɡjəˈɫeɪʃən/,The regulation of air quality standards aims to reduce pollution emissions from industrial factories.,,
16,to judge,/ʤʌdʒ/,The jury will judge the defendant based on the evidence presented during the trial.,,
17,authority,/əˈθɔɹəti/,The manager had the authority to approve all major project expenditures.,,
18,inspector,/ˌɪnˈspɛktɝ/,The inspector led the investigation into the robbery.,,
19,clause,/klɔːz/,The rental agreement includes a clause specifying the responsibilities of both the landlord and the tenant.,,
20,claim,/kleɪm/,"The insurance company denied his claim for damages, citing insufficient evidence.",,
21,bill,/bɪl/,"After several debates, the bill was passed and became law.",,
22,action,/ˈækʃən/,The action was filed to resolve the dispute between the two parties.,,
23,to appeal,/əˈpiɫ/,The defense attorney filed a motion to appeal the sentencing imposed by the trial court.,,
24,bail,/beɪl/,"The judge set bail at $10,000 for the defendant's release from jail before the trial.",,
25,brief,/briːf/,The lawyer submitted a detailed brief to support her client's position.,,
26,charge,/ʧɑrdʒ/,"The defendant faced several charges, including theft and assault.",,
27,to charge,/ʧɑrdʒ/,The prosecutor decided to charge the suspect with theft based on the evidence.,,
28,to defend,/dɪˈfɛnd/,The attorney was hired to defend the accused in the high-profile case.,,
29,to file,/faɪl/,The attorney filed the necessary paperwork to initiate the probate process.,,
30,to issue,/ˈɪʃuː/,The court issued a warrant for his arrest.,,
31,to prohibit,/pɹoʊˈhɪbət/,The city council passed a law to prohibit the use of fireworks within city limits.,,
32,prohibition,/ˌpɹoʊəˈbɪʃən/,Smoking in public buildings is under prohibition.,,
33,to try,/traɪ/,He was tried for theft and sentenced to two years in prison.,,
34,to break,/breɪk/,She was caught breaking the contract by sharing confidential information.,,
35,to chair,/tʃɛr/,"She regularly chairs the weekly team meetings, ensuring all agenda items are addressed.",,
36,to get away,/ɡɛt ɐwˈeɪ/,"The thief tried to get away, but the police quickly caught him.",,
37,to require,/rɪˈkwaɪr/,The event requires a ticket for entry.,,
38,to disqualify,/dɪˈskwɑləˌfaɪ/,The swimmer was disqualified from the race for a false start.,,
39,judgment,/ˈdʒədʒmənt/,The judgment was delivered after weeks of deliberation by the court.,,
40,criminal record,/kɹˈɪmɪnəl ɹˈɛkɚd/,His criminal record made it difficult for him to find a job after his release from prison.,,
