order,word,phonetic,example,note,definition_en
1,aside,/əˈsaɪd/,He gently pushed the chair aside to make space for the guests.,,
2,apparently,/əˈpɛɹəntɫi/,He apparently left the office early today; his desk is empty.,,
3,approximately,/əˈpɹɑksəmətɫi/,"The journey will take approximately two hours, depending on traffic.",,
4,basically,/ˈbeɪsɪkɫi/,"She explained the complex scientific concept in a way that anyone could understand, breaking it down to basically illustrate its core principles.",,
5,consistently,/kənˈsɪstəntɫi/,He consistently delivers high-quality work on every project.,,
6,constantly,/ˈkɑnstəntɫi/,She was constantly checking her phone for messages.,,
7,critically,"/ˈkɹɪtɪkəɫi/, /ˈkɹɪtɪkɫi/",She spoke critically about the new government policy during the meeting.,,
8,daringly,/dˈɛɹɹɪŋli/,"She climbed the mountain daringly, seeking excitement.",,
9,deeply,/ˈdipɫi/,She was deeply moved by the kindness of strangers.,,
10,deliberately,"/dɪˈɫɪbɝətɫi/, /dɪˈɫɪbɹətɫi/",He deliberately ignored the warning signs.,,
11,disappointingly,"/dɪsəˈpɔɪnɪŋɫi/, /dɪsəˈpɔɪntɪŋɫi/",The highly anticipated sequel performed disappointingly at the box office.,,
12,elsewhere,/ˈɛɫˌswɛɹ/,"The store was out of stock, so I had to look elsewhere for the product.",,
13,entirely,/ɪnˈtaɪɝɫi/,The puzzle was entirely solved by the dedicated team.,,
14,gradually,"/ˈɡɹædʒuəɫi/, /ˈɡɹædʒuɫi/","As the project advanced, the team's understanding of the requirements deepened gradually.",,
15,harmlessly,/ˈhɑɹmɫəsɫi/,The small wave crashed harmlessly against the shore.,,
16,hopelessly,/ˈhoʊpɫəsɫi/,The map was old and hopelessly out of date.,,
17,initially,/ˌɪˈnɪʃəɫi/,The drug was initially tested on mice before human trials.,,
18,inevitably,/ˌɪˈnɛvətəbɫi/,"With the heavy rain, traffic jams inevitably ensued on the city streets.",,
19,largely,/ˈɫɑɹdʒɫi/,The success of the campaign was largely due to social media engagement.,,
20,literally,"/ˈɫɪtɝəɫi/, /ˈɫɪtɹəɫi/",Her excitement was so intense that she literally jumped up and down when she received the award.,,
21,nevertheless,/ˌnɛvɝðəˈɫɛs/,The plan was risky; they proceeded nevertheless.,,
22,occasionally,"/əˈkeɪʒənəɫi/, /əˈkeɪʒənɫi/, /əˈkeɪʒnəɫi/",She visits her grandparents occasionally.,,
23,otherwise,/ˈəðɝˌwaɪz/,"You should pack your umbrella, otherwise you might get wet in the rain.",,
24,overall,/ˈoʊvɝˌɔɫ/,"He felt overall satisfied with his performance in the exam, despite a few mistakes.",,
25,partly,/ˈpɑɹtɫi/,The project was successful partly due to her leadership.,,
26,precisely,"/pɹiˈsaɪsɫi/, /pɹɪˈsaɪsɫi/",The coordinates were entered precisely to ensure accurate navigation.,,
27,relatively,/ˈɹɛɫətɪvɫi/,The test was relatively easy compared to the last one.,,
28,strictly,/ˈstɹɪktɫi/,Employees are strictly prohibited from using personal devices during work hours.,,
29,somewhat,"/ˈsəmˈwət/, /ˈsəmhˈwət/",I was somewhat surprised by his reaction.,,
30,subsequently,/ˈsəbsəkwəntɫi/,She moved to France and subsequently began studying art.,,
31,truly,/ˈtɹuɫi/,I am truly grateful for your help.,,
32,ultimately,/ˈəɫtəmətɫi/,"After considering various options, they ultimately chose the most cost-effective solution for the project.",,
33,unsuccessfully,/ˌənsəkˈsɛsfəɫi/,"Despite multiple attempts, he unsuccessfully tried to repair the broken machinery.",,
34,way,/weɪ/,He runs way faster than anyone else on the team.,,
35,a tad,/ɐ tˈæd/,He's a tad taller than his older brother.,,
36,widely,/ˈwaɪdɫi/,Standards vary widely in different regions.,,
37,gently,/ˈdʒɛntɫi/,He gently reminded her not to overwork herself.,,
38,alongside,/əˈɫɔŋˈsaɪd/,She stood alongside her best friend during the graduation ceremony.,,
39,accordingly,/əˈkɔɹdɪŋɫi/,"The weather forecast predicted rain, so she dressed accordingly with a raincoat and boots.",,
40,beyond,"/ˌbiˈɔnd/, /bɪˈɑnd/, /bɪˈɔnd/",We hiked past the cabin and beyond into the forest.,,
