order,word,phonetic,example,note,definition_en
1,destructive,/dɪˈstrʌktɪv/,The destructive hurricane left a trail of devastation in its wake.,,
2,disastrous,/dɪˈzæstrəs/,The storm's disastrous impact left thousands of homes without power.,,
3,elusive,/ɪˈlusɪv/,"The concept of time felt elusive, slipping away no matter how hard they tried to focus.",,
4,grave,/ɡreɪv/,The doctor delivered the grave news that the patient's condition had deteriorated overnight.,,
5,ineffective,/ˌɪnɪˈfɛktɪv/,The medication proved to be ineffective in treating the patient's condition.,,
6,undesirable,/ˌʌndɪˈzaɪrəbəl/,The undesirable side effects of the medication outweighed its potential benefits.,,
7,overwhelming,/ˌoʊvərˈhwɛlmɪŋ/,The overwhelming urge to help those in need drove her to volunteer at the local shelter.,,
8,in vain,/ɪn veɪn/,"Despite hours of searching, the lost keys were found in vain, and she had to get a spare set.",,
9,to doom,/dum/,The unethical business practices were sure to doom the company's reputation and success in the long run.,,
10,to neglect,/nɪˈɡlɛkt/,"The landlord neglected to repair the leaking roof, causing water damage to the apartment.",,
11,to overshadow,/ˌoʊvərˈʃædoʊ/,His older brother's achievements in sports overshadowed his own academic success in the family.,,
12,breakdown,/ˈbreɪkdaʊn/,The communication breakdown led to the project's failure.,,
13,burden,/ˈbɝdən/,The financial burden of student loans weighed heavily on her after graduation.,,
14,catastrophe,/kəˈtæstrəfi/,The earthquake in the region caused widespread devastation and was considered a natural catastrophe.,,
15,dead end,/ˈdɛd ɛnd/,"He has tried every avenue to find a job in his field, but he's come to a dead end.",,
16,deficiency,/dɪˈfɪʃənsi/,Her argument was convincing despite a few logical deficiencies.,,
17,fail,/feɪl/,The launch of the new product was a major fail due to poor marketing.,,
18,fall,/fɑl/,The fall in oil prices has significantly impacted the global economy.,,
19,fault,/fɑlt/,It was her fault that the project missed its deadline due to her delay.,,
20,hurdle,/ˈhɝdəl/,The biggest hurdle for the startup was securing enough funding to launch their product.,,
21,inconvenience,/ˌɪnkənˈvinjəns/,The room's location posed an inconvenience for the guests.,,
22,malfunction,/ˌmælˈfʌŋkʃən/,The sudden malfunction of the elevator left everyone stranded on the top floor.,,
23,mess,/mɛs/,The project's budget overrun created a financial mess that took months to sort out.,,
24,mishap,/ˈmɪshæp/,"Despite a small mishap with the cake, the birthday party was a great success.",,
25,odds,/ɑdz/,"Despite the odds being against her, she managed to finish the marathon in record time.",,
26,oversight,/ˈoʊvərsaɪt/,"The delay in shipping was due to an oversight in the warehouse, where the order was not processed on time.",,
27,setback,/ˈsɛtbæk/,The unexpected financial setback forced them to postpone their expansion plans.,,
28,underdog,/ˈʌndərdaɡ/,The underdog team surprised everyone by defeating the reigning champions in the final match.,,
29,to give {sb} trouble,/ɡɪv ˈtrʌbəl/,His old car often gives him trouble in cold weather.,,
30,to no effect,/tu noʊ ɪˈfɛkt/,"He tried to convince them to change their minds, but his arguments were to no effect.",,
31,up against,/ʌp əˈɡɛnst/,The candidate was up against a tough opponent.,,
32,in the face of,/ɪn ðə feɪs əv/,They completed the marathon in the face of extreme heat and exhaustion.,,
33,at the expense of,/æt ði ɪkˈspɛns əv/,"His success came at the expense of his personal life, as he devoted all his time to work.",,
34,to evacuate,/ɪˈvækjueɪt/,"As the wildfire rapidly approached the neighborhood, residents were instructed to evacuate immediately.",,
35,Murphy's law,/ˈmɝfiz laː/,The bus is always late but today when I was late it came on time - that's Murphy's law!,,
36,to [walk|tread] a tightrope,/wak ə ˈtaɪtroʊp/,I’m walking a tightrope at the moment; one more mistake and I might lose my job.,,
