order,word,phonetic,example,note,definition_en
1,to assent,/əˈsɛnt/,"During the meeting, members of the committee were asked to assent to the proposed changes in the project plan.",,
2,to acquiesce,/ˌækwiˈɛs/,"The student, unable to convince the teacher otherwise, acquiesced and accepted the lower grade on the assignment.",,
3,to upvote,/ˈəpˈvoʊt/,Users are encouraged to upvote content that they find valuable or interesting to increase its visibility.,,
4,to countenance,/ˈkaʊntənəns/,"Despite his personal reservations, he decided to countenance the new policy to maintain harmony within the team.",,
5,to accede,/ækˈsid/,"After careful consideration, the committee acceded to the professor's request for additional research funding.",,
6,to capitulate,"/kəˈpɪtʃuɫeɪt/, /kəˈpɪtʃuɫɪt/",The army finally capitulated after weeks of intense fighting.,,
7,to relent,/ɹɪˈɫɛnt/,"After much persuasion, the manager relented and granted the team an extra day off.",,
8,to downvote,/ˈdaʊnˈvoʊt/,Users are encouraged to downvote content that violates community guidelines or is deemed low quality.,,
9,to diverge,/dɪˈvɝdʒ/,"During the debate, the candidates' views began to diverge on key economic policies.",,
10,to dissent,/dɪˈsɛnt/,"She was known to often dissent during meetings, always challenging the prevailing views.",,
11,to expostulate,/ɛkspˈɑːstuːlˌeɪt/,"Yesterday, I expostulated with my colleague about their unprofessional behavior.",,
12,to gainsay,/ˈɡeɪnˌseɪ/,No one could gainsay the evidence presented by the prosecution; it was indisputable.,,
13,to harrumph,/hˈæɹʌmf/,The professor harrumphed loudly when the student suggested a controversial theory during the lecture.,,
14,to deprecate,/ˈdɛpɹəˌkeɪt/,"The mayor deprecated the use of violence as a means of protest, urging citizens to seek peaceful alternatives.",,
15,to frown on,/fɹˈaʊn ˈɑːn/,"In their workplace, any form of socializing beyond work-related matters is frowned on.",,
16,to repudiate,/ɹipˈjudiˌeɪt/,"The company repudiated the claims that their products were unsafe, presenting evidence to the contrary.",,
17,to denigrate,/ˈdɛnəˌɡɹeɪt/,"The tabloid newspaper consistently denigrated the celebrity, spreading false rumors to tarnish their reputation.",,
18,to champion,/ˈʧæmpiən/,"The activists championed the rights of marginalized communities, advocating for equality.",,
19,to endorse,/ɛnˈdɔɹs/,"The celebrity endorsed the new skincare product, praising its effectiveness.",,
20,to pan,/ˈpæn/,"The movie critic panned the new film, citing poor acting and a weak storyline.",,
21,to contravene,/ˈkɑntɹəˌvin/,The evidence clearly contravenes the defendant's testimony.,,
22,affray,/ɐfɹˈeɪ/,The police were called to the scene to break up an affray between two rival groups in the city center.,,
