order,word,phonetic,example,note,definition_en
1,to export,/ɪkˈspɔrt/,The agricultural sector often exports crops and produce to international markets.,,
2,to import,/ɪmˈpɔrt/,Businesses often import raw materials from other countries for manufacturing.,,
3,to promote,/prəˈmoʊt/,"After years of hard work, she was promoted to manager of the department.",,
4,to invest,/ɪnˈvɛst/,Investors often invest in real estate to diversify their portfolios.,,
5,to trade,/treɪd/,Merchants trade goods and services in the local market.,,
6,office,/ˈɔfɪs/,The bustling office in the city center was filled with employees typing away on their computers.,,
7,deal,/diːl/,The two companies signed a lucrative deal to collaborate on a new product line.,,
8,offer,/ˈɑfɚ/,He made an offer to buy the house.,,
9,profession,/prəˈfɛʃən/,Teaching is a noble profession that requires dedication and patience.,,
10,career,/kəˈrɪr/,She's pursuing a career in medicine and hopes to become a doctor.,,
11,occupation,/ˌɑkjəˈpeɪʃən/,Teaching is a rewarding occupation that allows educators to make a positive impact on young minds.,,
12,agreement,/əˈɡriːmənt/,They signed a rental agreement before moving into the apartment.,,
13,contract,/ˈkɑnˌtrækt/,"They signed a contract to buy the house, outlining the terms of the sale.",,
14,business plan,/ˈbɪznɪs ˌplæn/,"Before launching their startup, they developed a comprehensive business plan to present to investors.",,
15,to interview,/ˈɪntɚˌvjuː/,The admissions committee will interview each candidate to determine their qualifications for the program.,,
16,interview,/ˈɪntɚˌvjuː/,She aced the interview and was offered the position at the law firm.,,
17,competition,/ˌkɑmpəˈtɪʃən/,There's intense competition among smartphone manufacturers to release the most innovative devices.,,
18,opportunity,/ˌɑpɚˈtuːnɪti/,Moving to the city presented her with the opportunity to pursue her dream career in fashion.,,
19,professional,/prəˈfɛʃənl/,"She is a professional photographer, specializing in portrait and wedding photography.",,
20,commercial,/kəˈmɝːʃəl/,Commercial transactions involve the exchange of goods or services for money.,,
21,unemployment,/ˌʌnɪmˈplɔɪmənt/,She struggled with unemployment after being laid off from her job at the factory.,,
22,financial,"/faɪˈnænʃəl/ , /fəˈnænʃəl/",The company's financial performance improved after implementing cost-saving measures.,,
23,supply,/səˈplaɪ/,Humanitarian organizations rushed to provide emergency supplies to the disaster-stricken region.,,
24,demand,/dɪˈmænd/,The demand for electric vehicles has been steadily increasing as consumers seek more sustainable transportation options.,,
25,service,/ˈsɝːvɪs/,The restaurant prided itself on providing excellent service to its customers.,,
26,mine,/maɪn/,The diamond mine in Africa was known for its rare gemstones.,,
27,plant,/plænt/,The chemical plant manufactures various industrial chemicals.,,
28,workshop,/ˈwɝːkˌʃɑp/,"The carpentry workshop is equipped with saws, drills, and sanders for making wooden furniture.",,
29,garage,/ɡəˈrɑːʒ/,He took his car to the garage to have the brakes checked.,,
30,headquarters,/ˈhɛdˌkwɔrtɚz/,The company's headquarters are located in downtown New York City.,,
31,unemployed,/ˌʌnɪmˈplɔɪd/,Being unemployed can lead to financial insecurity and stress for individuals and their families.,,
32,consumer,/kənˈsuːmɚ/,"As a consumer, she prefers products that are eco-friendly and sustainable.",,
33,partner,/ˈpɑːrtnɚ/,The restaurant's partners decided to expand the menu to attract more customers.,,
34,qualified,/ˈkwɑlɪˌfaɪd/,"She is a qualified accountant, having obtained the necessary certifications and degrees to practice in her field.",,
35,crew,/kruː/,The film crew worked tirelessly to bring the director's vision to life.,,
36,to manage,/ˈmænɪʤ/,"The CEO skillfully manages the company, ensuring growth and profitability.",,
37,resource,/ˈriˌsɔrs/,The company invested in state-of-the-art technology to enhance its resources for innovation.,,
38,firm,/fɝːm/,The law firm specializes in corporate litigation and intellectual property law.,,
39,marketing,/ˈmɑːrkɪˌtɪŋ/,Successful marketing requires understanding customer needs.,,
40,working,/ˈwɝːkɪŋ/,"She's a working mother, balancing her career with raising her children.",,
41,skilled,/skɪld/,"She is a skilled carpenter, able to build intricate furniture with precision.",,
