order,word,phonetic,example,note,definition_en
1,to raise,,,,
2,to react,,,,
3,to realize,,,,
4,to recognize,,,,
5,to recommend,,,,
6,to record,,,,
7,to refer,,,,
8,to remove,,,,
9,to replace,,,,
10,to report,,,,
11,to respond,,,,
12,to rise,,,,
13,to sail,,,,
14,to save,,,,
15,to seem,,,,
16,to shake,,,,
17,to shout,,,,
18,to sign,,,,
19,to ski,,,,
20,to star,,,,
21,to steal,,,,
22,to suppose,,,,
23,to text,,,,
24,to tie,,,,
25,to notice,,,,
26,to attend,,,,
27,to attack,,,,
28,to provide,,,,
29,to search,,,,
30,to keep,,,,
31,to pull,,,,
32,to push,,,,
