order,word,phonetic,example,note,definition_en
1,biodegradable,/ˌbaɪoʊdɪˈɡreɪdəbəl/,Biodegradable food waste can be composted and turned into nutrient-rich soil.,,
2,carbon-neutral,/ˈkɑrbən ˈnutrəl/,"The company committed to becoming carbon-neutral by 2030, reducing its greenhouse gas emissions to zero.",,
3,zero-emission,/ˈzɪroʊ ɪˈmɪʃən/,Electric vehicles are considered zero-emission because they do not produce tailpipe emissions.,,
4,crude,/krud/,The refinery processes crude oil into various petroleum products like gasoline and diesel.,,
5,ecological,/ˌikəˈlɑdʒɪkəl/,Ecological conservation efforts aim to protect biodiversity and preserve natural habitats.,,
6,radioactive,/ˌreɪdioʊˈæktɪv/,Radioactive isotopes are used in medical imaging for diagnostic purposes.,,
7,free-range,/ˈfri ˈreɪndʒ/,The farm raises chickens in a free-range environment where they can roam freely and forage for food.,,
8,to contaminate,/kənˈtæmɪneɪt/,The factory's discharge pipes contaminated the river with toxic chemicals.,,
9,to compost,/ˈkɑmpoʊst/,She composts kitchen scraps and yard waste to create nutrient-rich soil for her garden.,,
10,to dump,/dʌmp/,"Instead of recycling, some businesses opt to dump electronic waste in landfills.",,
11,to refine,/rɪˈfaɪn/,The water treatment plant uses filtration methods to refine drinking water and remove contaminants.,,
12,to reuse,/riˈjuz/,She decided to reuse old jars as containers for her homemade jams.,,
13,conservationist,/ˌkɑnsərˈveɪʃənɪst/,The conservationist worked tirelessly to protect endangered species and their habitats.,,
14,eco-anxiety,/ˈikoʊ æŋˈzaɪəti/,Many young people today experience eco-anxiety due to concerns about climate change and environmental degradation.,,
15,disposal,/dɪˈspoʊzəl/,Proper disposal of hazardous waste is crucial to protect the environment and human health.,,
16,dumper,/ˈdʌmpər/,The construction site used a dumper to transport gravel and sand across the site.,,
17,tanker,/ˈtæŋkər/,The tanker ship transported crude oil across the ocean to refineries.,,
18,logging,/ˈlɑɡɪŋ/,Logging in the area has led to widespread deforestation and loss of biodiversity.,,
19,carbon monoxide,/ˈkɑrbən məˈnɑksaɪd/,"Carbon monoxide is a colorless, odorless gas that is produced by incomplete combustion of fossil fuels.",,
20,microplastic,/ˈmaɪkroʊˌplæstɪk/,Microplastics are tiny pieces of plastic less than 5 millimeters in size that pollute the environment.,,
21,pylon,/ˈpaɪlɑn/,The transmission lines were supported by tall pylons across the countryside.,,
22,reactor,/riˈæktər/,The nuclear reactor generates electricity by harnessing the energy from nuclear fission.,,
23,hydroelectricity,/ˌhaɪdroʊɪlɛkˈtrɪsɪti/,Hydroelectricity is generated by harnessing the energy of flowing water to spin turbines.,,
24,ozone layer,/ˈoʊzoʊn ˈleɪər/,The ozone layer is a region of the Earth's stratosphere that absorbs most of the sun's ultraviolet radiation.,,
25,solar cell,/ˈsoʊlər sɛl/,"A solar cell, also known as a photovoltaic cell, converts sunlight directly into electricity.",,
26,sanctuary,/ˈsæŋktʃueri/,The wildlife sanctuary provides a safe habitat for endangered species to thrive.,,
27,toll,/toʊl/,The toll from the earthquake rose steadily as rescue teams reached remote villages.,,
28,wildfire,/ˈwaɪldfaɪr/,The wildfire spread rapidly through the dry forest due to strong winds.,,
29,tidal wave,/ˈtaɪdl weɪv/,"Gale-force winds pushed a tidal wave over the seawall, flooding the beachfront boardwalk.",,
30,herbicide,/ˈɜrbɪsaɪd/,Farmers use herbicides to control weeds and improve crop yields.,,
31,pollutant,/pəˈlutənt/,Carbon dioxide is a major greenhouse gas pollutant emitted from burning fossil fuels.,,
32,to die out,/daɪ aʊt/,Some endangered species are at risk of dying out due to habitat loss.,,
33,rot,/rɑt/,The fruit began to show signs of rot after sitting on the kitchen counter for too long.,,
34,oil rig,/ɔɪl rɪɡ/,The oil rig in the Gulf of Mexico extracts crude oil from deep beneath the seabed.,,
