order,word,phonetic,example,note,definition_en
1,portico,/ˈpɔɹtəˌkoʊ/,"The grand entrance of the mansion was adorned with a majestic portico, supported by towering columns.",,
2,balustrade,/bˈæləstɹˌeɪd/,"The staircase was adorned with an ornate wrought iron balustrade, adding a touch of elegance to the foyer.",,
3,mantelpiece,/mˈæntəlpˌiːs/,"The family portrait hung proudly above the mantelpiece, capturing cherished memories for generations to come.",,
4,eclecticism,/ɪklˈɛktɪsˌɪzəm/,"The building's design embraced eclecticism, blending elements of various architectural styles from different time periods.",,
5,atrium,/ˈeɪtɹiəm/,"The grand atrium of the hotel featured a soaring glass ceiling, allowing natural light to flood the space and creating a sense of openness.",,
6,vault,/vɑlt/,"The cathedral boasted a magnificent vaulted ceiling, adorned with intricate ribbed arches and colorful stained glass windows.",,
7,facade,/fəˈsɑd/,"The facade of the historic building was adorned with intricate carvings and ornate details, showcasing the craftsmanship of its era.",,
8,gable,/ˈɡeɪbəɫ/,"The Tudor-style house had a steeply pitched gable roof, giving it a distinctive silhouette.",,
9,mezzanine,/ˈmɛzəˌnin/,"The bookstore had a cozy reading area on the mezzanine, offering a quiet retreat for book lovers.",,
10,parapet,/ˈpɛɹəˌpɛt/,"The ancient castle's towering stone walls were adorned with decorative parapets, providing both protection and visual interest.",,
11,pergola,"/ˈpɝɡəɫə/, /pɝˈɡoʊɫə/","The backyard featured a charming pergola, providing a cozy spot for outdoor gatherings under a canopy of blooming vines.",,
12,vestibule,/ˈvɛstɪbˌjuɫ/,The hotel's grand entrance welcomed guests into a spacious vestibule adorned with elegant chandeliers and artwork.,,
13,veranda,/vɝˈændə/,"The colonial-style house had a wide, wraparound veranda where residents could relax and enjoy the breeze.",,
14,alcove,/ˈæɫˌkoʊv/,"The library had a cozy alcove with built-in bookshelves, perfect for curling up with a good book.",,
15,nook,/ˈnʊk/,"In the living room, a comfortable armchair nestled in the corner created a perfect reading nook bathed in soft natural light.",,
16,tympanum,/ˈtɪmpənəm/,"The church's facade was adorned with a magnificent tympanum depicting scenes from biblical stories, intricately carved in stone.",,
17,volute,/vˈɑːluːt/,"The Corinthian capital was adorned with elegant volutes, adding a sense of grace and movement to the column.",,
18,spandrel,/spˈændɹəl/,"The Gothic cathedral's windows were adorned with intricate stained glass, filling the spandrels with vibrant colors and patterns.",,
19,quatrefoil,/kwˈætɹɪfˌɔɪl/,"The Gothic cathedral's rose window was adorned with a stunning quatrefoil design, symbolizing unity and harmony.",,
20,pediment,/pˈɛdɪmənt/,"The neoclassical building had a grand entrance adorned with a triangular pediment, supported by columns.",,
21,niche,/ˈnɪtʃ/,"The cathedral's interior was adorned with ornate niches, each housing a statue of a saint or biblical figure.",,
22,quoin,/ˈkwɔɪn/,"The Renaissance palace was distinguished by its rusticated quoins, adding texture and visual interest to the corners of the building.",,
23,keystone,/ˈkiˌstoʊn/,"The archway was supported by a central keystone, which locked the structure into place and distributed the weight evenly.",,
24,entablature,/ɛntˈæblətʃɚ/,"The Classical temple was adorned with a decorative entablature supported by fluted columns, epitomizing the elegance of ancient Greek architecture.",,
25,gargoyle,/ˈɡɑɹˌɡɔɪɫ/,"The medieval cathedral was adorned with grotesque gargoyles, which served both as decorative elements and functional rain spouts.",,
26,abacus,/ˈæbəkəs/,"In classical architecture, the abacus is the flat slab that sits atop a column's capital, providing a stable platform for the entablature above.",,
27,rib vault,/ɹˈɪb vˈɑːlt/,"The Gothic cathedral was renowned for its intricate rib vaulting, which allowed for expansive, open spaces within the nave.",,
28,loggia,/ˈɫɑɡiə/,"The Mediterranean villa had a spacious loggia overlooking the garden, providing a shaded retreat for outdoor dining and relaxation.",,
29,hypostyle,/hˌaɪpoʊstˈaɪl/,"The ancient Egyptian temple was characterized by its vast hypostyle hall, filled with rows of towering columns supporting the roof.",,
30,buttress,/ˈbʌtrəs/,"The Gothic cathedral's towering buttresses provided essential structural support, allowing for the construction of soaring vaulted ceilings.",,
