order,word,phonetic,example,note,definition_en
1,agriculture,/ˈæɡrɪˌkʌlʧɚ/,,,
2,barn,/bɑrn/,,,
3,cattle,/ˈkætl/,The farmer owns a large herd of cattle.,,
4,crop,/krɑp/,The farmers planted a new crop of wheat this season.,,
5,farmhouse,/ˈfɑrmˌhaʊs/,They moved into a charming farmhouse with a large vegetable garden.,,
6,fish farm,/fɪʃ fɑrm/,,,
7,grain,/ɡreɪn/,Wheat is one of the most commonly grown grains worldwide.,,
8,greenhouse,/ˈɡriːnˌhaʊs/,They built a greenhouse to grow vegetables year-round.,,
9,to harvest,/ˈhɑrvɪst/,The farmers harvest wheat in late summer when the grains are fully ripe.,,
10,land,/lænd/,,,
11,to milk,/mɪlk/,"Every morning, the farmer milks the cows before sunrise.",,
12,organic,/ɔrˈɡænɪk/,Organic farming relies on natural methods and avoids the use of synthetic pesticides and fertilizers.,,
13,pest,/pɛst/,,,
14,plow,/plaʊ/,The farmer used a horse-drawn plow to till the soil before planting the crops.,,
15,ranch,/ræntʃ/,,,
16,scarecrow,/ˈskɛrˌkroʊ/,,,
17,seed,/siːd/,"The gardener carefully planted seeds in the fertile soil, eager to watch them grow into vibrant flowers.",,
18,shepherd,/ˈʃɛpɚd/,,,
19,to sow,/soʊ/,She sows tomato seeds in the garden every spring for a fresh harvest.,,
20,stable,/ˈsteɪbəl/,The rancher built a new stable to accommodate the growing number of horses on the farm.,,
21,tractor,/ˈtræktɚ/,,,
22,vineyard,/ˈvɪnjɚd/,They visited a vineyard in France to learn about winemaking.,,
23,windmill,/ˈwɪndˌmɪl/,The old windmill was restored as a historical site.,,
