order,word,phonetic,example,note,definition_en
1,stationery,/ˈsteɪʃəˌnɛri/,"She stocked up on stationery before the start of the school year, buying notebooks, pens, and folders.",,
2,ring binder,/rɪŋ ˈbaɪndər/,She organized her study notes in a ring binder with dividers for each subject.,,
3,folder,/ˈfoʊldər/,She organized her research papers into different folders labeled by topic for easy reference.,,
4,paper clip,/ˈpeɪpərklɪp/,She used a paper clip to keep the documents organized.,,
5,alligator clip,/ˈælɪɡeɪtər klɪp/,He used an alligator clip to connect the wires securely during the electrical experiment.,,
6,post-it,/ˈpoʊstɪt/,She wrote a reminder on a Post-it and stuck it to her computer monitor.,,
7,clipboard,/ˈklɪpbɔrd/,The nurse carried a clipboard with patient charts as she made her rounds in the hospital.,,
8,fountain pen,/ˈfaʊntən pɛn/,"She cherished her grandfather's fountain pen, which he used to write letters during the war.",,
9,nib,/nɪb/,The calligrapher selected a fine nib to create delicate lines in the artwork.,,
10,ballpoint,/ˈbɑlˌpɔɪnt/,She always carries a ballpoint pen in her purse for jotting down quick notes.,,
11,biro,/ˈbaɪroʊ/,He grabbed a biro from the drawer to write a quick note before heading out.,,
12,lead,/led/,The lead in mechanical pencils is available in different diameters to suit various writing preferences.,,
13,Scotch tape,/skɑtʃ teɪp/,She used Scotch tape to wrap the birthday present securely.,,
14,highlighter,/ˈhaɪˌlaɪdər/,She used a yellow highlighter to mark important passages in her textbook.,,
15,felt tip,/ˈfɛlt tɪp/,She used a felt-tip pen to underline key points in her notes.,,
16,stapler,/ˈsteɪplər/,She used a stapler to bind the pages of her report together.,,
17,pencil sharpener,/ˈpɛnsəl ˌʃɑrpənər/,She used a pencil sharpener to sharpen her dull pencil before the exam.,,
18,Witeout,/ˈwaɪdˌaʊt/,She used Wite-Out to correct a mistake on her typed report.,,
19,pushpin,/ˈpʊʃˌpɪn/,She used a pushpin to hang up the calendar on the bulletin board.,,
20,thumbtack,/ˈθʌmˌtæk/,She pinned the memo to the bulletin board using a yellow thumbtack.,,
21,punch,/pʌntʃ/,She used a three-hole punch to organize her documents into a binder.,,
22,notepad,/ˈnoʊtˌpæd/,She always carries a notepad in her bag to jot down ideas throughout the day.,,
23,rubber stamp,/ˈrʌbər stæmp/,The secretary stamped the document with the company's rubber stamp before filing it.,,
24,mechanical pencil,/məˈkænɪkəl ˈpɛnsəl/,She prefers using a mechanical pencil for writing because it never needs sharpening.,,
25,carbon paper,/ˈkɑrbən ˈpeɪpər/,She used carbon paper to make copies of the handwritten letter for each recipient.,,
26,card catalog,/ˈkɑrd ˈkædəˌlɑɡ/,"The library's card catalog helped patrons find books by author, title, or subject.",,
27,in-basket,/ˈɪnˌbæskɪd/,She sorted through the documents in her in-basket to prioritize tasks for the day.,,
28,out-basket,/ˈaʊdˌbæskɪd/,She placed the completed reports in the out-basket for her supervisor to review.,,
29,file cabinet,/ˈfaɪl ˈkæbənɪd/,She organized the client files in the bottom drawer of the file cabinet.,,
30,wastebasket,/ˈweɪsdˌbæskɪd/,She tossed the crumpled paper into the wastebasket under her desk.,,
31,handy,/ˈhændi/,His handy toolkit contained everything he needed for small household repairs.,,
32,functional,/ˈfʌŋkʃənəl/,"The jacket is functional, with plenty of pockets for storage.",,
