order,word,phonetic,example,note,definition_en
1,zero,/ˈziːroʊ/,I have zero dollars in my wallet.,,
2,one,/wʌn/,I have one book.,,
3,two,/tuː/,I need to make two copies of this document.,,
4,three,/θriː/,I counted to three before jumping into the pool.,,
5,four,/fɔːr/,"There are four seasons in a year: spring, summer, autumn, and winter.",,
6,five,/faɪv/,"His favorite number was five, and he always wore a shirt with the number on it to sports games.",,
7,six,/sɪks/,The highest number you can roll on a single die is six.,,
8,seven,/ˈsɛvən/,"His lucky number is seven, and he always wears a necklace with a seven pendant.",,
9,eight,/eɪt/,"The recipe called for eight ounces of flour, which is about one cup.",,
10,nine,/naɪn/,The baseball team has nine players on the field at a time.,,
11,ten,/tɛn/,The soccer team has ten players on the field at a time.,,
12,eleven,/ɪˈlɛvən/,My little son knows that eleven is one more than ten.,,
13,twelve,/twɛlv/,My son reads twelve pages of his book every day.,,
14,thirteen,/ˈθɜrtiːn/,I have thirteen stamps in my collection.,,
15,fourteen,/ˈfɔrtiːn/,"She was born fourteen years ago, and there are now fourteen candles on her birthday cake.",,
16,fifteen,/ˈfɪftiːn/,"I turned fifteen years old last week, and I celebrated my birthday with my friends.",,
17,sixteen,/ˈsɪkstiːn/,She has sixteen unread messages in her inbox.,,
18,seventeen,/ˈsɛvntiːn/,She bought seventeen books from the bookstore.,,
19,eighteen,/ˈeɪtiːn/,He has been working at his job for eighteen years.,,
20,nineteen,/ˈnaɪntiːn/,The car was manufactured in the year nineteen ninety-eight.,,
21,twenty,/ˈtwɛnti/,The distance between the two cities is twenty kilometers.,,
22,thirty,/ˈθɜrti/,The recipe calls for thirty grams of sugar.,,
23,forty,/ˈfɔrti/,My dad works forty hours a week.,,
24,fifty,/ˈfɪfti/,She celebrated her fiftieth birthday with a big party surrounded by family and friends.,,
25,sixty,/ˈsɪksti/,"She found a vintage photograph of her parents from their wedding day, nearly sixty years ago.",,
26,seventy,/ˈsɛvnti/,The marathon was attended by over seventy runners from different countries.,,
27,eighty,/ˈeɪti/,"The temperature today is expected to reach eighty degrees Fahrenheit, perfect for a picnic.",,
28,ninety,/ˈnaɪnti/,"The student received a ninety on her math exam, earning her an A for the semester.",,
29,hundred,/ˈhʌndrəd/,She saved up a hundred dollars to buy a new bicycle for her daily commute.,,
