order,word,phonetic,example,note,definition_en
1,to applaud,/əˈplɑd/,The attendees continued to applaud for several minutes to show their appreciation for the outstanding orchestra performance.,,
2,to bat,/bæt/,She batted her eyelashes to flirt with the person across the room.,,
3,to glance,/ɡlæns/,I often glance at the clock during meetings to check the time.,,
4,to spy,/spaɪ/,"During the Cold War, intelligence agencies would spy on rival nations to gather classified information.",,
5,to articulate,/ɑrˈtɪkjəˌleɪt/,It's important to articulate your concerns during the meeting so everyone understands.,,
6,to bind,/baɪnd/,"In ancient times, they would bind criminals with chains to prevent them from fleeing.",,
7,to cling,/klɪŋ/,She clung to the safety railing as she looked down from the balcony.,,
8,to craft,/kræft/,"She crafts handmade jewelry, carefully assembling each piece with precision.",,
9,to creep,/kriːp/,"The cat crept through the tall grass, stalking its prey.",,
10,to circulate,/ˈsɝːkjəˌleɪt/,"The fan helps circulate air throughout the room, keeping it cool and comfortable.",,
11,to descend,/dɪˈsɛnd/,The elevator started to descend to the ground floor of the office building.,,
12,to divert,/daɪˈvɝːt/,The river's unexpected flooding prompted the emergency response team to divert residents to safer areas.,,
13,to exert,/ɪɡˈzɝːt/,The charismatic leader was able to exert a significant influence on the team.,,
14,to filter,/ˈfɪltɚ/,The water treatment plant frequently filters impurities from the water supply.,,
15,to forge,/fɔrʤ/,Ancient warriors relied on skilled artisans to forge their weapons.,,
16,to grasp,/ɡræsp/,He reached out to grasp the handle of the door.,,
17,to grip,/ɡrɪp/,He had to grip the handle tightly to open the stubborn jar.,,
18,to preside,/prɪˈzaɪd/,The judge will preside over the trial and ensure that proceedings are conducted fairly.,,
19,to resemble,/rɪˈzɛmbəl/,"The two sisters closely resemble each other, sharing the same eyes and smile.",,
20,to simulate,/ˈsɪmjəˌleɪt/,Virtual reality technology can simulate real-world environments for training purposes.,,
21,to slam,/slæm/,She slammed the door behind her in frustration after the argument.,,
22,to stun,/stʌn/,The boxer was stunned by a powerful blow to the head.,,
23,to unify,/ˈjuːnəˌfaɪ/,The various groups will unify under a single banner for the protest.,,
24,to utilize,/ˈjuːtəˌlaɪz/,The chef demonstrated how to utilize leftover ingredients to create a delicious meal.,,
25,to tempt,/tɛmpt/,The urge to splurge on designer shoes tempted her every time she passed by the boutique window.,,
26,to vanish,/ˈvænɪʃ/,The magician made the rabbit vanish from the hat with a swift motion of his hand.,,
27,to weave,/wiːv/,The artisan weaved a complex pattern into the rug.,,
28,to yield,/jiːld/,The apple orchard typically yields a bountiful harvest each year.,,
29,to regain,/rɪˈɡeɪn/,"With determination and hard work, she was able to regain her strength after the illness.",,
30,to pioneer,/ˌpaɪəˈnɪr/,Marie Curie pioneered research on radioactivity.,,
31,to enrich,/ɪnˈrɪʧ/,Adding diverse experiences can enrich one's perspective on life.,,
32,to notify,/ˈnoʊtəˌfaɪ/,The school will notify parents in advance of any changes to the academic calendar.,,
33,to maximize,/ˈmæksɪˌmaɪz/,She always tries to maximize her productivity by planning her tasks efficiently.,,
34,to minimize,/ˈmɪnəˌmaɪz/,She tries to minimize stress by practicing mindfulness techniques.,,
35,to log,/lɑɡ/,The captain logged the course changes and weather conditions during the transatlantic voyage.,,
36,to insult,/ˈɪnˌsʌlt/,He didn't appreciate the sarcastic tone and felt she was trying to insult his intelligence.,,
37,to confine,/kənˈfaɪn/,The doctor advised him to confine his activities to avoid aggravating his injury.,,
38,to imprison,/ɪmˈprɪzən/,The court decided to imprison the convicted felon for a term of ten years.,,
39,to drown,/draʊn/,"Despite efforts to rescue him, the swimmer tragically drowned in the river.",,
40,to dispose,/dɪˈspoʊz/,She carefully disposed the books on the shelf according to their genres.,,
