order,word,phonetic,example,note,definition_en
1,to transmogrify,/tɹænsmˈɑːɡɹɪfˌaɪ/,The wizard's spell had the power to transmogrify a pumpkin into a glittering carriage for Cinderella.,,
2,to transpose,/tɹænˈspoʊz/,The teacher asked the students to transpose the sentences in logical order.,,
3,to coagulate,/koʊˈæɡjəˌɫeɪt/,"When making homemade yogurt, the milk begins to coagulate as the live cultures work to thicken it.",,
4,to dissipate,/ˈdɪsəˌpeɪt/,The morning mist began to dissipate as the sun rose higher in the sky.,,
5,to sublime,/səˈbɫaɪm/,The chemist sublimed the iodine by gently heating it in a sealed flask.,,
6,to wither,/ˈwɪðɝ/,"Without regular watering, plants in the garden tend to wither.",,
7,to morph,/ˈmɔɹf/,"The animator used advanced techniques to morph the character's facial expressions, conveying a range of emotions.",,
8,to wilt,/ˈwɪɫt/,The flowers wilted in the scorching sun as they awaited a much-needed drink.,,
9,to fragment,/ˈfɹæɡmənt/,Glass fragments easily when dropped.,,
10,to sublimate,/sˈʌblᵻmˌeɪt/,Heat will sublimate the dry ice directly into a gas.,,
11,to aggravate,/ˈæɡɹəˌveɪt/,Ignoring medication can aggravate the symptoms of a chronic illness.,,
12,to dilute,"/daɪˈɫut/, /dɪˈɫut/",The teacher suggested adding more examples to dilute the complex theory and make it more understandable for the students.,,
13,to contort,/kənˈtɔɹt/,The gymnast was able to contort her body into unbelievable positions.,,
14,to bolster,/ˈboʊɫstɝ/,Recent scientific findings have bolstered the theory that climate change poses severe risks.,,
15,to distill,/dɪˈstɪɫ/,The chemist is currently distilling the solution to isolate the pure compound.,,
16,to whet,"/ˈhwɛt/, /ˈwɛt/",The blacksmith carefully whetted the sword's blade against the sharpening stone to ensure a razor-sharp edge.,,
17,to permute,/ˌpɝmˈjut/,The musician decided to permute the chords in the song to create a fresh arrangement.,,
18,to overhaul,/ˈoʊvɝˌhɔɫ/,"The company decided to overhaul its outdated website, introducing a new design and features.",,
19,to fine-tune,/fˈaɪntˈuːn/,The musician spent hours fine-tuning the melody to achieve the desired sound.,,
20,to ameliorate,/əˈmiɫjɝˌeɪt/,Planting more trees can ameliorate air quality in urban areas.,,
21,to hone,/ˈhoʊn/,Practice and training help athletes hone their skills for peak performance.,,
22,to rectify,/ˈɹɛktəˌfaɪ/,We need to rectify the incorrect figures in the report before submitting it.,,
