order,word,phonetic,example,note,definition_en
1,immunotherapy,/ˌɪmjunoʊˈθɛɹəpi/,Immunotherapy helps the body target and eliminate cancer cells.,,
2,intervention,/ˌɪntɝˈvɛnʃən/,Early intervention is key to preventing the progression of certain conditions.,,
3,drug therapy,/dɹˈʌɡ θˈɛɹəpi/,"Drug therapy is often used to manage chronic conditions such as hypertension, diabetes, and asthma.",,
4,remission,/ɹiˈmɪʃən/,"After several rounds of chemotherapy, the cancer went into remission, and the patient began to regain strength and energy.",,
5,deep brain stimulation,/dˈiːp bɹˈeɪn stˌɪmjʊlˈeɪʃən/,"Deep brain stimulation has shown promising results in reducing the symptoms of Parkinson's disease, allowing patients to regain better control over their movements.",,
6,recuperation,/ɹɪˌkupɝˈeɪʃən/,"After his surgery, he spent several weeks in recuperation, gradually regaining his strength and mobility.",,
7,resuscitation,/ɹɪˌsəsɪˈteɪʃən/,The paramedics performed CPR and used a defibrillator during the resuscitation attempt to revive the heart attack victim.,,
8,convalescence,/ˌkɑnvəˈɫɛsəns/,"After being discharged from the hospital, she spent her convalescence at home, gradually regaining her strength and mobility.",,
9,ablation therapy,/ɐblˈeɪtiən θˈɛɹəpi/,Ablation therapy was recommended to treat her irregular heart rhythm by targeting and destroying the problematic heart tissue.,,
10,pulmonary rehabilitation,/pˈʌlmənˌɛɹi ɹɪhəbˌɪlɪtˈeɪʃən/,Pulmonary rehabilitation programs are designed to help patients with chronic lung diseases improve their breathing and overall quality of life.,,
11,rehabilitation,"/ˌɹiəˌbɪɫəˈteɪʃən/, /ˌɹihəˌbɪɫəˈteɪʃən/",He received rehabilitation for his injured shoulder.,,
12,adjuvant,/ɐdʒˈuːvənt/,Physical therapy serves as an adjuvant to surgery for rehabilitation.,,
13,tracheostomy,/tɹɐkɪˈɑːstəmi/,The patient underwent a tracheostomy for breathing assistance.,,
14,photodynamic therapy,/fˌoʊɾoʊdaɪnˈæmɪk θˈɛɹəpi/,"Photodynamic therapy is an innovative treatment for certain types of cancer, using light-sensitive drugs and a specific wavelength of light to destroy cancer cells.",,
15,bone marrow transplantation,/bˈoʊn mˈæɹoʊ tɹænsplɐntˈeɪʃən/,"Bone marrow transplantation is often a critical treatment for patients with leukemia, providing them with healthy stem cells to replace damaged or diseased bone marrow.",,
16,prophylaxis,/pɹˌɑːfɪlˈæksɪs/,Vaccination is a common form of prophylaxis against certain infectious diseases.,,
17,to mend,/ˈmɛnd/,The doctor prescribed medication and advised plenty of rest to help mend the patient's strained muscles.,,
18,to convalesce,/ˌkɑnvəˈɫɛs/,"After her surgery, she went to her parents' home to convalesce in a peaceful and supportive environment.",,
19,to pull through,/pˈʊl θɹˈuː/,"Despite the odds, the patient pulled through after a complex surgery and is now in stable condition.",,
20,to recuperate,/ɹɪˈkupɝˌeɪt/,"After his surgery, he stayed in the hospital for several days to recuperate before returning home.",,
21,to rally,/ˈɹæɫi/,"After a few days of rest, he began to rally, showing signs of improvement in his strength and mobility.",,
22,to invigorate,/ˌɪnˈvɪɡɝɪt/,A brisk walk in the fresh air can invigorate both the body and mind.,,
23,to resuscitate,"/ɹiˈsəsɪˌteɪt/, /ɹɪˈsəsɪˌteɪt/",The paramedics worked quickly to resuscitate the unconscious hiker on the trail.,,
24,remedial,/ɹɪˈmidiəɫ/,Antibiotics are commonly used as remedial treatment for bacterial infections.,,
25,palliative,/ˈpæɫiətɪv/,Comfort and dignity are central to palliative care.,,
26,therapeutic,/ˌθɛɹəpˈjutɪk/,Therapeutic treatments focus on healing and recovery.,,
27,restorative,/ɹəˈstɔɹətɪv/,Physical therapy exercises served restorative purposes in regaining knee strength following injury.,,
28,chiropractic,/ˌkaɪɹoʊˈpɹæktɪk/,Mary sought chiropractic treatment to relieve her back pain and improve her posture.,,
29,revitalizing,/ɹiˈvaɪtəˌɫaɪzɪŋ/,"The revitalizing breeze from the ocean invigorated everyone on the beach, lifting their spirits.",,
