order,word,phonetic,example,note,definition_en
1,to guffaw,/ɡəˈfɔ/,"Despite their attempts to remain composed, they couldn't help but guffaw at the absurdity of the situation.",,
2,to pout,/ˈpaʊt/,The child started to pout when told it was bedtime.,,
3,to facepalm,/fˈeɪspɑːm/,"In response to the absurd statement, the audience collectively facepalmed, unable to believe what they had just heard.",,
4,to fidget,/ˈfɪdʒɪt/,The child couldn't sit still and kept fidgeting in his chair during the long car ride.,,
5,to writhe,/ˈɹɪθ/,The wounded soldier writhed on the ground in agony.,,
6,to wince,/ˈwɪns/,He winced as he touched the hot stove with his bare hand.,,
7,to canoodle,/kˈænuːdəl/,The couple enjoyed a quiet evening canoodling on the couch.,,
8,to smooch,/ˈsmutʃ/,"As a sign of love, they smooched on the park bench.",,
9,to buss,/bʌs/,The couple bussed each other sweetly under the mistletoe.,,
10,to snog,/ˈsnɔɡ/,The couple couldn't resist snogging under the stars.,,
11,to squirm,/ˈskwɝm/,"The toddler began to squirm in his high chair, indicating that he was no longer interested in eating.",,
12,to serenade,/ˌsɛɹəˈneɪd/,He decided to serenade his girlfriend with a love song under her window.,,
13,to pamper,/ˈpæmpɝ/,She decided to pamper herself with a relaxing spa day after a long week at work.,,
14,to dote,/ˈdoʊt/,"She dotes on her pet cat, showering it with affection.",,
15,to chuck,/ˈtʃək/,She decided to chuck her boyfriend after realizing they wanted different things in life.,,
16,to [wring] {one's} hands,/ɹˈɪŋ wˈʌnz hˈændz/,She wrung her hands in anxiety as she awaited the doctor's verdict.,,
17,to flutter {one's} eyelashes,/flˈʌɾɚ wˈʌnz ˈaɪlæʃᵻz/,"She flirtatiously fluttered her eyelashes at him, hoping to catch his attention.",,
18,to [cross] {one's} legs,/kɹˈɔs wˈʌnz lˈɛɡz/,She crossed her legs tightly as she listened to the presentation.,,
