order,word,phonetic,example,note,definition_en
1,title page,/ˈtaɪtəl peɪʤ/,The title page of the report featured the project's title in bold letters centered at the top.,,
2,appendix,/əˈpɛndɪks/,The appendix of the research paper contained supplementary tables and charts referenced in the main text.,,
3,footnote,/ˈfʊtˌnoʊt/,"In her academic paper, she included a footnote to provide additional context for a complex term.",,
4,backstory,/ˈbækˌstɔri/,The author revealed the protagonist's tragic backstory through a series of flashbacks scattered throughout the novel.,,
5,characterization,/ˌkɛrəktɚɪˈzeɪʃən/,"The author's skillful characterization brought the protagonist to life, making the reader empathize with her struggles and triumphs.",,
6,narration,/næˈreɪʃən/,The first-person narration allowed readers to experience the protagonist's inner thoughts and emotions firsthand.,,
7,the first-person,/ˈfɝstˌpɝsən/,"In the first-person narrative, the protagonist recounts the events of the story from their own perspective, offering intimate insights into their thoughts and feelings.",,
8,twist,/twɪst/,The novel's plot contained a surprising twist that left readers stunned.,,
9,inspiration,/ˌɪnspɪˈreɪʃən/,The serene landscape sparked an inspiration in the writer’s mind.,,
10,to co-author,/ˈkoʊˌɑθɚ/,She co-authored several research papers with colleagues from different universities.,,
11,to compose,/kəmˈpoʊz/,"After months of research, she finally composed a compelling essay on environmental conservation.",,
12,to jot down,/ʤɑt daʊn/,I need to jot down the main points of the meeting for the report.,,
13,to proofread,/ˈprufˌrid/,"Before submitting her essay, she asked her friend to proofread it for any typos or grammatical errors.",,
14,to script,/skrɪpt/,The playwright diligently scripted a compelling drama that resonated with the audience.,,
15,autobiography,/ˌɔːtəbaɪˈɑɡrəfi/,He wrote an autobiography to share his life story with the world.,,
16,comic strip,/ˈkɑːmɪk ˌstrɪp/,"Every Sunday, she eagerly awaited the newspaper to read her favorite comic strip.",,
17,fable,/ˈfeɪbəl/,"The fable of ""The Tortoise and the Hare"" teaches us that slow and steady wins the race.",,
18,pamphlet,/ˈpæmflɪt/,The health clinic distributed pamphlets about nutrition and exercise to promote healthy lifestyle habits.,,
19,hardcover,/ˈhɑrdˌkʌvɚ/,"He opted for the hardcover, knowing it would withstand the wear and tear of frequent readings.",,
20,paperback,/ˈpeɪpɚˌbæk/,She preferred the paperback because it was lightweight and easy to carry during her travels.,,
21,prose,/proʊz/,"Her writing style is characterized by clear and concise prose, making her novels accessible to a wide audience.",,
22,dramatist,/ˈdræmətɪst/,The theater company invited a talented dramatist to write an original script for their upcoming production.,,
23,playwright,/ˈpleɪˌraɪt/,The playwright received critical acclaim for her latest production.,,
24,engaging,/ɪnˈɡeɪʤɪŋ/,The book was so engaging that she couldn't put it down.,,
25,gripping,/ˈɡrɪpɪŋ/,"The gripping novel kept me on the edge of my seat, unable to put it down until I reached the last page.",,
26,heavy,/ˈhɛvi/,"The heavy tome delved into complex philosophical concepts, challenging even the most seasoned readers.",,
27,intriguing,/ɪnˈtriːɡɪŋ/,"The old book contained intriguing symbols and cryptic messages, sparking the reader's curiosity.",,
28,ironic,/aɪˈrɑnɪk/,"Fans enjoyed the podcast for its ironic, irreverent satire of current events.",,
29,tragic,/ˈtræʤɪk/,The tragic ending of the play left the audience deeply moved by the protagonist's untimely demise.,,
30,symbolism,/ˈsɪmbəˌlɪzəm/,Symbolism is a powerful literary device used by authors to convey deeper meanings and themes in their works.,,
31,trilogy,/ˈtrɪləʤi/,"The trilogy consisted of three interconnected novels, each building upon the events of the previous installment.",,
32,sequel,/ˈsiːkwəl/,The highly anticipated sequel to the bestselling novel was released to critical acclaim.,,
33,quote,/kwoʊt/,"The quote ""All that glitters is not gold"" serves as a timeless reminder to look beyond appearances.",,
34,romance,/roʊˈmæns/,"She curled up with a romance novel, eager to lose herself in a world of passion and intrigue.",,
35,third-person narrative,/ˈθɝːd ˌpɝsən nˈæɹətˌɪv/,"In the third-person narrative, the author tells the story from an outside perspective, using pronouns such as ""he,"" ""she,"" or ""they"" to refer to the characters.",,
36,true crime,/truː kraɪm/,"True crime podcasts have gained popularity in recent years, offering listeners a glimpse into real-life mysteries and criminal cases.",,
