order,word,phonetic,example,note,definition_en
1,tectonics,/tɛkˈtɑnɪks/,The study of tectonics helps explain the distribution of earthquakes and the seismic activity associated with plate boundaries.,,
2,plate,/pleɪt/,"The Pacific Plate and the North American Plate interact along the ""Ring of Fire,"" resulting in seismic activity and volcanic eruptions.",,
3,fissure,/ˈfɪʃɝ/,Deep fissures lined the walls of the crumbling canyon formed by erosion over centuries.,,
4,subduction,/sʌbdˈʌkʃən/,"The subduction of the Pacific Plate beneath the North American Plate has created the Cascadia Subduction Zone, known for its seismic activity.",,
5,isostasy,/ˈaɪsəstəsi/,"The rebound of land following the melting of glaciers is a classic example of isostasy, where the crust adjusts to changes in load.",,
6,lithosphere,/lˈɪθəsfˌɪɹ/,"The lithosphere includes the Earth's continental crust, forming the solid ground beneath our feet.",,
7,asthenosphere,/ɐsθˈɛnəsfˌɪɹ/,"The asthenosphere's flow allows for the movement of tectonic plates, contributing to Earth's dynamic crustal activity.",,
8,karst,/ˈkɑɹst/,"Karst is a landscape formed by the dissolution of soluble rocks such as limestone, dolomite, and gypsum, characterized by features such as sinkholes, caves, and underground drainage systems.",,
9,orogeny,/oːɹˈɑːdʒəni/,"The Himalayas are a prominent example of orogeny, resulting from the collision between the Indian and Eurasian tectonic plates.",,
10,geode,/dʒˈiːoʊd/,The amethyst geode on display in the museum showcases the beautiful purple crystals that line its interior.,,
11,kimberlite,/kˈɪmbɚlˌaɪt/,"Diamond miners discovered a rich kimberlite deposit in the remote region, leading to increased diamond extraction.",,
12,glaciation,/ˌɡɫeɪʃiˈeɪʃən/,The Great Lakes were formed during past glaciation periods when massive ice sheets shaped the landscape.,,
13,moraine,/mɝˈeɪn/,The terminal moraine marked the furthest point reached by the glacier during the last ice age.,,
14,drumlin,/dɹˈʌmlɪn/,The drumlin field in the region displayed a series of these distinctive glacial landforms.,,
15,caldera,"/ˌkæɫˈdɛɹə/, /ˌkɔɫˈdɛɹə/",The Santorini Caldera in the Aegean Sea is a stunning example of a caldera filled with seawater.,,
16,diagenesis,/dˌaɪədʒˈɛnɪsˌɪs/,"Diagenesis refers to the physical, chemical, and biological changes that sediments undergo after deposition and before lithification.",,
17,metamorphism,/mˌɛɾəmˈoːɹfɪzəm/,"The intense heat and pressure deep within the Earth's crust cause metamorphism, transforming sedimentary rock into metamorphic rock.",,
18,sedimentation,/ˌsɛdəmənˈteɪʃən/,Sedimentation in lakes can affect aquatic ecosystems.,,
19,faulting,/ˈfɔɫtɪŋ/,Faulting along the San Andreas Fault caused the earthquake.,,
20,aquifer,/ˈækwəfɝ/,Farmers drill wells into the aquifer to access water for irrigation.,,
21,concretion,/kɑːŋkɹˈɛʃən/,Geologists study concretions to understand sedimentary rock formations.,,
22,pluton,/plˈuːtən/,The presence of a pluton can influence the surrounding rock formations.,,
23,folding,/ˈfoʊɫdɪŋ/,"Folding bends rock layers, forming wrinkles in the Earth's crust.",,
24,lahar,/lˈæhɑːɹ/,Lahar monitoring systems provide early warnings to minimize hazards.,,
25,subsidence,/səbˈsaɪdəns/,"The coastal town experienced significant subsidence, causing several buildings to tilt and crack.",,
26,intrusion,/ˌɪnˈtɹuʒən/,The granite intrusion altered the surrounding rock layers.,,
27,matrix,/ˈmeɪtɹɪks/,The sandstone's matrix held the grains together.,,
28,igneous,/ˈɪɡniəs/,Igneous rocks form from molten material cooling and solidifying.,,
