order,word,phonetic,example,note,definition_en
1,agency,/ˈeɪdʒənsi/,A real estate agency helps facilitate transactions between property buyers and sellers.,,
2,corporation,/ˌkɔɹpɝˈeɪʃən/,The corporation expanded its operations into international markets last year.,,
3,board,/bɔːrd/,"During the meeting, the board discussed strategies for improving company performance.",,
4,chairman,/ˈtʃɛɹmən/,The chairman of the board announced a new strategic direction for the company during the annual shareholders' meeting.,,
5,entrepreneur,"/ˌɑntɹəpɹəˈnɝ/, /ˌɑntɹəpɹəˈnʊɹ/","As an entrepreneur, she started her own tech company with just a small investment.",,
6,clerk,/ˈkɫɝk/,The clerk processed the customer’s return and issued a refund.,,
7,draft,/ˈdɹæft/,"The seller issued a draft to the buyer, ensuring that the payment would be made upon delivery of the goods.",,
8,income,/ˈɪnˌkəm/,His primary source of income is his salary from the tech company where he works.,,
9,insurance,/ˌɪnˈʃʊɹəns/,He decided to purchase car insurance to protect himself against potential accidents.,,
10,market research,/mˈɑːɹkɪt ɹɪsˈɜːtʃ/,"Before launching the new product, the company conducted extensive market research to understand consumer preferences and trends.",,
11,to contract,/ˈkɑnˌtrækt/,The company contracted with a local supplier to provide raw materials for their manufacturing process.,,
12,to establish,/ɪˈstæbɫɪʃ/,"After years of planning, they finally established their own tech startup in Silicon Valley.",,
13,to found,/ˈfaʊnd/,The university was founded in the early 1900s.,,
14,to fund,/ˈfənd/,The government funds educational programs to support student learning.,,
15,to manufacture,/ˌmænjəˈfæktʃɝ/,"The company manufactures electronic devices, such as smartphones and tablets.",,
16,to launch,/ˈɫɔntʃ/,They plan to launch a marketing campaign to promote the event.,,
17,to ship,/ʃɪp/,The company decided to ship the products overseas to meet the growing demand in international markets.,,
18,to sponsor,/ˈspɑnsɝ/,"The company sponsored the local sports team, contributing to their uniforms and equipment.",,
19,strategy,/ˈstɹætədʒi/,Their marketing strategy increased sales last year.,,
20,partnership,/ˈpɑɹtnɝˌʃɪp/,The new venture was formed through a strategic partnership between two leading companies in the industry.,,
21,profit margin,/pɹˈɑːfɪt mˈɑːɹdʒɪn/,The company's profit margin increased significantly after implementing cost-saving measures and streamlining operations.,,
22,stockholder,/ˈstɑkˌhoʊɫdɝ/,"As a diligent stockholder, she regularly attends shareholder meetings to stay informed about the company's performance and future plans.",,
23,union,/ˈjunjən/,The union negotiated a new collective bargaining agreement that secured higher wages and improved benefits for its members.,,
24,tax evasion,/tˈæks ɪvˈeɪʒən/,The wealthy businessman was convicted of tax evasion after it was discovered that he had hidden millions of dollars in offshore accounts.,,
25,shipment,/ˈʃɪpmənt/,"Our international shipment was subject to customs inspection, resulting in a slight delay in delivery.",,
26,fortune,"/ˈfɔɹtʃən/, /ˈfɔɹtʃun/",He inherited a fortune from his grandparents and became one of the wealthiest individuals in the country.,,
27,savings,/ˈseɪvɪŋz/,She diligently set aside a portion of her income each month to contribute to her savings account.,,
28,wealthy,/ˈwɛɫθi/,The wealthy businessman owned several luxury cars and houses.,,
29,to come down,/kˈʌm dˈaʊn/,"The prices of the new smartphones have finally come down, making them more affordable for consumers.",,
30,to live on,/lˈaɪv ˈɑːn/,"The homeowner lived on a fixed income, carefully budgeting their expenses to ensure they could afford property taxes and maintenance.",,
31,to pay off,/peɪ af/,She finally paid off her student loans after ten years.,,
32,to set aside,/sˈɛt ɐsˈaɪd/,She decided to set some money aside for her vacation.,,
33,discount,/ˈdɪskaʊnt/,The store announced a discount on all electronics for the weekend.,,
34,fee,/ˈfi/,The lawyer's fee for handling the case was quite high.,,
35,lending,/ˈɫɛndɪŋ/,The lending terms included a low interest rate and a flexible repayment schedule.,,
36,senior,/ˈsiːniɚ/,"As a senior manager, she oversaw the operations of multiple departments within the company.",,
37,junior,/ˈʤuːnjɚ/,"As a junior employee, he reported to a senior manager and was responsible for assisting with various tasks.",,
38,to speak,/spiːk/,He will speak at the conference tomorrow.,,
39,chief executive officer,/tʃˈiːf ɛɡzˈɛkjuːtˌɪv ˈɑːfɪsɚ/,The CEO announced a new strategy for the company.,,
