order,word,phonetic,example,note,definition_en
1,exercise,/ˈɛksɚˌsaɪz/,He avoids strenuous exercise due to his heart condition.,,
2,field,/fild/,"After the game, the players left their equipment on the field.",,
3,football,/ˈfʊtˌbɔl/,Football games are a big part of our school spirit.,,
4,to throw,/θroʊ/,Be careful not to throw stones at the windows.,,
5,to kick,/kɪk/,He can kick the ball far into the opponent's half.,,
6,basketball,/ˈbæskətˌbɔl/,He enjoys playing basketball with his friends at the local park on weekends.,,
7,baseball,/ˈbeɪsˌbɔl/,Baseball is a popular sport in the United States.,,
8,to hit,/hɪt/,She hit the tennis ball with a powerful forehand.,,
9,to catch,/kætʃ/,Be careful to catch the egg without breaking it.,,
10,hockey,/ˈhɑki/,He loves watching hockey games on TV.,,
11,golf,/ɡɑlf/,Golf is often considered a relaxing sport.,,
12,rugby,/ˈrʌɡbi/,He started playing rugby at a young age.,,
13,cricket,/ˈkrɪkɪt/,Cricket requires a good understanding of strategy.,,
14,field hockey,/ˈfild ˈhɑki/,Field hockey requires speed and agility.,,
15,diving,/ˈdaɪvɪŋ/,Diving is one of the most-watched sports in the Olympics.,,
16,to dive,/daɪv/,He is going to dive into the sea from the boat.,,
17,training,/ˈtreɪnɪŋ/,He needs more training to improve his swimming speed.,,
18,to train,/treɪn/,The coach regularly trains the team on new strategies for the game,,
19,competition,/ˌkɑmpəˈtɪʃən/,The annual chess competition draws players from around the world.,,
20,to compete,/kəmˈpit/,"Every year, hundreds of athletes compete in the city marathon.",,
21,jogging,/ˈdʒɑɡɪŋ/,"After a quick jogging, I'm ready to start my day.",,
22,to jog,/dʒɑɡ/,He jogs on the treadmill when the weather is bad.,,
23,climbing,/ˈklaɪmɪŋ/,Climbing requires both strength and technique.,,
24,to climb,/klaɪm/,He likes to climb mountains on weekends.,,
25,game,/ɡeɪm/,"Despite the rain, the game of cricket continued as planned.",,
26,player,/ˈpleɪɚ/,Each player in cricket has a unique position in the field.,,
27,goal,/ɡoʊl/,"Despite their best efforts, the team couldn't score a goal.",,
28,score,/skɔr/,Everyone at the party was surprised by the high score in the card game.,,
29,coach,/koʊʧ/,"As a dedicated fitness coach, he helped people achieve their health goals.",,
30,athlete,/ˈæθˌlit/,"As a professional athlete, he maintained a strict diet and exercise routine.",,
31,cup,/kʌp/,He was excited to add the bowling cup to his collection of trophies.,,
32,tired,/ˈtaɪɚd/,"After a long day at work, he felt extremely tired.",,
33,to join,/ʤɔɪn/,"After moving to a new city, he joined a local sports club.",,
