order,word,phonetic,example,note,definition_en
1,hall,/hɑːl/,His shoes were lined up neatly in the hall.,,
2,level,/ˈlevəl/,The children's department is on the third level of the library.,,
3,stair,/stɛr/,He climbed the stair to reach the second floor.,,
4,entrance,/ˈɛntrəns/,Please wait for me at the entrance of the museum.,,
5,gate,/ɡeɪt/,She waited for him outside the school gate.,,
6,emergency exit,/ɪˈmɝdʒənsi ˈɛɡzɪt/,Always know the location of the nearest emergency exit.,,
7,fence,/fɛns/,She leaned on the fence and watched the sunset.,,
8,light,/laɪt/,Can you switch on the light?,,
9,utility,/juˈtɪləti/,"In winter, the utility costs rise because of the increased use of heating.",,
10,electricity,/ɪˌlɛkˈtrɪsɪti/,"During the storm, we lost electricity for a few hours.",,
11,gas,/ɡæs/,Gas is often cheaper than electricity for heating homes.,,
12,heat,/hit/,Could you please turn on the heat it's freezing in here.,,
13,cable,/ˈkeɪbəl/,Our apartment subscribes to a cable service.,,
14,mailbox,/ˈmeɪlˌbɑks/,"Every day, I check the mailbox for the letter I'm expecting.",,
15,landlord,/ˈlændˌlɔrd/,"Before moving out, you should inform your landlord.",,
16,tenant,/ˈtɛnənt/,"As a tenant, he's responsible for keeping the apartment clean.",,
17,lease,/lis/,I'm unsure about the lease's terms regarding noise after 10 pm,,
18,to rent,/rɛnt/,She decided to rent an apartment in the city while working there for a year.,,
19,cozy,/ˈkoʊzi/,I like to sit in my cozy armchair with a good book.,,
20,neighborhood,/ˈneɪbɚˌhʊd/,"I grew up in a small, rural neighborhood outside the city.",,
21,to live,/lɪv/,She prefers to live in a quiet country side away from crowded cities.,,
22,to move in,/ˈmuv ˈɪn/,My roommate will move in next week when her lease is up.,,
23,to move out,/ˈmuv ˈaʊt/,He was excited but nervous to move out for the first time.,,
