order,word,phonetic,example,note,definition_en
1,to flash,/ˈfɫæʃ/,Lightning flashed across the night sky during the storm.,,
2,humidity,/hjuˈmɪdəti/,The high humidity made the summer day feel even hotter.,,
3,airless,/ˈɛɹɫəs/,The small room felt airless and stuffy after being closed all day.,,
4,seasonal,/ˈsizənəɫ/,They enjoyed seasonal fruits and vegetables from the local farmer's market.,,
5,falling,/ˈfɑɫɪŋ/,The falling temperatures signaled the arrival of autumn.,,
6,rising,/ˈɹaɪzɪŋ/,There is a rising trend in remote work opportunities.,,
7,changeable,/ˈtʃeɪndʒəbəɫ/,"The weather in the mountains is notoriously changeable, with conditions shifting rapidly.",,
8,cloudless,/ˈkɫaʊdɫəs/,"The day dawned bright and cloudless, promising perfect beach weather.",,
9,heavy,/ˈhɛvi/,The sky grew heavy with dark clouds before the storm.,,
10,regional,/ˈɹidʒənəɫ/,Regional conflicts can arise over territorial disputes or resource allocation.,,
11,stable,/ˈsteɪbəl/,His health condition has been stable for the past few months.,,
12,steady,/ˈstɛdi/,The stock price has been steady this month.,,
13,tropical,/ˈtɹɑpɪkəɫ/,The tropical climate of Hawaii attracts tourists year-round.,,
14,windless,/wˈɪndləs/,"The lake was completely windless, reflecting the clear blue sky perfectly.",,
15,chill,/ˈtʃɪɫ/,She felt a chill in the air as the sun began to set.,,
16,warmth,/ˈwɔɹmθ/,"She curled up under the blanket, soaking in its cozy warmth.",,
17,frostbite,/ˈfɹɔstˌbaɪt/,She developed frostbite on her fingers after being outside in the freezing weather for too long.,,
18,frosty,/ˈfɹɔsti/,They bundled up in warm coats and scarves to brave the frosty morning air.,,
19,heatstroke,/hˈiːtstɹoʊk/,She was rushed to the hospital after suffering from heatstroke during the marathon.,,
20,dry season,/dɹˈaɪ sˈiːzən/,"The dry season in the region lasts for several months, affecting crop growth.",,
21,dust storm,/dˈʌst stˈoːɹm/,"The desert experienced a severe dust storm, obscuring the sun and forcing residents indoors.",,
22,flooding,/ˈfɫədɪŋ/,The heavy rain led to severe flooding in low-lying areas near the river.,,
23,frost,/ˈfɹɔst/,The early frost caught many farmers off guard this season.,,
24,mist,/ˈmɪst/,The morning mist obscured the view of the mountains from the valley.,,
25,rainbow,/ˈɹeɪnˌboʊ/,"After the rain, a beautiful rainbow appeared over the hills.",,
26,tsunami,"/suˈnɑmi/, /tsuˈnɑmi/",The devastating tsunami in 2004 wreaked havoc across coastal regions of Southeast Asia.,,
27,typhoon,/ˌtaɪˈfun/,"The typhoon brought heavy rain and strong winds, causing widespread damage to homes and infrastructure.",,
28,to [rain] cats and dogs,/ɹˈeɪn kˈæts ænd dˈɑːɡz/,It's going to rain cats and dogs.,,
29,shadow,/ˈʃæˌdoʊ/,The shadow of the building loomed over the park.,,
30,overcast,/ˈoʊvɝˌkæst/,"Today's forecast predicts an overcast sky, with little chance of sunshine.",,
31,thunderbolt,/ˈθəndɝˌbɔɫt/,"The thunderbolt struck the tree, splitting it in half.",,
