order,word,phonetic,example,note,definition_en
1,to bid,/ˈbɪd/,The company is bidding to secure the contract for the new infrastructure project.,,
2,to overexert,/ˌoʊvərɪɡˈzɜrt/,"After the intense workout, he began to feel lightheaded, realizing he had overexerted himself at the gym.",,
3,to make off,/mˌeɪk ˈɔf/,The thief made off after robbing the bank.,,
4,to scram,/ˈskɹæm/,"When the fire alarm sounded, the students had to scram out of the building in an orderly manner.",,
5,to shirk,/ˈʃɝk/,"Instead of completing the assigned project, he tends to shirk his responsibilities by procrastinating and avoiding the necessary work.",,
6,to sidestep,/ˈsaɪdˌstɛp/,"During the interview, the politician attempted to sidestep controversial questions by redirecting the conversation to unrelated topics.",,
7,to shun,/ˈʃən/,"The celebrity chose to shun the limelight for a while, seeking privacy away from the public eye.",,
8,to eschew,/ɛsˈtʃu/,Health-conscious individuals often eschew sugary beverages in favor of water or herbal tea.,,
9,to abscond,/æbˈskɑnd/,The prisoner managed to abscond from the maximum-security prison.,,
10,to skedaddle,/skˈɛdædəl/,"When they heard the loud noise, the startled animals began to skedaddle into the safety of the nearby forest.",,
11,to forestall,/fɔɹˈstɔɫ/,She took painkillers to forestall a migraine.,,
12,to ward off,/wˈɔːɹd ˈɔf/,The use of insect repellent helps ward off mosquitoes and reduce the risk of insect-borne diseases.,,
13,to head off,/hˈɛd ˈɔf/,The company decided to head off any potential disputes by clarifying the contract terms.,,
14,to stave off,/stˈeɪv ˈɔf/,Adequate sleep and a healthy diet can help stave off fatigue and improve overall well-being,,
15,to circumvent,/ˌsɝkəmˈvɛnt/,Many companies circumvent their environmental responsibilities by outsourcing to suppliers in other countries.,,
16,to bypass,/ˈbaɪˌpæs/,The engineer designed a system to bypass the faulty circuit and ensure the smooth operation of the machinery.,,
