order,word,phonetic,example,note,definition_en
1,try,/traɪ/,"Despite his best try, he couldn't solve the complex puzzle.",,
2,to attempt,/əˈtɛmpt/,He attempts the challenging crossword puzzle every morning.,,
3,to cost,/kɑst/,Ignoring safety regulations can cost lives in hazardous work environments.,,
4,difficulty,/ˈdɪfɪˌkʌlti/,The Smiths experienced significant financial difficulty after unexpected medical expenses depleted their savings.,,
5,advantage,/ədˈvæntɪʤ/,His experience in digital marketing gave him a significant advantage over other job applicants.,,
6,disadvantage,/ˌdɪsədˈvæntɪʤ/,Growing up in a remote village put him at a disadvantage compared to his peers in the city.,,
7,disappointing,/ˌdɪsəˈpɔɪntɪŋ/,The disappointing performance of the team in the championship match left fans feeling disheartened.,,
8,expectation,/ˌɛkspɛkˈteɪʃən/,"Sarah had high expectations for her birthday party, but it turned out to be a small gathering with only a few friends.",,
9,enemy,/ˈɛnəmi/,"Despite being childhood friends, they grew apart and became bitter enemies in adulthood.",,
10,to fail,/feɪl/,"Despite their best efforts, the plan failed.",,
11,failure,/ˈfeɪljɚ/,,,
12,trouble,/ˈtrʌbəl/,,,
13,hard,/hɑrd/,He worked hard to achieve his goals.,,
14,lost,/lɑst/,"The ancient artifacts were lost to history, buried beneath layers of earth for centuries.",,
15,to miss,/mɪs/,She missed the chance to speak at the conference.,,
16,to overcome,/ˌoʊvɚˈkʌm/,She overcame obstacles in her career by demonstrating resilience and determination.,,
17,purpose,/ˈpɝːpəs/,His purpose in studying abroad was to immerse himself in a different culture and improve his language skills.,,
18,to achieve,/əˈʧiːv/,"After years of hard work and dedication, she finally achieved her dream of becoming a published author.",,
19,unsuccessful,/ˌʌnsəkˈsɛsfəl/,The unsuccessful job applicant did not receive an offer.,,
20,to work,/wɝːk/,She is working to improve her language skills.,,
21,obstacle,/ˈɑbstɪkəl/,Fear of failure was the main obstacle to her success.,,
22,to go on,/ɡoʊ ɑn/,The marathon runners were determined to go on despite the rain.,,
23,to give up,/ɡɪv ʌp/,He refused to give up even when the odds were stacked against him.,,
24,to abandon,/əˈbændən/,Sarah finally mustered the courage to abandon her toxic relationship.,,
25,to fight,/faɪt/,She fought for equal opportunities in the workplace throughout her career.,,
26,to accomplish,/əˈkɑmplɪʃ/,"After years of dedicated practice, she accomplished fluency in three foreign languages.",,
27,success,/səkˈsɛs/,His hard work and determination finally led to the success he had been striving for.,,
28,to succeed,/səkˈsiːd/,"Through persistent effort and dedication, she succeeded in securing a promotion at her job.",,
29,well-paid,/ˈwɛlˈpeɪd/,She chose a career in finance because she knew it was well-paid and offered excellent opportunities for advancement.,,
30,to trouble,/ˈtrʌbəl/,"The financial crisis troubled many families, causing stress and uncertainty.",,
31,mistake,/mɪˈsteɪk/,Recognizing and admitting your mistakes is the first step toward personal growth.,,
