order,word,phonetic,example,note,definition_en
1,to act,,,,
2,to affect,,,,
3,to analyze,,,,
4,to apply,,,,
5,to arrange,,,,
6,to avoid,,,,
7,to beat,,,,
8,to behave,,,,
9,to blow,,,,
10,to boil,,,,
11,to burn,,,,
12,to cause,,,,
13,to collect,,,,
14,to connect,,,,
15,to consider,,,,
16,to control,,,,
17,to cover,,,,
18,to depend,,,,
19,to destroy,,,,
20,to develop,,,,
21,to dry,,,,
22,to exist,,,,
23,to expect,,,,
24,to express,,,,
25,to fight,,,,
26,to fix,,,,
27,to greet,,,,
28,to carry out,,,,
29,to look,,,,
30,to stop,,,,
31,to disappear,,,,
32,to name,,,,
