order,word,phonetic,example,note,definition_en
1,nature,/ˈneɪtʃɚ/,,,
2,individual,/ˌɪndəˈvɪdʒuəl/,Each individual in the team brings unique skills and perspectives to the project.,,
3,horrible,/ˈhɑrɪbəl/,,,
4,dependent,/dɪˈpɛndənt/,The success of the project was highly dependent on the team's ability to collaborate effectively.,,
5,organized,/ˈɔrɡəˌnaɪzd/,She is very organized and always finishes her work on time.,,
6,outgoing,/ˈaʊtˌɡoʊɪŋ/,The outgoing student eagerly participated in group activities and made friends easily.,,
7,to pretend,/prɪˈtɛnd/,"He pretended to enjoy the meal, even though it didn't taste good, to avoid causing offense.",,
8,quality,/ˈkwɑləti/,Generosity is a defining quality of his character.,,
9,characteristic,/ˌkɛrəktɚˈɪstɪk/,Her kindness is a characteristic everyone notices.,,
10,personal,/ˈpɝːsənəl/,She kept her personal diary hidden under her bed.,,
11,relaxed,/rɪˈlækst/,"After a long day at work, he enjoys taking a hot bath to feel relaxed and unwind.",,
12,easy,/ˈiːzi/,"Despite the stressful situation, she remained calm and easy, effortlessly navigating the challenges.",,
13,reliable,/rɪˈlaɪəbəl/,"He's reliable, always delivering on his promises and consistently producing quality work.",,
14,wise,/waɪz/,Grandparents are often considered wise because of their life experiences and wisdom.,,
15,slow,/sloʊ/,"Her brother teased her for being slow, but she remained determined to improve her skills.",,
16,to trick,/trɪk/,He tricked his brother into giving him the last piece of cake by pretending it was his birthday.,,
17,weak,/wiːk/,"Sarah's weak character was evident in her tendency to change her mind frequently, unable to stand firm in her decisions.",,
18,mean,/miːn/,The mean girl spread rumors about her classmates to make herself feel superior.,,
19,childish,/ˈʧaɪldɪʃ/,"Instead of resolving their issues maturely, they resorted to childish name-calling and insults.",,
20,loyal,/ˈlɔɪəl/,"The loyal friend stood by his side through thick and thin, offering unwavering support.",,
21,open,/ˈoʊpən/,She has an open attitude and is always willing to discuss any issues that arise.,,
22,evil,/ˈiːvəl/,The evil villain cackled with delight as he watched the hero struggle.,,
23,responsible,/rɪˈspɑnsɪbəl/,"She is a responsible pet owner, ensuring her animals are well-cared for and loved.",,
24,mysterious,/mɪsˈtɪriəs/,"The new neighbor was mysterious, rarely seen and hardly speaking to anyone.",,
25,determined,/dɪˈtɝːmɪnd/,"She was determined to finish the marathon, despite the pain in her legs.",,
26,concern,/kənˈsɝːn/,Her voice trembled with concern as she asked about his recent accident.,,
27,to appreciate,/əˈpriːʃiˌeɪt/,She regularly appreciates the support of her friends during challenging times.,,
